ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Adria - Bellombra;;;;;;;;;;;;;
Coordinata X 1737018 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4989114 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione -1 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;45.6;31.4;1.6;74.4;26;108.6;30.4;48.4;134;89.2;19.6;30.6;639.8
1995;16.4;74.6;44.2;32.4;146.2;163.4;23;218.6;86;5;12.6;114.6;937
1996;54.4;36.8;27.6;85.8;103.2;63.6;16.6;58;62;95.6;56;130.4;790
1997;66.2;5;19.4;28;48.8;49.8;97.2;61.8;17.4;10.6;106;60;570.2
1998;34.6;7.2;9.6;59.8;79.6;21.8;56.4;4;81.4;120.8;19.6;25.8;520.6
1999;38.2;17.2;32.2;55;38.6;79.2;37.2;32.6;31.4;100.2;135.6;40.6;638
2000;4.4;7.2;47;49.8;60.6;45.2;57.6;52.4;87.6;166.4;145;60.6;783.8
2001;74.6;19.4;84.2;45.6;41.8;113.4;94;24.4;126;30.2;34.4;7.2;695.2
2002;26.6;44.2;2;104.4;102.2;49;152;93.4;112;88.6;87.2;116.8;978.4
2003;39.4;10.6;25.8;85.8;28.2;58.8;9.6;22.2;75;61.4;92.4;50.8;560
2004;51;122.2;141.6;104.6;59.6;54.2;27.4;53.6;50.2;115.4;97.8;90.2;967.8
2005;23.6;15.2;20.4;86.4;62.6;21.2;72.4;184.8;44.2;145.2;128;41.2;845.2
2006;21.4;22.8;35;36.8;80.8;6.4;46;77.8;77.4;17.2;25;17.8;464.4
2007;17.4;37.4;85.2;0.4;72.2;106.4;19.2;49.2;49.2;43.4;13.2;38.6;531.8
2008;22.4;17.2;34.8;57.8;56;143.8;15.8;43.4;56.2;26.2;125.6;94.2;693.4
2009;57.6;41.8;87;114.4;50.6;43.2;65.2;26.6;143;41;45.8;71;787.2
2010;50.8;98.6;45.4;57.2;116.4;91.6;47.2;98.4;59.2;76.8;83.6;59.6;884.8
2011;3.8;41;59;8.4;25.6;44.6;51.4;3.6;30;59.4;32.4;15.2;374.4
2012;4;18.2;0;61.6;54.8;18.6;11;1.4;127;152.4;59.6;25.8;534.4
2013;74.4;85.8;157.6;48.8;108.2;8;24.8;48;16.8;126.4;93;3.4;795.2
2014;140.8;118.8;72.6;69.8;57.4;49.6;97.4;32.4;68.6;46.6;78.8;56;888.8
2015;15.4;91.8;90.8;37.2;132.4;97;23.2;37.4;28.4;88.4;24.4;0;666.4
2016;34.4;139.2;64.2;7.4;154.6;86.6;11.2;53.8;100.8;103.8;98;0.2;854.2
2017;11.4;76.2;5.6;30.8;47.6;37.8;29.6;7.4;147.6;22.8;132;22.8;571.6
2018;17;93.8;92.2;18;70.8;44;51.4;105.4;59.8;97.2;64.8;18.4;732.8
2019;26.2;25;11.8;84.2;170.8;2.4;44.8;41.4;56.6;48.2;158.4;100.4;770.2
