ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Agordo;;;;;;;;;;;;;
Coordinata X 1733713 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5129437 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 585 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;147.8;77;27.8;131;91.6;78;110.4;95.8;267.2;79.6;69.8;34.4;1210.4
1995;32;53;41.6;78.2;129;172.2;145.2;73;194.6;0;32;114.4;1065.2
1996;58.4;15.6;6.6;49.8;155.8;97.2;145.6;201.8;44;294.4;402.8;60;1532
1997;68.2;3;7.2;43;90.8;277.6;155.6;146.6;43.8;7.8;274.8;177.8;1296.2
1998;35;17;2.4;278.6;80.2;159.6;184;132.8;221.6;269.4;31.8;5.4;1417.8
1999;100.6;7.6;157.8;199;134.6;119.2;129.2;176.6;264.6;145.8;53.4;53.4;1541.8
2000;0.4;8.6;152.4;93.2;113.4;115.6;134;155.4;220.6;376;610.8;45.8;2026.2
2001;179.4;23.4;215.8;102.2;103.8;99;141.8;153;129.8;43.2;35;0;1226.4
2002;15;106.4;57.6;159.4;309.6;255.4;147.4;185.6;178.4;98.4;925.4;56;2494.6
2003;43.2;1.4;3.6;58.2;75.8;89.8;99.8;180.8;36;185.6;368.6;112.6;1255.4
2004;3.6;78.4;79;83.6;229.2;123.4;132.8;87.2;77;225.2;120.6;97.6;1337.6
2005;4.4;1.6;29.2;124.4;141.8;88.4;120.8;135.8;103;223.2;59.4;62.4;1094.4
2006;58.2;57;65.4;134.4;98.4;94.6;152.8;232.4;154;62.6;18.4;112;1240.2
2007;101.6;27.4;136;10.8;147.2;98.6;95;189.2;90.4;36.4;145.6;2.4;1080.6
2008;173.6;37.8;54.2;135.2;190.2;124.4;163.8;140.2;95.4;247;318.4;315.4;1995.6
2009;94.4;97.6;201.2;200.6;29.4;94.6;186.4;183;137.8;63;315.4;174.4;1777.8
2010;54.2;83.6;50.8;43;276;113.4;52.4;180;162;203.8;319.4;199.9;1738.5
2011;44;41.6;145.8;16.2;129;187.4;63.8;127;138.2;137.2;108.8;33.4;1172.4
2012;15.4;2.6;48.2;164.4;120.4;118;173;123;165;171;356.2;46.4;1503.6
2013;56.2;66;195;143.6;293;135.6;67.2;136.4;40.8;152.2;209.6;194.8;1690.4
2014;372.8;357.2;87.8;101;40;123.6;146.4;154.4;51.2;68.4;552.8;125;2180.6
2015;73.8;55;82.4;38.6;139.2;98;54.4;94.6;138.6;157.6;0;0;932.2
2016;47;184.8;95.2;90.6;120.2;111.6;100.8;142.2;67.8;138.6;95;0;1193.8
2017;3.2;88.2;46.4;93.8;85.8;110;127;81.4;179.8;11.6;129;191.2;1147.4
2018;111.8;21.2;146.4;147.2;166.8;77;116.6;169.2;31.4;590.6;123.6;4.4;1706.2
2019;18.6;121.6;22;295;167.2;68.2;162.2;121.2;85.8;78.2;671.8;100.4;1912.2
2020;4.2;2;140.8;25.6;58.2;142;173.4;319.8;53;317.6;4.2;548.2;1789
2021;161.6;71.6;8.8;52.6;161.6;48;196.2;147.6;44;71.6;197.8;39.8;1201.2
