ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Arabba;;;;;;;;;;;;;
Coordinata X 1720711 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5153645 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1642 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;54.4;31.4;10;66.2;85.4;76.4;99;113;190.4;58.2;42.4;16;842.8
1995;38.8;33.2;34.4;50.8;136.8;135.8;141.8;93.6;125.6;1.8;23.8;80.8;897.2
1996;40;12.6;9.6;31.2;131.4;134.2;122.2;195.8;30.4;204;217.2;48.8;1177.4
1997;60.4;6.8;19.8;41.6;84;256.2;120.2;106.8;23.2;3.8;152.2;100.2;975.2
1998;25.8;10.6;3.8;151.6;81.2;156.6;112.4;79.6;131.2;188.4;21.6;5.2;968
1999;65.8;10.4;80;82.8;151.2;134.8;111.4;146.2;150;91;46.4;38.6;1108.6
2000;5.6;7.6;105.8;72.2;72.6;95.8;113.4;133.4;113.6;207.6;327.4;35.6;1290.6
2001;104;20.8;142.2;101.2;67;143;177.6;136.8;122.4;37.6;30.4;0.8;1083.8
2002;7.2;61.2;40.4;118.4;302;141.8;108.6;152;120.6;67.8;425.4;49.6;1595
2003;20.8;3.8;1.2;43.4;94.8;112.2;135;88.6;30.6;124.6;154.6;63.6;873.2
2004;9.4;54;42.8;46.4;126.6;98.4;184.6;129.4;66.8;146.6;83.6;64.8;1053.4
2005;9;8.6;36.2;63;111.4;96.2;164.8;124.6;107.4;182.8;42.8;53;999.8
2006;21;38.4;37.6;82.8;100.6;57.2;67.4;194;86.6;31.8;9.8;71.4;798.6
2007;65.8;27.2;97.6;19.2;166.8;157.6;108.8;223.2;84.4;29.4;83.8;5.6;1069.4
2008;101;27;49.2;105.6;107;168.6;157.4;132.2;78.6;133;218.8;183.4;1461.8
2009;68;94.6;111.2;118;33.4;112.8;129.6;130.8;89.4;53.6;132.6;97.2;1171.2
2010;31.6;52.4;24.2;29.4;162;115.4;42.2;178.4;127.6;114;160.4;102.2;1139.8
2011;12.4;23.8;64.6;19.6;129.2;189.6;124;103.8;123;95.2;40.2;23.4;948.8
2012;25.2;13.4;38.4;118.4;96;110.6;186.6;157;143.2;136.8;283;28.2;1336.8
2013;50.2;57.8;110.6;75.6;198.2;123.2;92.6;196.4;76.2;138;148.6;104.2;1371.6
2014;238.2;191.4;59.8;75.2;73.2;100.4;175;190;53.2;70.6;265;61;1553
2015;41.6;35.2;58;22.2;109.8;116.6;94.2;136.8;116.4;117.8;1.2;0;849.8
2016;29.4;98.4;65;111.6;115;162.4;130.6;177.2;92;108.6;57.8;0;1148
2017;5.2;40.4;26.2;90.6;95.8;172.2;159.4;118.6;173;18.6;105.8;93.4;1099.2
2018;73;18.2;96.2;88.6;153.2;74.2;216.6;245;75;286;73;20;1419
2019;16;77.4;19.2;209.4;166;66.2;234.2;116.6;104.4;79;428.8;56.8;1574
2020;4.8;6.8;90.4;35.6;111.6;171.6;225.4;306.6;70.8;215.2;8.6;320.4;1567.8
2021;113.2;49.6;6.4;34.4;133;82.4;262.2;138.8;43.4;59;137.8;29;1089.2
2022;20.4;27.6;8;116.4;90.8;116.8;97.6;127;99;49.6;62;64.2;879.4
Medio mensile;46.8;39.3;51.3;76.6;120.2;126.9;141.2;150.8;98.2;105.2;130.5;62.7;1149.7
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;2;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;2;0;1;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;2;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;2;0;0;0;0;0;0;1;1;2;0;
2004;0;0;0;1;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;2;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;3;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;2;0;4;0;0;0;0;0;1;4;
2011;0;0;0;0;1;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;1;3;0;0;0;1;1;0;0;0;0;
2014;0;3;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;2;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;2;0;2;0;1;0;0;0;0;
2022;0;0;0;0;0;0;0;3;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 15 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Arabba;;;;;;;;;;;;;
Coordinata X 1720711 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5153645 Ovest (EPSG:3003);;;;;;;;;;;;;
