ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Asiago - aeroporto;;;;;;;;;;;;;
Coordinata X 1694869 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5084184 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1016 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;111.8;213;27.8;262.2;258;96.4;969.2
1997;98.6;1.6;7.2;43.4;74.2;160.6;154.8;107.6;29.8;24.6;247.8;135.2;1085.4
1998;36.6;16.4;8.6;268.8;108;138.8;152.8;134.8;256.6;137.4;27.4;10.8;1297
1999;80.4;1.2;131.6;155.6;208.2;225.2;103.6;135.4;209.8;177.6;93.8;28.8;1551.2
2000;2.6;7.6;160.4;104.6;139.4;138;107.2;212.4;173.6;323.8;538;24;1931.6
2001;144.8;20.6;231.4;94.4;138.8;11.2;53.2;163.8;128.4;67;30.6;1.2;1085.4
2002;22.8;0.8;52.6;138.2;380;96.6;284.2;100.2;138.6;103.6;431.6;45.2;1794.4
2003;29.4;1.8;0.8;16.6;37.6;133.2;65.6;62.8;43.2;122.4;253.8;95.2;862.4
2004;5.2;55.6;80.6;114.6;182.6;107.8;65.4;131;79.6;192.8;133;81.2;1229.4
2005;0;10.2;38.4;104.8;78.4;98.6;117.6;110.4;160.8;178.4;73.6;57.4;1028.6
2006;60;37.6;45;84.8;44.4;77.8;92.8;168.4;168.8;33.6;13.2;93.2;919.6
2007;64.4;32.2;103.2;32.8;205.4;264.8;97.2;143.4;111.6;78.6;135.6;4.6;1273.8
2008;39.4;30.8;60.4;193.4;208.2;221;197.6;163.4;129.6;95;230.8;149.6;1719.2
2009;91.2;117;134.6;249.6;40.8;152.6;96;223.6;186.8;68;207.2;148.8;1716.2
2010;61.6;86;62.2;33;268.2;163.6;123.4;146.6;191.2;256.6;355.2;208.2;1955.8
2011;26.4;45.8;101.6;26.4;116.8;235.8;144;113.4;103.4;157.8;143.4;21.2;1236
2012;13.8;12.8;6.8;203.2;174.6;70.4;86.6;98.2;160;181.6;343.2;37.4;1388.6
2013;66.8;39.8;188;168.8;429.4;120;86.4;97.6;77.4;146;125.6;160.2;1706
2014;296.4;254.2;86.8;111.8;94.2;154;455.8;187.4;64.8;167.2;386.2;83.2;2342
2015;50;24.2;52.2;58;161.2;176.8;78.8;66.6;124;188.2;5.8;0;985.8
2016;35.6;154.6;65.6;69;124.8;190.6;131.8;98;39.2;147.6;96;0;1152.8
2017;5;77.4;35;128.4;92.8;229.8;149.4;52.8;184;11.6;111;112.6;1189.8
2018;64.4;28;122.8;85;218.8;184.8;164.6;160.8;70.4;265.4;123.6;6;1494.6
2019;14.2;85;21.6;289.8;217;62;109.2;137.4;96;107.6;467.2;88.4;1695.4
2020;12.2;2.4;93.2;31;92;185.8;93.6;311;73.8;221.2;11.8;324;1452
2021;113.6;28.2;12.4;86.4;195.8;41.2;251.2;145;51.2;81.2;197.8;23.6;1227.6
