ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Astico a Pedescala;;;;;;;;;;;;;
Coordinata X 1683840 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5079537 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 307 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;128;41;24.4;161.2;161.4;45.6;103;61;320;84.6;121.4;52.2;1303.8
1995;37.2;63.6;50.2;142.4;239.2;146.8;68;73;196.6;0.6;51.2;176.4;1245.2
1996;119.8;32.2;25;81.2;155.6;85.2;146.4;261;38.2;300;356;94.4;1695
1997;87;1;2.8;40.2;90;175.8;119.6;128;23.4;23.6;277.4;163.2;1132
1998;35.4;19.8;8.6;259.2;126.8;77;75.2;35.6;251;268.4;23.2;13.6;1193.8
1999;82.2;9.4;147.2;131.6;95.2;122.8;92.6;109.4;312;218.4;117.8;59;1497.6
2000;0.4;8.6;197;118.8;85.2;93.6;11;93.6;82.6;334.6;529.2;55.4;1610
2001;131;55.4;248;118.4;77.4;33.6;90.8;148.8;136;54;41;7.6;1142
2002;20.4;112.4;46.6;147.2;202;155;341;196.6;108;108.6;486.4;85.4;2009.6
2003;64;1.4;2.4;62.4;70.6;75.8;66;51.4;31;204.6;281.6;123.6;1034.8
2004;14.8;93.2;122;143.2;186;81.4;40;56.4;60.2;174.8;202.8;104.4;1279.2
2005;5.8;17.8;42.4;133;110.2;83.2;98;207.6;226;228.2;75.8;78.2;1306.2
2006;93;74.2;73.2;112.2;92.8;61;93.2;159.8;154.8;35.6;24.4;143;1117.2
2007;89;31;140;8.6;269.8;155.4;64.2;300.2;98.8;91.8;186.4;3.4;1438.6
2008;158.4;42.8;75;197.8;211.2;137.6;150;164.6;133.8;161;318.8;316.8;2067.8
2009;103.2;174;169.6;259.8;14.4;99.4;85.8;70.2;149.4;84.4;188.2;186;1584.4
2010;60;112.6;98.4;59.6;289;233.6;64.4;162.8;179.2;328.4;390.6;204.2;2182.8
2011;22.2;75.4;131.2;25;80.6;203.6;124.8;64.8;95.2;142.6;154.4;29;1148.8
2012;14;5.4;10.4;239.2;139.2;107;83.4;43;167.2;225.6;362.4;44.4;1441.2
2013;63.4;62.8;255.4;205.6;524.2;108.8;64.4;103.6;64;170.8;146.4;164.6;1934
2014;372.8;311.4;129.2;170;72.4;128.4;446.2;239.8;39.2;122.8;412;127.6;2571.8
2015;60.6;111.6;76;76.6;171.2;90.8;48.8;61.4;113.2;223.8;7.8;0;1041.8
2016;56.6;217.6;86.8;56.4;138;191.6;127.6;88.6;78.2;140;105.4;0;1286.8
2017;4.6;114.2;51;103;104.4;133.6;113.4;37.2;218.4;13.2;152.8;162.4;1208.2
2018;78.6;43.8;197.2;157.8;272.2;108.2;152;205.8;45.8;278;192.6;7;1739
2019;16.8;124;36.6;314.4;299;50;122.6;130;125.8;128.4;535;103.4;1986
2020;7.6;4;134;47.8;169.6;166.6;161.2;293.8;88.8;285.2;6.8;456.2;1821.6
2021;174.2;55.2;24;108.8;222.6;22.2;318.4;118;42.6;100.2;257;27.6;1470.8
2022;23;38;6.2;99.4;129.2;102.8;48;111.4;144.4;42.2;131.4;108.6;984.6
Medio mensile;73.2;70.8;90;130.4;165.5;113;121.4;130.3;128.4;157.7;211.6;106.8;1499.1
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
