ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Auronzo;;;;;;;;;;;;;
Coordinata X 1762629 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5161582 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 849 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;56.4;34.4;15.8;99.6;93.4;59.2;179.8;120.2;229.8;58.6;45.6;16.6;1009.4
1995;37.8;45.2;43.4;50.2;146.4;172.4;134.4;74.4;138.6;0;15;68.2;926
1996;28.6;12.8;5.8;39.4;105.2;91.4;110.4;189.2;36.2;249.8;258.2;33.4;1160.4
1997;51.2;4.2;11.2;27.6;68.2;247;145.8;109.4;53.4;3.2;197;107.6;1025.8
1998;24.4;8.2;3.8;169.4;53.6;229.6;168.4;72.2;168.2;208.4;21.4;3;1130.6
1999;57.6;9.2;111.8;100.8;118.8;135.8;142.2;154.6;125;116;46.4;43.2;1161.4
2000;8.6;6.2;91.4;107.4;74;65;133.6;147.2;130.2;272.2;423.8;57.8;1517.4
2001;187.4;12.6;154;123.4;46;90;146.4;163;141;36;38.2;0;1138
2002;7.6;48.6;54.6;132.2;196.8;181.8;110.6;109.6;104.6;82.2;419.8;61.6;1510
2003;21.4;2.4;3;60.4;82.2;134.4;105.8;110.8;17.8;155.8;256.2;71.4;1021.6
2004;7;60.4;42;60;121;136.2;177;113.4;76.4;173;48.6;58.8;1073.8
2005;7.6;6.6;22;81.4;106;60.8;158.4;93.2;123.6;185.6;41.4;49.8;936.4
2006;10.6;45.6;65.4;109;55.8;79.4;92.4;209;72.6;62.4;14.4;111.6;928.2
2007;78.2;28.4;110.2;18.2;100.6;98.6;153.6;212.8;98.6;45.8;95.4;5.4;1045.8
2008;115.2;29.4;72.4;90.2;136.8;155.8;146.8;175.2;68.8;182.4;162.8;171.8;1507.6
2009;122.8;86.2;132.4;109.4;30;154.4;191.6;141.8;117;52.2;124.4;162;1424.2
