ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Bagnolo di Po - Pellizzare;;;;;;;;;;;;;
Coordinata X 1699431 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4984911 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 6 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;26.2;22;0;89.4;9.2;50.2;19.6;23.4;99.8;91.4;36;21.8;489
1995;12;66;27.2;32.2;167.4;134.4;11.6;113.6;42.4;0.2;10;80.6;697.6
1996;63.2;34;17.4;105.2;158.4;42.2;18.4;103.4;61.4;91.2;71;118;883.8
1997;85.2;11.2;34.8;20.2;25.2;65.2;29.6;46.6;21;20.2;75.2;67.2;501.6
1998;31.8;15.8;18.2;69;60.6;26.8;19.4;16.8;90;88.8;17.6;18;472.8
1999;23.2;4.6;39;69.2;76.8;104.2;16.6;58.4;61;109.4;129;35.2;726.6
2000;5.4;5.2;53.8;61.8;67.6;23.2;93.2;40;22.4;147.6;91.2;53.6;665
2001;68.2;12.2;97.6;40.2;65.4;49.4;154.4;44.2;90.4;38.2;45.8;4.2;710.2
2002;24.6;36.8;0.8;82.6;108.2;34.6;64.6;107;114.4;76.8;87.6;112;850
2003;35.2;6.2;16.4;83.4;17.2;72.8;42.4;4.6;28.4;57.2;123.8;58.6;546.2
2004;51;131.2;109.8;94;48;65.2;41.2;13.6;64.6;95.6;76.8;100;891
2005;14.8;5.2;17.4;92;73.4;44;153.4;141.6;68;161.4;132.2;51.4;954.8
2006;20.8;45;37.2;56.6;34.8;10;21;82.6;113.2;17.6;29.4;21.8;490
2007;10.4;33.6;127;2.2;55.2;67.6;1.6;35.4;58.8;56.2;21.8;24.6;494.4
2008;45.6;16;42.6;72.6;72.2;116.4;23.2;41.4;87.4;52;175.6;92;837
2009;53;43.8;101.8;142.8;32.6;34.6;17.8;27.6;57.6;43.2;62.6;74;691.4
2010;58.4;97.6;57.4;87.2;108.2;146.6;8;67;35.8;91.2;115;75.8;948.2
2011;14.2;46;78.4;6.4;32;95.8;36.8;0.2;51.6;94;53;11.6;520
2012;6.4;24.2;0.2;85.8;70.2;9.8;4.8;2.2;150;159.4;92.2;40.6;645.8
2013;101.4;83;185;73.2;106;20.6;31.2;58.4;39;143.8;94.8;12.8;949.2
2014;114.6;100.8;41.6;53.6;79.4;28.6;84;81.2;103;49;70.4;73.2;879.4
2015;16.4;126.4;84;41;58.4;64;13.2;73.2;32.8;78.8;22.4;3.6;614.2
2016;49.8;170.2;58;14;161;117.4;2.2;55.8;61;124.8;97;7.4;918.6
2017;3;74.2;12.2;45.4;85.4;17.8;28;3;130.2;51.4;114;14.6;579.2
2018;11.8;103.4;114.4;29;58;86;40.4;67.2;61;109;92.6;20.6;793.4
2019;31;27.8;4.4;65;194.8;3.6;60.8;21.4;74.4;44.6;201.2;87.8;816.8
2020;16.4;4.4;34;21.6;13.8;78.2;75.8;88.8;17.6;62.2;13.8;105.2;531.8
2021;54.6;12.6;1;31;64;74.4;68.4;6.2;50.4;32;61;42.4;498
2022;23.2;10.4;19;39.6;43.4;4.2;21.8;92.6;70.8;2.4;108.2;79.8;515.4
Medio mensile;37;47.2;49.3;58.8;74;58.2;41.5;52.3;67.5;75.5;80;52;693.5
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
