ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Balduina (Sant'Urbano);;;;;;;;;;;;;
Coordinata X 1703223 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5001186 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 7 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;32.4;25.8;26.4;43.6;99.6;61.6;70.8;28;388.2
1995;27;85.6;31.4;11.4;179.2;169.4;57;53.4;62.2;4.4;17.8;94.4;793.2
1996;83.4;50.4;18.6;117;71.4;64.2;21.6;71.2;66;112.2;80.8;142.2;899
1997;91.6;5.6;30.6;30;42.4;108.6;39.6;50.8;26.4;16.8;98.4;94;634.8
1998;38.4;19;9.8;94.2;78.4;26.8;66.4;28;101.4;97.8;17.4;16.2;593.8
1999;39.4;14.2;38.2;63.4;89.6;74;59.4;75;90.8;97.2;117.6;33.4;792.2
2000;0;4;56.8;79.6;62.4;22.4;57.4;36;54.4;160.2;101.8;65.6;700.6
2001;70.8;10.2;118.4;45.4;67.8;44;85.8;91;81;50.2;31;4.8;700.4
2002;27.4;51.2;2;92.2;105.4;62.4;276.4;154.4;16.2;96.6;89;100.2;1073.4
2003;28;7;9;97;11.6;48;37.8;5.8;41.2;56.4;100.8;46.8;489.4
2004;55.4;148.2;110.6;130.8;66.4;61.8;48.4;65;59.4;88.8;65;72.6;972.4
2005;5.8;11.6;40.4;92.2;61;10.4;18;132.8;62;170;142;48.8;795
2006;28;26.8;23.6;45.4;62.2;1.4;10.8;169.4;101.8;19;45.2;36;569.6
2007;19.8;50.8;56.8;0.6;71.8;106.4;7.8;44.8;42.6;44.8;20;13.8;480
2008;47.6;23.8;26.6;86;78.4;140.4;45.6;31;56.6;45.2;151.6;118.4;851.2
2009;53.8;56.8;111;159.6;25.6;25.2;30.8;27.2;74;31.6;57.4;77.2;730.2
2010;46.6;112.2;64.8;72.2;108;172.2;5.8;77.4;55.8;77.2;111.2;87.2;990.6
2011;14.6;50.4;100.6;4;53;28.6;36;0;55.4;75;52.8;21.6;492
2012;5.6;27.2;0.2;92.2;87.6;8;2.2;14;188.2;208.6;104.8;34.2;772.8
2013;104.2;77.6;204.4;94.4;98;24.2;67.8;85.4;16.6;146.2;91.2;9.8;1019.8
2014;123.2;102.4;35;103.2;38.2;56.4;151.4;70.6;76;30.2;66.6;73.4;926.6
2015;15.4;95.4;70;29.8;66.4;155.8;9.2;63.2;26.6;79.2;16.6;0;627.6
2016;49.6;157.6;48.6;12.6;130.2;101.2;12.8;47;54.6;118;119.2;2.4;853.8
2017;3.4;62.8;9.8;34.2;40.4;14.8;24.6;4.6;112.8;22.4;95.8;26.4;452
2018;13.8;63.8;99.8;23.6;72.2;72.6;96.6;57;105;104.8;75.8;13;798
2019;19.2;31.2;3.6;78.2;225.8;35.8;36.2;60.4;117.2;49.2;200.2;90.2;947.2
2020;13.6;2.4;41.6;4.2;23.8;89.4;123.8;91.6;16.2;74.8;15.6;113;610
2021;55.2;12.6;20;57.6;135.2;26;84;12.6;52.2;26.4;80.2;50.2;612.2
2022;14.2;10.2;14.6;30.6;56.4;17.6;96;66.2;72.4;2.2;103.4;79.4;563.2
Medio mensile;39.1;49;49.9;63.6;77.3;61.9;56.4;59.6;68.4;74.7;80.7;54.9;728.6
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;31;28;31;30;0;1;0;0;0;0;0;0;
1995;0;0;0;3;0;0;0;1;0;0;0;6;
1996;0;1;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;2;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;5;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;4;4;0;0;0;
2003;0;0;0;0;0;3;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;3;0;0;0;0;0;0;0;0;0;0;
2007;0;0;1;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;1;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;2;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;1;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;1;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 15 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Balduina (Sant'Urbano);;;;;;;;;;;;;
Coordinata X 1703223 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5001186 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 7 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;8;5;4;5;9;5;3;4;43
1995;5;9;8;3;14;11;4;7;5;0;6;7;79
1996;8;6;3;11;9;5;3;10;9;9;9;12;94
1997;9;1;4;4;4;13;5;3;1;3;12;10;69
1998;7;2;3;13;9;6;5;1;9;7;4;1;67
1999;3;3;7;9;8;9;5;3;6;9;8;5;75
2000;0;2;6;7;11;6;7;3;5;14;13;7;81
2001;12;1;11;10;8;6;5;3;9;7;5;2;79
2002;2;4;1;12;12;7;10;10;5;6;13;11;93
2003;5;1;3;9;4;5;3;1;7;10;7;8;63
2004;6;11;8;13;11;6;5;4;4;10;9;12;99
2005;1;3;3;11;7;3;6;9;5;9;6;10;73
2006;6;4;5;7;5;1;3;16;6;3;4;6;66
2007;3;7;5;0;7;10;3;9;3;4;3;3;57
2008;8;3;8;14;5;11;4;4;3;4;12;11;87
2009;12;8;9;11;4;7;4;4;7;5;10;9;90
2010;9;12;7;8;12;6;2;5;8;8;14;11;102
2011;5;7;7;1;3;7;5;0;5;5;5;6;56
2012;1;3;0;15;8;1;1;2;12;9;8;8;68
2013;9;6;16;13;14;4;4;5;5;9;8;2;95
2014;16;15;5;6;5;7;12;7;8;4;11;8;104
2015;3;7;8;7;7;6;3;6;5;11;1;0;64
2016;7;13;6;3;11;10;3;9;5;9;7;1;84
2017;2;6;4;7;5;2;4;2;13;3;5;6;59
2018;3;9;12;6;7;8;6;7;5;7;8;4;82
2019;5;4;2;9;15;1;4;6;6;6;18;7;83
2020;2;1;7;2;6;9;8;9;7;11;2;10;74
2021;7;2;2;6;10;1;8;4;6;2;12;7;67
2022;2;2;1;7;8;2;4;5;9;0;8;10;58
Medio mensile;6;5;6;8;8;6;5;5;6;7;8;7;76
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;31;28;31;30;0;1;0;0;0;0;0;0;
1995;0;0;0;3;0;0;0;1;0;0;0;6;
1996;0;1;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;2;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;5;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;4;4;0;0;0;
2003;0;0;0;0;0;3;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;3;0;0;0;0;0;0;0;0;0;0;
2007;0;0;1;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;1;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;2;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;1;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;1;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 15 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Balduina (Sant'Urbano);;;;;;;;;;;;;
Coordinata X 1703223 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5001186 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 7 m s.l.m.;;;;;;;;;;;;;
Parametro Radiazione solare globale (MJ/m2);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;589.751;610.493;744.727;640.962;403.263;285.063;85.295;67.02;3426.574
1995;156.269;156.05;391;429.17;565.243;649.121;712.501;545.995;430.594;290.607;150.979;55.115;4532.644
1996;78.813;211.522;449.19;542.769;800.507;818.074;718.802;658.597;428.461;248.092;137.774;107.198;5199.799
1997;130.695;224.444;501.813;622.26;720.841;678.592;850.419;680.782;562.363;316.317;132.873;96.159;5517.558
1998;132.176;301.65;506.865;505.384;706.225;803.903;822.046;702.855;494.094;310.907;203.213;122.204;5611.522
1999;129.082;270.81;381.799;500.828;626.044;728.41;755.308;604.085;452.428;234.505;132.609;122.894;4938.802
2000;168.564;232.295;405.215;496.127;675.85;763.718;726.941;633.745;461.258;194.169;135.91;93.09;4986.882
2001;109.451;254.531;319.505;540.441;625.724;704.637;730.964;674.613;454.167;295.563;161.704;159.897;5031.197
2002;155.792;156.891;471.588;477.588;623.804;735.364;730.368;555.723;397.477;289.613;129.497;86.174;4809.879
2003;145.582;329.258;461.88;502.46;763.015;692.217;802.811;687.265;487.071;287.41;143.316;133.388;5435.673
2004;126.616;157.096;377.313;524.875;719.009;749.258;781.874;679.728;495.757;238.496;168.081;134.68;5152.783
2005;163.807;266.286;451.895;528.931;740.002;784.159;766.138;569.222;463.543;231.216;132.27;126.308;5223.777
2006;165.608;207.035;398.459;504.92;666.373;752.49;556.784;601.907;468.758;316.327;140.881;119.141;4898.683
2007;90.222;163.497;387.58;648.048;695.964;671.193;800.551;612.049;500.922;310.543;199.393;148.456;5228.418
2008;121.69;247.728;376.226;489.136;661.622;665.463;729.872;674.111;447.495;295.814;156.338;107.556;4973.051
2009;118.36;266.687;398.493;457.386;701.605;668.952;696.547;623.59;406.056;295.33;107.838;105.221;4846.065
2010;104.156;192.563;365.013;572.043;627.774;699.795;747.893;630.78;450.554;302.573;115.439;97.314;4905.897
2011;112.252;227.141;398.857;589.933;755.785;697.31;782.627;694.483;477.77;340.452;151.155;122.555;5350.32
2012;171.25;281.203;502.108;475.849;657.869;768.061;801.729;689.562;425.076;288.345;146.128;112.644;5319.824
2013;100.692;239.142;293.981;471.57;610.736;767.778;794.413;673.891;480.375;225.492;163.058;123.302;4944.43
2014;101.343;189.224;420.346;516.635;702.533;750.072;678.705;602.227;438.885;317.71;130.589;99.065;4947.334
2015;165.702;225.994;431.034;580.318;641.669;756.501;801.85;646.216;459.451;279.007;175.317;92.619;5255.678
2016;157.393;206.564;399.598;544.355;638.2;693.374;758.44;694.113;485.85;267.036;147.314;111.981;5104.218
2017;195.946;183.318;462.483;552.478;595.651;759.99;819.241;689.161;442.575;310.901;153.659;131.53;5296.933
2018;157.757;193.297;325.304;584.483;704.888;766.712;772.595;676.615;520.556;318.018;148.224;116.468;5284.917
2019;168.118;278.837;488.962;489.581;526.371;798.807;749.365;671.958;471.406;292.567;130.953;129.076;5196.001
2020;167.371;276.666;408.66;640.441;695.173;746.61;818.569;663.48;513.107;288.942;174.143;78.103;5471.265
2021;136.645;244.477;490.184;530.632;675.481;799.811;720.603;689.631;493.102;331.051;149.171;115.595;5376.383
2022;172.367;267.729;482.816;606.445;693.158;747.363;771.506;696.07;491.037;353.407;172.857;77.946;5532.701
Medio mensile;139.419;230.426;419.577;533.039;669.202;732.008;756.696;650.463;465.636;288.12;147.448;110.093;5096.524
;;;;;;;;;;;;;
Il valore mensile è la somma dei valori giornalieri.;;;;;;;;;;;;;
