ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Barbarano Vicentino;;;;;;;;;;;;;
Coordinata X 1701220 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5030373 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 16 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;47;26.6;0.8;111;42.8;39.2;68;77.6;171;51;83.8;35;753.8
1995;40.6;83.8;38;92.4;244.6;168.6;75.2;111.6;119.8;29.2;22;126.4;1152.2
1996;47.8;44.6;9.4;127.6;79.6;62.2;27.4;65.6;36.2;153.6;123;158.8;935.8
1997;83.4;5.2;7.8;53.2;25.4;63.8;45;75;20;6.4;99.2;155.4;639.8
1998;49.8;24;8;115;98;75.4;29.8;8.4;163;140.4;18;10.4;740.2
1999;43.4;15.4;51.8;164;40.2;148.2;93.8;25.4;62;123.6;163.8;56.8;988.4
2000;2;3;66;66.4;73.2;47.2;52;54.8;137.6;162;170.6;63.6;898.4
2001;106.2;15;181.2;77.4;57;34.2;155.8;36.4;78.4;78;39.8;1.2;860.6
2002;40;99.8;7;149.2;164.4;103.8;110.6;202.8;46.6;91.8;92;87.4;1195.4
2003;48.8;4.8;3.8;138.8;18.2;63;45.8;19.6;28.2;76;130.6;92.2;669.8
2004;52.2;211.2;156.6;95.6;91.2;140.2;51.4;43.8;98.6;115.6;104.6;82;1243
2005;3.8;1.2;6.2;121;89.4;26;109.6;185.4;69.2;153.8;142.8;62.4;970.8
2006;22.6;54.8;36.4;55.4;68.6;15.2;51.6;208.8;163;15;47.4;74.2;813
2007;28.6;49.4;79.6;0.2;82.6;90.4;17.6;45.8;71.6;56.8;47;13.4;583
2008;83;41.2;52;136;91.8;95.2;88.8;37.8;41.2;61.6;184.8;222.2;1135.6
2009;82.8;89.6;133.4;193.6;4.4;36.4;30.6;28.6;92.6;33.2;109.6;89.6;924.4
2010;70.4;148.2;38.6;41.4;124.2;131.4;57.4;63;147.8;150.8;211.6;175.4;1360.2
2011;43.4;62.2;119.6;7.8;50.2;47.6;60.2;0.6;48.8;101.2;85.4;34;661
2012;9;24.6;3.2;84.2;109.2;17.6;13.2;22.4;127.2;158.2;179.2;49.8;797.8
2013;114.8;69;247.6;112;172.8;37.6;31.6;78;43;98.2;125.2;29.6;1159.4
2014;211.8;211.8;78.4;115.8;91.6;57.8;203.6;108.8;65.2;52.8;129.2;70;1396.8
2015;22.6;86.6;101.6;53;64.2;72;66.2;56.6;73.2;98.4;12.6;4.2;711.2
2016;63.6;197.4;85.4;28.8;197.2;127.6;16.2;107;23.8;120.4;100.2;5.6;1073.2
2017;17.2;74.4;19.8;85;54;82;62;33.6;117.4;15;109.4;51;720.8
