ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Bardolino - Calmasino;;;;;;;;;;;;;
Coordinata X 1637949 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5042029 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 160 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;60.6;22.8;15;76.6;58.6;28.2;61.2;58.6;211.8;94;108;34.6;830
1995;37.2;77.2;36.2;75.2;155.2;101;37.2;140.4;85.2;15.6;53.6;116.6;930.6
1996;109.4;55.8;19.6;70;106;41.4;134.6;62.6;28.8;113.6;133.4;121.2;996.4
1997;65.4;5.2;2.2;36;22.8;161.2;47.4;41.8;1;19.6;104.6;118;625.2
1998;48;9;1.6;112.8;109.4;62.2;41;21.4;105.8;89.4;20.2;3;623.8
1999;16.2;1.4;59.8;70.6;60.2;81;53.8;53.2;109.6;147;86;35.4;774.2
2000;0.4;3.8;74.8;72;71.2;43.6;47;116.6;142.2;162.6;199.8;70.4;1004.4
2001;127;9;215.8;76.6;143.4;13.6;40.6;66.8;138.2;48.4;47;0;926.4
2002;24.8;64.8;19.6;123.2;153.2;121.8;126.8;166.8;65;65.2;120.8;59.8;1111.8
2003;29;0;7;65.4;33;59.4;71.2;15.6;16;129;136.4;76.8;638.8
2004;23.6;87.2;63.2;78;87;59.8;124.4;83.6;59.2;129;100.8;28.4;924.2
2005;16;7.8;24.2;88.8;119;32.8;67.4;117.2;62.6;188.6;93.2;55;872.6
2006;11;52.6;27.2;96.2;48.2;33.8;24.4;200.6;108.2;29.8;26.8;45.6;704.4
2007;25.2;47.4;16;15.2;77.6;149.8;33;86.4;80;61.8;134.6;8;735
2008;67.2;26.4;21;120.4;84.6;171.2;83.8;32.8;89.2;48.6;159.6;130.6;1035.4
2009;88.6;84.6;95;110.2;7.2;85;87;21.2;69.6;57.6;94.4;109.6;910
2010;32.4;78.2;38.6;49;107;89.4;106.6;184.6;142.2;131.2;227.8;130.4;1317.4
2011;35;60.6;76.6;7.8;65;146.2;86.8;12.4;53.8;76.4;70.2;30.4;721.2
2012;16.4;7.4;1.6;102;113;48.2;49;14;133.8;122;169.6;47.6;824.6
2013;44;30.4;199.6;121.6;209.8;71.2;22;138;31.8;80;99.2;40.4;1088
2014;171.2;175.4;48;106;83.6;133.2;244.2;165;98.6;46.6;184.6;66;1522.4
