ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Biois a Cencenighe;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;162.8;59.8;26.8;119.8;107;59;133;112.6;277;69;58.6;32;1217.4
1995;38.4;45.6;36.2;96;125;177.8;60.2;46.6;179.4;0;26.8;103.8;935.8
1996;59.8;14.8;6.8;43;178.4;96;157.8;185.8;27.4;318.6;444.8;48.2;1581.4
1997;83.6;3.4;10;39.8;89.4;302;117;105.4;15.2;4.6;257.2;140;1167.6
1998;22.6;12.8;3.6;239;68.8;132.2;109.2;117.8;197.2;278.2;25.6;1.8;1208.8
1999;87.8;2.6;143.2;193;150.4;115.6;111;123;200.8;112.4;59;40.8;1339.6
2000;0.2;3.6;141;92;62.8;69.4;94.2;130.6;173.2;337.4;563.2;32.6;1700.2
2001;146.6;27.6;164.2;113.4;60;78;203.2;104.6;108.8;38.6;31.2;0;1076.2
2002;10.4;87.4;44.8;159.2;334.6;177.4;127.2;163.4;138.6;92.4;881.2;78;2294.6
2003;41.2;0.8;3.8;45.8;75.4;92;99.4;76.6;29.4;191.6;340.2;127;1123.2
2004;2.8;70.4;84.2;86;187.4;86;86.2;68.4;59.4;221.4;124.2;116.6;1193
2005;5.4;1.8;35.2;104.2;119.4;48.8;98.2;110.4;97.6;207.4;56.2;66;950.6
2006;63.2;67.6;53;106.2;36.4;42.2;102.6;187.8;110;37;19.2;139.8;965
2007;97.8;25.2;146.6;29.2;126.8;90.8;83;182;102.2;42.2;210;1.8;1137.6
2008;171.6;42.2;68.2;143.2;171.8;131;141.2;109.8;91.6;233.4;327.6;342;1973.6
2009;125.6;185.4;208.8;199.4;38.6;77.8;113.2;91.2;123;71.2;305.6;188.4;1728.2
2010;32.8;65;50;37;231.2;98.2;80;143.8;126.8;183.6;326;168;1542.4
2011;18.2;32.6;104.8;10.4;86.8;201.4;66.2;77;153.6;142.2;97.4;16.4;1007
2012;10.2;2;33.6;146.6;128.8;96.2;211.4;119;145.6;176.8;368.8;13.6;1452.6
2013;39.8;45.4;126.8;110.2;271.4;120.8;55;115.6;53.2;177.6;162;195.8;1473.6
2014;353;284.6;81.8;96.2;46.2;107.2;143.6;113.4;51.8;70.8;536.4;90.4;1975.4
2015;68.6;46.8;71.4;23.4;139;109.8;53;113.2;134.6;155.8;0;0;915.6
