ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Breganze;;;;;;;;;;;;;
Coordinata X 1700519 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5066235 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 196 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;76.6;23.4;8.6;109.2;120.6;35.2;132.6;18.6;303.2;104.2;105;37.8;1075
1995;40.4;71.6;33;67.2;222.8;185.8;79.8;97;215.6;3.6;57.2;175.6;1249.6
1996;84.8;39.4;8.6;81;113;62;139;215.8;56;233.2;183.6;114.8;1331.2
1997;112.2;0;5;66.4;46;161.4;112.4;39;16.8;19.8;163.6;174;916.6
1998;46.2;23.8;14.8;226.6;88;132;114.2;9.6;185.8;254.2;17.4;10.8;1123.4
1999;52.6;10.4;100;119.8;98.4;72.6;105.6;122.2;177.6;153.6;132.2;53.8;1198.8
2000;1.2;6;152.8;77.6;98;93.6;63.6;100;99.6;263.2;375.4;80.4;1411.4
2001;141.6;18.2;237.4;93;58.4;24.8;111.4;150.8;109.6;30.4;72;3.2;1050.8
2002;29;136.8;41.4;191;299;155.8;202.8;212.8;184.6;105.2;250.8;87;1896.2
2003;65.6;3;3;99.4;35.4;134.2;70.4;59.6;61;106;235.8;165;1038.4
2004;26.4;156.8;137.2;134.4;218.8;129.2;63.4;116.6;86;221.6;125.4;108.8;1524.6
2005;10.4;23.6;32;169;89;99.4;161.8;149.4;117.2;236.4;161.6;98.2;1348
2006;64.4;65.8;55.4;155;104.6;49.2;45.6;216.2;158;19;18.6;90.8;1042.6
2007;52;43.4;103.8;35;174.2;112;40;142.8;116;72;91.8;12.4;995.4
2008;139.4;45;100.8;180;151;269.4;87.2;58;120;101.2;217.2;292.8;1762
2009;137.6;116.4;85.8;190.2;83.8;116.6;91.4;133.8;156.2;64.2;134.6;202.4;1513
2010;63.8;132;83.6;41.4;160.6;106;88;120.6;179.4;258.8;372.4;255.6;1862.2
2011;63.2;71.6;155.4;31.8;71.2;167.8;127.4;12.4;89.8;168.4;114.2;45.6;1118.8
