ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Brustole' (Velo d'Astico);;;;;;;;;;;;;
Coordinata X 1682124 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5074666 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 331 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;149.2;51.6;38.4;135.2;155.8;36.2;162;62;299.4;73.4;159.4;52.6;1375.2
1995;52.2;63.8;77.8;132.6;250.2;136;56.4;139.4;244.4;0.6;70.6;200.6;1424.6
1996;174.2;43.6;25;87;163;73.6;172.2;270.6;41.4;354.6;368.4;111.6;1885.2
1997;118.8;0.6;2.4;50.4;108.4;226.8;103.6;87.8;20.6;31.2;239.4;211;1201
1998;38.4;24.4;13;295.6;157;151.6;92.6;49.4;262;290.8;23.6;16.2;1414.6
1999;88.2;7.8;169.6;170.2;104.2;139;108.6;101.2;62;231.8;166.4;67.8;1416.8
2000;0;7.2;218.4;147.6;102;66.2;125;113.2;147.8;370.6;655.6;69.2;2022.8
2001;162.4;87;296.6;107.2;79;25.8;55.6;116.8;112;56.2;44.4;3.6;1146.6
2002;24.6;125.6;61.8;165.2;473.8;139.4;342.4;226;117.8;129.8;580.2;92.2;2478.8
2003;79;2.2;1.8;65.6;35.4;90.6;54.8;75.8;19;225.4;365;178.4;1193
2004;21.2;122.6;163.2;139.4;253.2;108;58;64.2;63.4;257;248.4;134.6;1633.2
2005;10;26.2;39;144.2;91.8;70.6;98.4;237.6;265.8;253.2;110.6;94.4;1441.8
2006;103.6;77.6;76;125.4;80.6;75.6;48.6;180.4;166.6;40.8;49;188.8;1213
2007;91.2;36.4;129.2;8.4;258.4;194.2;58.8;239.8;101.2;90.6;265.2;6.6;1480
2008;184.4;49.4;72.8;211;206.8;174.6;112.2;180.6;156.6;181;373.2;368.6;2271.2
2009;131;206.8;217.2;314.6;23.4;88;107.8;55;182.4;93.6;187.6;234.4;1841.8
2010;80.4;137.8;100.8;54.6;387.6;203.8;114.2;227.2;201.6;434.8;571.8;370.6;2885.2
2011;42.6;83.8;177.2;30.8;87;254.2;101.4;93.6;119.8;190;276.4;43.4;1500.2
2012;16.6;10.6;18;299.2;172.4;104.8;104.8;51.8;186.8;195.8;466.2;59.4;1686.4
2013;84.8;74.6;316.4;229.2;485;103.2;59.4;127.4;73.6;195.2;173.4;153.2;2075.4
2014;448.6;403.2;174;207;74.2;136.2;522.4;241.6;63.8;165;545.8;181.6;3163.4
2015;82.8;91.4;86.4;104;202.2;113;64.2;73.4;140.4;253.6;8.2;0;1219.6
2016;76.6;272;123.2;58.2;208.2;218;90.8;134;126.4;173;144.2;0.4;1625
2017;6;155.8;69.2;140;107.6;125;93.4;39.6;272;15.6;177.2;184.4;1385.8
2018;71.6;66.2;243.2;181.6;256.8;104;163.4;336.8;52.8;307.8;262.8;9.6;2056.6
2019;21.8;157.8;40.6;401;329.4;97.4;114.2;172.4;141.8;164.4;657.2;116.2;2414.2
2020;12;4;162;70;125.4;238.2;127.8;260;115.6;344.8;7.2;520.6;1987.6
2021;231.8;72.6;21.4;131;228.6;23.8;302.4;147.8;59.6;157.2;303.8;46.8;1726.8
2022;29.2;45.8;8;124.4;125.8;81.6;38.2;203.2;243.4;42.6;131.8;136;1210
Medio mensile;90.8;86.5;108.4;149.3;183.9;124.1;126;148.6;140;183.5;263.2;132.9;1737.1
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
