ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Buttapietra;;;;;;;;;;;;;
Coordinata X 1657525 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5023913 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 39 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;46.8;24.2;1.6;83.4;75;32.2;119.4;94.6;123.2;50.2;91.8;39.2;781.6
1995;30.6;70.6;16.6;48.8;122.8;98.2;24.4;88.4;126.6;15.2;31.6;141.4;815.2
1996;103.8;61.8;15.6;69;79.8;56.8;65.8;138;47.8;92;106.2;133.8;970.4
1997;58.8;5;2.6;48.2;29.6;113.2;81.6;38;13;3.6;81.6;121.8;597
1998;48.6;10.4;4.6;99;72.6;62;72.6;35.8;137.4;84.8;17.6;9.4;654.8
1999;27.4;6.2;69;90.6;124.6;130;113.8;62.4;128.4;105.8;81;46;985.2
2000;3.6;3;43;63.4;58.8;83.2;36.6;75;82.4;130;164.4;59.6;803
2001;78.4;10;138.4;72.6;68.2;24.2;63.8;28;112;52;51.6;2.4;701.6
2002;25.4;72;6.4;114.2;111.6;56.2;145.8;128.2;72;80;85.2;66.8;963.8
2003;30.8;1;4.4;67.8;33;56.4;19.4;21.4;19;79.8;93.6;48.4;475
2004;24.8;100.4;67;123.6;105.2;76.2;61.2;59.2;92;92;90.2;58.2;950
2005;4.2;1.8;23.8;109.4;61.2;11.6;226.4;160.6;62.4;147.2;63.8;47;919.4
2006;16.4;42.8;28.2;67.2;74;17.2;33.2;159.2;97.2;15.2;32.2;39.6;622.4
2007;19.4;48;85;3.6;45.4;59.8;11;55.6;91.4;47;62.6;9;537.8
2008;50.2;19;22.8;100.8;59.4;168.2;62.8;9.8;60.2;31;130.6;150.2;865
