ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Campagna Lupia - Valle Averto;;;;;;;;;;;;;
Coordinata X 1746123 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5026591 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 0 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;19;118;72.2;209.2
1998;34.6;12.4;23.2;119;47;57.4;58;27.6;76.6;191.4;15.4;17.4;680
1999;33.8;21.2;41;98.2;29.6;93.6;70.8;32.4;28.6;109.4;151;52.8;762.4
2000;3.6;7.2;77.2;43.8;45.6;47.6;24.4;96.6;99.2;168.8;79.8;53;746.8
2001;83.8;23.8;122.6;53.8;46.2;>>;103.8;34;79.4;43.8;31.8;4;627
2002;37.8;39.4;8;82.4;100.2;52.6;126.4;151.6;87.8;99.4;75.2;79.4;940.2
2003;28.6;18.8;3.2;93.8;23.4;41;11.4;80.6;79.6;59.6;92.8;64.8;597.6
2004;40.6;159;123;63.8;90.2;66.4;59.2;77.8;48;85;105;60.6;978.6
2005;4.4;1.6;8;84.4;66;39.8;68.6;151.6;73.8;227.6;162.6;52.6;941
2006;38.4;36.8;21.2;75.8;79;14.4;53.4;88.6;262.8;17.6;29.8;50;767.8
2007;22;75;85.2;1.4;127.6;66.8;17.6;39;449;45.2;19;34.8;982.6
2008;58.4;32.6;52.8;121.4;143.8;153.8;61.2;106.6;74.4;32.6;129.2;130.8;1097.6
2009;72.4;61.4;90;150;27.4;107.8;36.4;19.6;204.8;62;102;115.4;1049.2
2010;52.8;136;42.6;63.2;119.8;199;64.8;100.8;136;72.2;168;130.2;1285.4
2011;19.2;39.6;94.4;11.2;28.2;83;85.2;3.4;50.8;78.2;73.6;26.6;593.4
2012;12.2;25.4;1.4;57.4;84;24.8;2.8;28.2;65.8;148.6;80;43.8;574.4
