ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Campodarsego;;;;;;;;;;;;;
Coordinata X 1727659 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5042149 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 16 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;64.6;44.6;1.2;113.2;76.8;21.4;53.6;46.2;162.6;64;83;23.4;754.6
1995;41.4;86;40.6;68.6;226.6;151.8;39;89.8;122;13.6;30.2;86;995.6
1996;45;51.4;10.8;57;37;77.8;55.4;89.6;80.4;130.8;83.4;76.4;795
1997;87.2;4.4;8;55.4;25.6;73.4;71.6;41.4;18.2;8.6;106.2;121.4;621.4
1998;45;26.8;8.6;150.8;62;67.8;28.2;9.8;125.8;229.2;23;11.8;788.8
1999;32;21.4;45.4;99.6;55.4;111.4;94.6;103;43.6;137.6;162;62.4;968.4
2000;2;5.4;79.4;47;106.2;37.2;37.2;51.8;95.6;171.8;144.2;63.4;841.2
2001;90.4;10.2;153.2;79.4;58.2;59.2;118.4;101.6;69;49.2;50;1.8;840.6
2002;47.4;73.8;4;140.6;145.8;127.8;120.4;179.8;63.4;112;107.4;77.6;1200
2003;42.4;10.6;2;145.8;18;124.2;18.8;60;44.8;84.2;160.6;119;830.4
2004;45.8;224.8;85.4;77;101.8;76;99;57.4;99.4;132;105;91;1194.6
2005;4.2;1;12.2;68;100.8;51.6;198.4;156.6;80.4;205.6;189;58.4;1126.2
2006;27.8;42;37.2;85.6;86.2;23.4;33.6;183.2;193.8;17.2;42;69.8;841.8
2007;33.6;59;85.2;8.4;119.4;65.6;78.4;77.8;126.2;51;30;26.6;761.2
2008;91.2;46.8;75.6;122.6;139.8;126.2;65.6;51.2;67.2;58;183.4;185;1212.6
2009;68.4;71.8;152.8;155.6;20.2;94.4;45;51.6;164;46.8;114;98.6;1083.2
2010;63.4;142.6;53.8;37.2;192.8;118.2;171.2;85.8;101;137.6;182.8;179.4;1465.8
2011;25.4;49.4;124.2;10.6;31;105;110.2;2.2;50.6;98.8;100.4;30.8;738.6
2012;9.8;27;7.8;104.2;180.4;31.8;14.6;104.6;77.2;132.2;158;52.4;900
2013;99.8;88.8;261.8;112.4;211.6;31.4;19;95.4;38.2;77.2;122.4;26.4;1184.4
2014;235.8;202;85.2;95.8;130.6;79;335.4;168.6;81.4;38.8;194.6;72;1719.2
2015;13.4;58;79.4;75.4;85.2;78;69.6;52;7.8;89.6;2.2;1.8;612.4
2016;49;185.8;60.2;84.6;188;124.4;48.6;52.4;89.4;134.8;121.2;1.4;1139.8
2017;19.4;81.6;6.8;88.8;86.6;36;83.4;31.4;144.6;12.6;107.6;51;749.8
2018;27;57.2;152.8;47.8;113;58.6;155.2;113.2;72.4;136.6;95.2;17;1046
2019;10.2;48;11.2;194;237.4;18;146.8;58;76.4;67.4;218;113;1198.4
2020;14.2;7.8;70.2;61.2;48.8;114;36.6;104.8;23.6;116.6;16.2;124.6;738.6
2021;95.4;23.8;14.2;105.6;181.8;39.6;126.4;31;22.2;41;94.4;39.8;815.2
2022;21;28.2;9.2;65.4;50.6;9.8;19.2;100.6;83.8;9.6;124.4;108.8;630.6
Medio mensile;50.1;61.4;59.9;88.2;107.5;73.6;86;81.1;83.6;89.8;108.6;68.7;958.4
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;7;
1996;8;0;0;7;10;0;0;0;0;0;0;8;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;4;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;4;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;2;0;2;0;0;0;0;0;0;0;0;0;
2005;3;2;0;7;0;0;0;1;0;0;0;1;
2006;2;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;2;0;0;0;0;0;0;0;0;0;0;0;
2009;1;0;0;0;0;0;0;0;0;0;0;2;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;1;1;0;0;1;
2015;0;0;0;0;0;0;0;0;1;2;1;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;1;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;1;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Campodarsego;;;;;;;;;;;;;
Coordinata X 1727659 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5042149 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 16 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;4;4;0;12;10;6;3;3;12;6;4;4;68
1995;4;10;10;7;13;14;7;9;10;2;5;6;97
1996;4;6;2;5;5;6;3;8;10;11;11;5;76
1997;10;1;2;4;6;8;6;5;3;3;9;8;65
1998;7;2;3;16;8;7;4;2;10;8;3;3;73
1999;4;2;7;14;7;9;9;5;5;7;10;8;87
2000;0;2;7;4;4;5;7;6;7;16;13;9;80
2001;16;2;13;10;9;5;7;6;13;5;6;0;92
2002;1;6;1;11;13;10;11;11;7;7;14;10;102
2003;6;1;1;7;4;9;4;2;8;9;7;7;65
2004;4;11;7;12;10;11;6;5;3;10;9;11;99
2005;0;0;3;6;7;8;11;12;6;9;8;8;78
2006;4;10;7;7;6;3;4;14;4;2;4;6;71
2007;5;8;7;1;8;8;6;7;6;5;4;5;70
2008;7;4;9;14;12;12;7;7;6;4;12;11;105
2009;10;6;8;14;5;8;5;4;3;6;11;9;89
2010;9;9;8;10;11;6;6;6;9;9;14;12;109
2011;6;4;8;3;3;8;8;1;3;5;5;5;59
2012;2;2;1;14;9;6;4;5;11;6;9;7;76
2013;12;8;19;11;13;5;3;10;7;8;8;3;107
2014;15;17;5;8;10;7;12;10;8;4;14;9;119
2015;3;4;6;6;10;5;8;6;3;9;0;0;60
2016;9;16;6;6;14;16;4;8;6;8;7;1;101
2017;3;7;3;8;11;7;8;3;15;2;7;7;81
2018;5;11;15;7;11;9;10;8;4;5;9;2;96
2019;4;5;3;12;15;2;9;8;5;5;17;8;93
2020;3;2;7;5;9;9;6;11;5;11;3;11;82
2021;8;4;3;6;13;4;9;6;5;5;12;6;81
2022;2;2;1;8;7;5;5;11;10;2;13;10;76
Medio mensile;6;6;6;9;9;8;7;7;7;7;9;7;85
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
