ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Cansiglio - Tramedere;;;;;;;;;;;;;
Coordinata X 1764069 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5108350 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1022 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;150.4;73.2;28.6;252.4;196.2;135;97.2;192;245.4;152.8;155.6;46.4;1725.2
1995;48;65.4;83;136.6;271.2;293.2;131;139;285.4;0;43.4;156.4;1652.6
1996;89.6;43.6;16.4;107.4;225.6;137.8;135.2;233;59;488.8;343.6;82.8;1962.8
1997;107.4;1.4;19;62.6;119.4;237.8;165.6;114.4;22.2;21.2;402.2;377;1650.2
1998;33.4;14.2;9.4;416.6;143;205.6;188.6;51.8;188.6;346;31.6;2.4;1631.2
1999;84.2;16.8;163;214.2;159.2;228.2;137.6;178.2;300.4;225.4;114.4;69.6;1891.2
2000;1.2;7.4;230.6;114.4;135.8;109.6;125.8;83.2;115;390.4;779.6;94.2;2187.2
2001;219;16;358.6;145;117.2;132;234;123.6;212.8;56.8;76.4;0.4;1691.8
2002;20.2;107.8;70.4;207;332;367;185.2;276.6;207.8;112.6;752.8;146.6;2786
2003;78.4;7.2;7.2;147.2;99.2;70.4;149;192.8;62.4;207.2;437.2;79.6;1537.8
2004;13.6;147.4;71.6;155;330.6;184;75;188;122;325.8;176.8;111.4;1901.2
2005;7.8;25.6;55.6;220.4;98.8;101.6;185.2;297;246.2;373.6;102.6;107.6;1822
2006;63.2;66.8;102.8;183;162;53.2;152.8;240.2;248.4;55.4;24;259.4;1611.2
2007;168.6;52.8;183.6;27;167.6;164.2;166.2;165.8;214;45.2;238.8;6.2;1600
2008;323.4;60.6;78.4;208.2;245.6;190;119.8;132.2;153.4;282.6;321.2;437;2552.4
2009;267.2;167.4;320.6;334.2;77;140;171.2;106.4;251;111;235;324.6;2505.6
2010;103;154;66.4;52.4;357.6;243.2;142.2;193;210.2;396.6;634;478.6;3031.2
2011;35.4;59;275.6;52;109.6;212.4;218.4;113.6;144.2;257.2;280.8;47.8;1806
2012;23.8;15.8;21;252.8;257.6;92.6;150.4;96.4;203.8;268.6;672.8;58;2113.6
2013;84.8;84.2;253.2;164.2;431.8;139.6;62.2;168.2;102.8;152.2;272;418.8;2334
2014;587.6;470.4;180.6;123.4;129.4;209.2;318.8;310;112.8;80.4;564.6;129.8;3217
2015;100.6;40;188;56.6;157.6;126.8;41.4;140;215.4;239.8;10.2;0;1316.4
