ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Caprile;;;;;;;;;;;;;
Coordinata X 1729706 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5147354 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1007 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;75.8;38.8;10;66.4;104.2;48.8;136.8;123.2;237.6;60.2;43.6;13.2;958.6
1995;28.2;31.8;24.6;49.6;131;133.4;100.6;74.8;132.6;1;16;67.8;791.4
1996;31;12;5.8;29.6;146;101.4;128.4;198.2;34.2;201.8;231.2;38.2;1157.8
1997;53;6.2;9.8;23.8;80.2;219.2;146.8;110.6;22.4;2.8;156.6;86.4;917.8
1998;20;7.4;2.8;175.2;53;159.2;132.2;91.8;148.6;181.8;22;1;995
1999;45.2;9.6;92.8;90;147.8;137.8;106;123;127.4;114.6;33.6;28.2;1056
2000;2.8;2.8;91.2;73;68.8;64.6;106.2;120.6;127;260;355.6;28.6;1301.2
2001;115.8;11;124.6;80.2;62.8;109.2;134.4;98.2;101.4;28.6;19.2;0;885.4
2002;7;53.4;40.4;116.4;220.4;147.6;89.8;123.4;118.8;76.6;453.8;48.8;1496.4
2003;15.4;1.6;0.6;41;91;126.4;101;101.8;27.2;128.8;218.4;60.8;914
2004;6;45.8;21.8;40.2;101.8;103;176.8;82.2;61.8;170.6;72.6;52;934.6
2005;4.6;2;38.6;75.4;90.6;94.8;116;109.6;91.4;195.8;37.6;35.8;892.2
2006;12.4;44;33.8;79.2;69.8;46;129.8;191;66.4;37;16;84.8;810.2
2007;75.6;20.4;98;27;111.8;112.6;114;233.8;78.2;34.4;98;3;1006.8
2008;103.8;20.2;40.2;98.6;120.8;143.2;136.8;128.6;84.8;149.4;166.8;164.4;1357.6
2009;24.8;65;111.4;123;26;102.4;123.2;97.4;91.2;41.2;147;121.2;1073.8
2010;25.8;43.2;34.4;38.6;186.8;108.2;83;118.8;124;114;181.8;136.4;1195
2011;13.4;17.4;62.2;9;119.8;171.6;62.6;62.2;97.4;95;39;14.6;764.2
2012;15.4;5.2;40.6;109;93.6;83.4;198.8;135.4;159;129.8;258.8;19.8;1248.8
2013;33.2;52.8;99.6;85.4;204.6;107.2;108.4;86;52.6;134.2;146.4;94.6;1205
2014;255.8;193.4;60.2;79.2;41.2;144.2;148.6;129.6;54.4;79;262.2;63.8;1511.6
2015;46;30.6;58;19.4;110.2;120;31.4;121.8;129.8;105.4;0;0;772.6
2016;33.6;91.6;66.8;84;89.8;138.4;122.4;151.8;85.8;96.8;56.4;0;1017.4
2017;2.6;41;38.4;93.8;88;136.2;109.8;75.4;174.2;13.2;104.8;115.8;993.2
2018;67;14.2;110.4;86.2;164.2;69.2;122.2;229;47.4;327;75;8.2;1320
2019;15;95.6;25.8;215.6;156.2;59.8;237.6;116.2;112;77.2;425.4;75.6;1612
2020;2;4.8;76.4;25.8;82;126.4;129.2;310.4;55.8;206.2;6.6;291.2;1316.8
2021;99.2;47.4;2.8;33.6;114.4;64;163.4;142.2;31;55;138;19.8;910.8
2022;7.6;21.8;7;56.2;47.2;127.6;141.2;87.8;99.6;45.2;58;57.2;756.4
Medio mensile;42.7;35.6;49.3;73.3;107.7;114;125.4;130.2;95.7;109.1;132.4;59.7;1074.9
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;1;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;1;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;2;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;3;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;1;0;0;
2006;0;0;0;0;1;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;5;3;0;0;0;1;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;5;5;3;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;2;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;1;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Caprile;;;;;;;;;;;;;
Coordinata X 1729706 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5147354 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1007 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;8;4;2;11;16;7;17;11;12;8;5;2;103
1995;7;7;6;8;14;15;12;12;11;1;5;9;107
1996;8;3;3;6;15;13;9;18;8;10;16;9;118
1997;6;2;3;3;13;22;12;11;5;1;10;8;96
1998;6;2;2;16;11;20;9;15;12;11;5;0;109
1999;5;3;8;11;18;19;12;14;9;8;6;6;119
2000;1;1;7;12;11;12;12;12;8;17;18;7;118
2001;12;3;14;10;14;12;13;11;11;3;3;0;106
2002;1;6;6;12;16;13;10;13;13;9;14;6;119
2003;3;1;0;6;12;14;10;12;7;10;7;7;89
2004;3;6;4;8;10;7;13;11;4;11;5;7;89
2005;2;2;5;10;9;11;12;13;10;9;6;4;93
2006;3;8;5;12;10;7;15;20;5;5;4;6;100
2007;4;4;6;5;16;16;8;16;7;7;5;1;95
2008;7;4;9;13;15;18;15;11;11;6;14;10;133
2009;3;4;8;10;7;13;12;10;10;5;8;11;101
2010;4;7;4;6;16;8;9;14;12;6;17;12;115
2011;3;5;7;5;11;18;13;7;5;5;5;3;87
2012;5;3;5;13;14;10;16;11;11;9;11;5;113
2013;7;8;16;12;18;9;15;10;11;11;12;3;132
2014;10;15;5;9;6;18;15;17;11;7;13;7;133
2015;5;6;8;5;13;12;9;13;10;11;0;0;92
2016;4;12;8;11;10;18;17;11;7;12;9;0;119
2017;1;7;5;9;13;17;14;6;17;3;7;7;106
2018;6;5;14;12;22;10;13;18;8;6;9;5;128
2019;7;5;4;16;16;7;17;11;8;10;17;9;127
2020;1;2;9;4;11;14;16;19;9;12;2;12;111
2021;8;3;1;9;17;12;13;11;6;3;8;5;96
2022;1;3;1;9;13;11;9;14;12;4;9;8;94
Medio mensile;5;5;6;9;13;13;13;13;9;8;9;6;109
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
