ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Casamazzagno;;;;;;;;;;;;;
Coordinata X 1769316 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5166067 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1342 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;65.4;32.4;12.2;87.8;109.2;80.8;183.8;150.8;219.6;64.8;38.8;18.4;1064
1995;47.6;43.2;36.6;59;139.6;169;136.6;93.8;119;0;17.2;67.6;929.2
1996;23;15.6;4.8;38.6;116.2;75.8;79;166.6;38.6;209;209.6;35.2;1012
1997;47;8.2;11.2;28.4;61.6;215.8;154;84.8;47;4.4;132;89.6;884
1998;17.2;7.4;5.4;159.4;55.2;178.2;151.8;74.4;112.4;39.8;31.4;2.4;835
1999;46.8;10;92;87.4;155.2;121.6;127.8;205.8;110.8;110.6;36.2;38.4;1142.6
2000;6.2;6.4;85.2;82;73.6;75.8;107.4;93.6;123.4;208.4;300.4;41.6;1204
2001;145.2;13.6;113.8;88.6;69.2;107;93.6;131.8;98;23.8;27.8;0.2;912.6
2002;7.4;45.2;41.6;120.2;161.2;207.8;138.2;122.2;105.8;67.2;320;40;1376.8
2003;19.6;2;0.6;46.6;93.6;107.2;114.2;82;20;119.4;215.4;53.4;874
2004;6.4;39;32.4;68.8;113;172.6;171.8;152.6;65.6;131;52.4;67.2;1072.8
2005;5.2;7.8;17;71.2;114.6;99;195.2;161.2;140.8;195;46;41.6;1094.6
2006;6.8;50.6;63.4;98.8;91.6;43.4;106.2;237;73.4;57.8;11.4;80.8;921.2
2007;72.4;28.6;91.2;20.8;90.4;119.2;167.2;218.4;127.8;43.6;74.2;7.4;1061.2
2008;108.4;17.6;52.6;96.4;122.8;121.6;202.6;143.4;71.4;147.4;132;167;1383.2
2009;99.2;59.4;110;97;18.8;164.8;104.4;87.8;118.2;41;82.6;139.6;1122.8
2010;26.6;49;49.4;19.8;154.6;108.8;95.8;170;121.4;117.2;162.6;128.2;1203.4
2011;16.8;20.6;56;35.6;171.8;164.6;130;86.8;177.6;120;36.6;26.4;1042.8
2012;24;12.6;21;120.8;75.4;117.2;228.4;126.2;198.4;88.8;284.6;33.2;1330.6
2013;69.8;55.8;115.2;82.4;184;91.8;78.6;139;53;119.2;149.8;27;1165.6
2014;198;206.4;76.4;62;81.8;156.4;132.6;247;72.4;70.6;252;58.6;1614.2
2015;50.2;15.8;67.4;35;186.2;88.6;134.2;151.4;149.4;112;4.6;0;994.8
2016;38;112.2;90;89.6;93.4;194;148.8;148.8;74.4;94;78.4;0.6;1162.2
2017;6.6;62.8;21.8;115;91;112.8;133.2;90;158.8;21.2;97.2;114.4;1024.8
2018;64.8;42;99.4;95.2;154.2;54.2;102;133;60.6;264.8;54;10.8;1135
2019;17;90;40.8;167.8;130.2;38.4;98.2;95.4;88.8;82;379.8;88;1316.4
2020;4;7.4;76.4;21.6;81.4;122.4;174.2;236.2;96.8;143.4;7.8;360.4;1332
2021;146.6;45.6;6.6;33.6;137.2;58.2;153;140.4;53.4;59.8;103.8;29.6;967.8
2022;28.2;18.6;8.8;75.2;75.6;197.8;108.4;175;76;38.2;37.8;66.2;905.8
Medio mensile;48.8;38.8;51.7;76;110.4;122.9;136.2;142.9;102.5;96.4;116.4;63.2;1106.4
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;2;0;0;3;0;0;
1995;0;0;0;0;0;0;0;0;1;3;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;2;0;0;0;0;0;
1998;0;0;0;0;0;2;0;0;0;4;0;0;
1999;0;0;0;0;0;0;2;0;0;0;0;0;
2000;0;0;0;0;0;1;0;0;0;0;0;0;
2001;0;0;0;0;0;0;2;0;3;1;0;0;
2002;0;0;0;0;0;0;0;2;0;0;0;3;
2003;3;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;1;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;5;0;0;0;1;0;0;
2009;0;0;0;0;1;2;2;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;2;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;4;
2014;2;0;0;0;0;0;2;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;1;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Casamazzagno;;;;;;;;;;;;;
Coordinata X 1769316 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5166067 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1342 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;8;4;3;13;13;12;13;16;13;9;4;4;112
1995;7;7;8;8;14;15;11;14;14;0;4;9;111
1996;8;3;1;9;16;12;8;16;7;10;15;7;112
1997;8;4;3;4;13;23;13;12;5;1;10;10;106
1998;5;1;2;17;9;18;12;12;12;6;7;1;102
1999;5;4;7;11;18;17;13;16;7;8;8;6;120
2000;1;2;8;11;15;9;14;10;9;17;17;8;121
2001;12;3;15;9;11;11;15;11;9;3;5;0;104
2002;1;7;5;13;17;13;14;13;13;9;15;7;127
2003;5;2;0;8;10;17;10;9;7;10;6;7;91
2004;4;8;5;12;14;11;15;11;4;9;5;7;105
2005;4;2;7;12;12;10;14;16;13;8;7;6;111
2006;2;6;7;10;13;10;10;18;4;6;4;5;95
2007;4;7;9;4;15;14;10;19;7;8;5;1;103
2008;7;4;10;13;14;14;20;11;11;5;11;11;131
2009;7;7;8;12;6;11;10;11;10;4;7;12;105
2010;7;7;4;4;15;9;11;12;11;8;16;13;117
2011;5;6;7;6;12;19;19;9;9;5;5;6;108
2012;7;4;4;12;14;12;17;12;10;10;13;5;120
2013;8;7;15;11;20;8;11;10;8;10;13;1;122
2014;8;17;5;9;8;13;14;18;15;7;15;5;134
2015;9;6;8;6;17;10;11;14;10;9;1;0;101
2016;4;12;6;12;13;22;17;12;9;11;10;0;128
2017;1;7;5;8;14;13;14;9;14;2;8;8;103
2018;8;6;15;11;24;9;14;9;8;7;8;4;123
2019;6;5;4;14;18;6;17;15;7;11;20;8;131
2020;2;2;9;4;11;14;18;18;10;11;3;11;113
2021;7;3;1;7;17;11;16;13;9;4;8;5;101
2022;1;2;1;10;15;14;12;14;13;4;6;7;99
Medio mensile;6;5;6;10;14;13;14;13;10;7;9;6;112
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
