ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Castana;;;;;;;;;;;;;
Coordinata X 1679369 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5076164 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 420 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;177.6;70.4;54.4;194.2;220.8;49.8;131.2;73.2;339.4;104.4;224.6;73.4;1713.4
1995;53;80.4;68;214.4;285.4;157;100.8;106.8;298.8;0.4;90.8;233;1688.8
1996;204.6;39.6;33.4;108.8;161;82.8;182;257.8;42.4;425.4;398.4;134;2070.2
1997;118.2;1;2.2;50;88;204.4;118.2;63;24.6;23.4;310.6;172.6;1176.2
1998;31;33;15;329.8;144.4;130;76;59;240;290.2;22;16;1386.4
1999;81.4;9.6;154;222.4;101.4;130.6;87.4;99.8;365.8;260.2;136.2;62.8;1711.6
2000;0.4;4.6;194.6;163.8;98.8;83.8;79.8;128.8;158.8;360.8;664.8;56.4;1995.4
2001;134.6;13.6;260;95.2;97;10;>>;>>;>>;>>;>>;>>;610.4
2002;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2003;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2004;>>;128.8;45.4;197.8;262.8;133.2;58;82.2;63.2;287.8;281.4;148.6;1689.2
2005;9.4;19.8;39.8;145.6;119;74.2;98.8;182;211.8;258;107.6;99.2;1365.2
2006;128;90.2;61.4;108.6;87.6;46.8;85.8;178.4;169.8;25.6;33.4;152.6;1168.2
2007;68.6;28.2;119.8;8.8;239.6;148.2;58.8;244.6;120.4;96.2;293.8;3;1430
2008;163.4;40.4;55.4;195;182;185.4;139.6;118.8;137.8;150.6;398.8;387.6;2154.8
2009;100.2;211.4;230;367.2;12;84.2;80.8;47.2;209.8;98;275.6;180.8;1897.2
2010;55.4;143.8;117.2;54.6;317;234.6;95.2;239.4;227.2;478;656.8;397.8;3017
2011;48;99.2;212;33.2;82;217.6;80.6;71.8;121.8;165.6;382.2;36;1550
2012;15.2;12.6;15;277;182.8;106.8;110.6;55.2;169.4;299;536;51.8;1831.4
2013;85.8;79.2;279;226.6;528.8;102.6;62.2;178.6;64.4;167.6;200.2;274.8;2249.8
2014;461.2;407.2;141.8;214;85.4;122.8;407.2;255.8;70;126.4;764.6;222.2;3278.6
2015;67.2;139.2;101.4;97.4;180.8;102.4;74.6;72.4;127.2;248.6;7;0;1218.2
2016;64.8;275;126.6;49.6;186;174.4;106.2;160.6;58.4;181;134.2;0.4;1517.2
2017;5.6;127.2;65.6;111;115.4;126.2;95;41.6;212.4;14.2;189;161.4;1264.6
2018;109.2;53;230.8;188.2;232.4;129.8;128.2;290.6;56.2;456.6;249.4;7;2131.4
2019;17;124.8;35.4;463.4;316.8;80.4;193.6;120.6;139.6;147.8;819;120.8;2579.2
2020;17.4;5;137;44;141;177.2;127.6;261.4;122.2;430.6;7.4;580.6;2051.4
2021;241.8;68;15;112.2;256.6;25.2;285.4;99.2;60.4;117.4;303.4;38;1622.6
2022;18.4;43.4;7;102.6;133;75.8;45.4;158.8;119;29.6;126.6;133.8;993.4
Medio mensile;95.3;87;104.3;162.1;179.9;118.4;119.6;140.3;151.2;201.7;292.8;144;1754.1
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;5;1;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;2;7;0;0;0;
2001;0;3;0;0;0;14;31;31;30;31;30;31;
2002;31;28;31;30;31;30;31;31;30;31;30;31;
2003;31;28;31;30;31;30;31;31;30;31;30;31;
2004;31;7;5;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;1;0;0;0;1;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;2;
