ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Castelfranco Veneto;;;;;;;;;;;;;
Coordinata X 1729533 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5064401 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 49 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;65.4;35.4;4.6;125.4;85.6;54.8;51.6;64.8;180.8;80.2;67.4;26.4;842.4
1995;42.8;70.2;44;58.8;201.2;155.4;82.8;136.8;149.4;5.2;33;148.2;1127.8
1996;91.4;41.4;16.6;109.6;99.4;57.4;88.8;182.6;62;167;99;94.8;1110
1997;74.8;0.2;5.2;63.2;71.2;89.6;68.6;58.8;42.4;31;127.6;145;777.6
1998;39.2;21.8;1.4;185;43;152.8;38.4;59.4;176.8;207.6;17.8;4.8;948
1999;36.2;11.4;61.6;87.4;76.8;120.4;84.4;75.8;61.2;140.6;106.2;43.6;905.6
2000;0.4;2.2;82.4;66.6;70.6;81.2;90.8;80.6;122.4;183;224.6;64.4;1069.2
2001;106;7;175.2;76;89;31.8;136;102.4;102.2;48.2;57.8;2.8;934.4
2002;36.8;85.8;15.4;162.6;242.8;122.2;237;133.8;100;131.4;167.6;77.2;1512.6
2003;70.8;8.6;1;112;21.6;65;37.8;37.8;59.8;88.4;162;122.4;787.2
2004;32.6;200;91.6;75.6;125.4;151.4;40.8;95.2;102.2;175.6;88.2;92.4;1271
2005;9.8;17.4;20.4;153.4;80.4;69.2;144;155.6;189.2;184.4;173.8;61.2;1258.8
2006;37.4;52.2;48.8;95.4;161.6;58.6;33;169.4;213.2;19;50.2;88.4;1027.2
2007;35;48.6;109.4;14;150.6;75;34;146.2;105;58.4;54.8;12.8;843.8
2008;129.4;52.8;66.2;162.4;160.6;175.8;53.2;83.4;85.4;92.8;174.8;251.4;1488.2
2009;97;84;178.6;128.6;26;100.8;62.4;20.8;165.8;46.6;126.4;143.8;1180.8
2010;69.4;129;62.4;37.4;206.8;194.4;88;86;170.2;179.8;263;190.2;1676.6
2011;33.8;48.2;129.8;14.8;72.8;175.2;207;18.4;84.8;125.2;82;33.6;1025.6
2012;12.4;24;6.8;104.6;159.4;40.4;49;84.8;123.6;141.4;280.2;53.4;1080
2013;108.4;80;256.8;106.2;238;32.2;41.6;105;31.4;76.8;177.8;51;1305.2
2014;297.8;277.6;96.8;40.4;113.6;161;248;127.6;111.8;56.4;205;84;1820
2015;24;61.8;87.8;56.6;85.2;106.6;55.4;72.6;140.6;105.8;10.4;0;806.8
2016;45;212.2;83.2;84.6;148;141.2;30.2;51;105.4;92.8;121;0;1114.6
2017;18.6;83;13;126.6;123.2;92.4;61.4;45.2;167.2;18.4;137.2;94.2;980.4
2018;35.6;48.4;151.4;53.8;107.2;92;167.4;158.8;87.4;171;110.2;17;1200.2
2019;15;86;22.2;233.8;341;16.6;140.2;109;102;59.6;241.8;101.4;1468.6
2020;13.4;7.2;100.4;31.8;59.2;265.4;31.4;150.4;105;150;13.4;182.2;1109.8
2021;115.6;42;11.8;116;262.6;53.6;86.2;89.2;21.4;79;154.6;41;1073
2022;23;37;7.2;63.8;49.4;30.8;19;112.6;100.8;11;112;116.2;682.8
Medio mensile;59.2;64.7;67.3;94.7;126.6;102.2;86.5;97;112.7;100.9;125.5;80.8;1118.2
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;4;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;1;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;1;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;4;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;1;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;1;0;1;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Castelfranco Veneto;;;;;;;;;;;;;
Coordinata X 1729533 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5064401 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 49 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;5;4;1;11;8;7;4;4;11;8;4;4;71
1995;5;11;8;8;13;15;4;12;11;1;6;13;107
1996;7;6;2;12;11;6;4;13;10;11;12;10;104
1997;9;0;3;5;7;14;7;7;3;2;9;8;74
1998;7;2;1;17;11;8;4;3;10;11;3;2;79
1999;4;2;7;8;9;10;8;8;7;8;8;6;85
2000;0;1;6;5;4;7;10;7;8;14;14;11;87
2001;14;2;14;8;11;6;9;8;13;3;6;1;95
2002;2;7;4;14;15;8;13;9;12;6;13;8;111
2003;6;1;1;6;4;10;5;4;9;9;8;8;71
2004;5;10;8;11;10;11;8;8;5;11;9;10;106
2005;2;2;4;10;6;8;10;14;10;9;6;9;90
2006;5;9;7;7;5;4;5;13;4;4;5;7;75
2007;5;7;7;1;10;10;5;10;8;6;3;4;76
2008;9;4;11;14;15;13;7;7;9;5;10;11;115
2009;12;6;9;11;6;11;4;4;4;5;11;11;94
2010;8;10;9;9;15;8;6;6;10;8;13;14;116
2011;6;4;8;5;2;8;10;3;5;5;5;5;66
2012;2;4;2;13;10;3;5;4;11;8;9;6;77
2013;11;7;21;13;18;7;4;9;6;11;11;5;123
2014;15;19;5;7;13;10;16;11;8;6;15;8;133
2015;4;3;6;5;8;8;4;7;7;10;2;0;64
2016;6;14;8;6;15;12;5;7;5;10;9;0;97
2017;3;8;3;8;10;10;6;3;13;2;8;7;81
2018;2;7;16;7;14;10;11;7;6;7;11;3;101
2019;4;4;3;13;16;2;12;11;7;7;19;8;106
2020;3;3;7;3;9;10;9;13;7;10;2;13;89
2021;8;5;2;5;14;5;8;8;3;5;12;4;79
2022;2;2;1;9;9;7;3;12;13;2;10;10;80
Medio mensile;6;6;6;9;10;9;7;8;8;7;9;7;91
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;4;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
