ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Castelnovo Bariano;;;;;;;;;;;;;
Coordinata X 1681407 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4988995 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 10 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;36;34.6;0.8;107.6;29;46.2;40.6;34.4;86.6;58.8;56.6;31.4;562.6
1995;16;72.4;25.8;36.4;170.8;129.4;10.8;112.8;62;6.2;13.4;99;755
1996;98;49.2;16.6;130;95.4;46;27.2;120.6;64.8;99.6;69;125.2;941.6
1997;90.2;2.8;20;24.8;27.8;128.8;18.4;>>;8.2;15.4;87.2;86.6;510.2
1998;48;12.4;9.6;66;92.4;61.6;33.4;27.4;129.2;74.4;17.8;20.8;593
1999;35;13;36.4;102.2;76.4;89.6;38.8;62.4;70;114.4;117;43.8;799
2000;6.4;4.8;42;45.2;54;66.4;55;30.8;34.2;174.2;76.6;62;651.6
2001;70.2;7.4;104.4;50.8;54.2;29.4;97.4;64.2;68.8;43.8;49.6;3.4;643.6
2002;27;39.4;1.8;95.6;120.6;109.2;85.4;197.6;101;72.2;68.6;120.4;1038.8
2003;31;4.4;20.2;100.8;39.8;94.4;16.6;6.6;18.8;51;101.2;54.2;539
2004;54.6;84.4;77.6;73.4;45.8;49.2;63.4;51;83.6;106.6;75.6;78.6;843.8
2005;8.4;1;16;73.8;119;15.4;90.2;106.6;34;129.2;111.2;46.6;751.4
2006;19;34.4;28.2;26.8;28;15.4;4.4;132.4;94.2;16.6;44.4;23.6;467.4
2007;12;47.4;112.2;3.2;57.4;51.8;2;37.2;19.6;62.6;31.2;17.6;454.2
2008;41.8;14.6;34.2;62.2;107;137.8;35;43.4;50;37.8;120.4;91.8;776
2009;44.2;34.6;86.6;117.8;13.6;36.6;72.4;48.6;97.6;39.6;59;80.6;731.2
2010;55.4;95.4;47;63.6;114.2;165;1.4;83;76.2;71.8;106.4;77.2;956.6
2011;19.2;50;29.6;3.6;24.8;73.6;47.2;0.4;52.2;82.2;44.8;20.2;447.8
2012;3.4;22;0.8;96.6;52.8;15.2;2.4;41.6;101.6;137.4;130.8;37.6;642.2
2013;99.4;72;145;75.8;119.2;18.2;28.4;97.4;20.4;165.8;81.4;13;936
2014;107.6;86;24;79.8;52.8;44.6;80.8;81.6;51;27.2;82;62.2;779.6
2015;19.4;91.4;64.4;27;75.8;40.6;34.6;31.8;38.8;87.6;21;3.6;536
2016;39.6;145.6;30.2;17.6;142.2;107.4;23.2;31.8;41.6;110.6;129.2;9.2;828.2
2017;2.8;66.4;20.2;33;68;15.8;38.2;1.2;112.4;46.6;117.8;16.8;539.2
2018;16.2;76.2;128.8;26.8;66.6;109.6;28.6;120.4;45.8;105.6;137.8;18.8;881.2
2019;30.4;33.2;4;72;172.4;5.4;57.4;46;63.2;54.4;205.4;82;825.8
2020;18.2;2.8;41.2;12.2;51.2;94.4;110.4;151.2;23.4;71.6;19.6;138;734.2
2021;55;16.2;4.6;69.6;81.6;31.4;109;4.4;96.4;29;72;51.8;621
2022;15.4;11.8;12.6;28.8;49.6;6;32.6;156.2;60;4;111.8;99.8;588.6
Medio mensile;38.6;42.3;40.9;59.4;75.9;63.3;44.3;68.7;62.3;72.3;81.3;55.7;702.6
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;3;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;16;31;5;2;0;0;
1998;0;5;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;2;0;
2000;0;0;0;0;0;0;3;0;0;0;0;5;
2001;0;2;0;0;0;0;0;0;0;0;3;1;
2002;1;0;3;0;0;0;2;0;0;0;0;0;
2003;1;0;0;0;0;0;4;0;0;0;0;0;
2004;2;4;2;0;0;0;0;0;0;4;0;0;
2005;0;2;1;0;0;0;0;0;0;0;0;1;
2006;1;0;0;1;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;1;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;2;0;
2009;4;1;0;0;0;0;0;0;0;0;0;4;
2010;3;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;2;0;0;0;0;0;0;0;0;0;
2012;0;1;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;3;0;0;0;
2015;0;0;0;2;0;0;0;0;0;0;0;0;
2016;0;0;2;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;2;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Castelnovo Bariano;;;;;;;;;;;;;
Coordinata X 1681407 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4988995 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 10 m s.l.m.;;;;;;;;;;;;;
