ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Castelnuovo del Garda;;;;;;;;;;;;;
Coordinata X 1638553 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5035030 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 120 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;52.6;23;4.2;58.2;70.2;33.8;70.6;100;128;59.2;93.8;41.6;735.2
1995;42.8;81;36.6;67;91.2;128.2;20.4;138;51.6;19.6;50.8;137.6;864.8
1996;135.4;67.8;20.6;69.8;96.6;58.6;119.4;65.6;41.8;114.4;137;138;1065
1997;97.4;6.2;1.8;39;28.2;155.6;60;84;7.4;8.2;95.6;127.4;710.8
1998;49.6;6.4;1;115.8;97.2;48.6;50.4;12.4;112.2;85;27.2;6.8;612.6
1999;19.4;2.6;72;78.6;43.2;98;46.6;81;150.6;144.6;84;45.2;865.8
2000;2.2;3;69.4;66;49.6;42;28.2;125.8;107.4;138.6;165;70.6;867.8
2001;111.4;11;188;68.2;126.4;18.2;59.8;46;133.2;48.8;66.8;1.6;879.4
2002;27;68.8;12.2;106.2;140.2;98.6;87.8;175.8;86.8;72.6;121.6;60.8;1058.4
2003;43.4;0;5.8;68.8;29.2;88.6;52.4;10.8;33.6;107;120.2;75.2;635
2004;29.4;84.4;77;97.8;85.4;70;106.8;121;58.6;115;131.2;66;1042.6
2005;2.4;8.6;50.2;111.4;79;48.8;142.4;130.2;62.2;200.6;81;50.2;967
2006;16.4;48.4;25.6;78.8;52.6;46.4;15.8;230.6;105.2;20.6;27.2;50.8;718.4
2007;28;47.6;36.4;8.6;83.8;134.8;25.6;97;101.6;51.6;119.2;11.2;745.4
2008;53;22.4;19.2;155.8;52.2;133.4;75.8;15.4;125.6;44.4;187;158.8;1043
2009;105.2;41.8;109;108.2;8.2;90.6;95.4;42.4;55.2;82.8;106.4;95;940.2
2010;50;108;42;34;90.2;136.2;95.2;98;127.8;134.6;234.4;149.4;1299.8
2011;46;67.4;82.4;6.6;24.4;137.8;119.2;2.4;66.6;78.4;56.8;32.4;720.4
2012;17.2;13.6;2;86;98.6;30.2;44;35.8;144.2;131.8;157.8;73;834.2
2013;74.2;62;218.6;132.4;231.4;46.6;14;68.6;30.2;75;114.2;37.4;1104.6
2014;187.2;180;55.6;91.4;68.6;77.2;261.2;208.6;73.6;32;145;74;1454.4
2015;28.8;88.8;38.8;36.6;62.2;28.2;25.6;60.2;76.8;129.8;7.2;4;587
2016;40.4;109;41;47.6;139.4;124.2;85.4;87.8;90;107.8;59.8;3.6;936
2017;8;70.8;61.4;71.4;70.6;48.4;35.8;5.2;120.8;19.4;76.6;47.6;636
2018;41.2;40.2;95.4;62.4;142.2;53.4;46;103.2;87.2;93.6;96.2;30;891
2019;22.8;63.8;8;120.8;152;6.4;48.8;65.2;117.4;60.8;237.8;83.2;987
2020;14;5.2;76.2;15.2;89.4;142.2;81;172.6;52.2;139;12.6;219.8;1019.4
2021;94.8;33.2;1.8;81.2;95.6;20.2;103.8;43.6;50.4;55.8;133;35;748.4
2022;20.8;31.2;9;38.4;23.2;21.6;22.2;142.8;67.4;4.6;105.6;116.6;603.4
Medio mensile;50.4;48.1;50.4;73.2;83.5;74.7;70.3;88.6;85;81.9;105.2;70.4;881.8
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;3;0;0;0;
1995;0;0;0;0;0;0;0;0;2;0;0;0;
1996;0;0;0;0;0;5;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;1;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;2;1;0;0;0;0;0;0;0;0;0;0;
2005;2;1;0;0;0;0;0;0;0;0;3;1;
2006;1;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;2;0;0;0;0;0;0;0;0;0;0;0;
2009;0;2;0;0;0;0;0;0;0;0;0;4;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;2;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;1;0;0;0;0;0;0;
;;;;;;;;;;;;;
