ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Cavallino Treporti;;;;;;;;;;;;;
Coordinata X 1772599 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5039846 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;57.6;49.2;3;106.6;45.6;32.4;54.2;88.6;139.8;88.4;46.2;29.6;741.2
1995;40.8;70;60;37.4;173.6;99.6;64.8;58.2;59.4;2.6;21.6;131.4;819.4
1996;97.4;47.8;15.4;104;56.2;61.6;45;138.2;97;143.4;70.4;142;1018.4
1997;68;0.8;14.8;57.8;34.4;35;82;70.4;18.2;39.6;137.6;82.2;640.8
1998;25.6;3.2;8.6;111.2;73.8;36;61.2;34.6;100.6;246;15.8;9.8;726.4
1999;25;20.6;53.2;104.8;39.6;119.6;36;79.8;45.2;99;137.8;61.4;822
2000;0;6.8;47.2;49.6;80.8;7.6;33.6;34.6;76.8;164.6;146.4;71;719
2001;80;23.2;86.4;65;46.4;68.2;77.8;55;122.6;48.8;47.4;13.2;734
2002;32.8;49;2.8;115;122.8;158.2;110.6;116.4;114.8;178.6;92.2;61.2;1154.4
2003;39;21.2;2;117.4;34.2;46.8;21.4;28;57.8;68.6;176.8;78;691.2
2004;40.8;193.4;86.8;66;100.8;135;38;58.6;70.6;141.8;107.4;78.2;1117.4
2005;26.4;16.2;21.8;88.8;67.8;38.4;47.4;120.4;90.2;160;118.8;46.8;843
2006;32.2;16.6;42.8;81.6;69.2;6;58.2;203;175.4;12;24.2;53.2;774.4
2007;14.8;87.8;84.8;1.2;135.2;41;36.8;72;250.8;30.8;13.2;28.8;797.2
2008;78.2;36.6;70;94.2;133.6;102.4;113.6;116;54.8;33.8;184;139.2;1156.4
2009;78.2;77.8;122.4;96.4;18.2;62.6;7;33.8;178.6;49.8;125.4;122;972.2
2010;69;116.6;52.6;63.6;107.8;91.8;59.6;73.6;116;67;204;153.6;1175.2
2011;15;47.4;124;8.4;21.8;44;71.6;10.4;53.2;84;49.2;20.8;549.8
2012;9.8;22;1.4;76.8;81.4;27.2;1.2;23.6;98.4;152;86.4;44.4;624.6
2013;108.4;139.4;309.2;59.4;164.6;37.6;32.4;51.4;13.2;87;144;12.6;1159.2
2014;131.6;170.4;79.4;30.4;182.2;29;242;34.6;114.8;37.8;193;105.2;1350.4
2015;18.6;40.2;104.4;30;51.8;92.4;72.8;59;42;129;18.2;0.6;659
2016;48.6;169.8;43.8;71.8;158.6;114.4;20.8;89;105.4;97.8;129.2;5.8;1055
2017;23.2;86.2;10.4;74.4;64.2;92.8;40;30;242.6;23.4;105.6;54.6;847.4
