ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Cavarzere;;;;;;;;;;;;;
Coordinata X 1742665 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5005550 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione -2 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;21.2;47.6;26.8;96;69.4;68.4;19;81.2;67.8;110.4;65.8;135.4;809
1997;71.8;6.8;18.6;29;42.6;80.6;74.6;46;20.2;10.8;108.6;63.8;573.4
1998;30.8;7.6;11;74.6;67.8;58.4;53.4;21.8;113.4;136.4;21;26.6;622.8
1999;31.8;14.8;35.2;90.6;27.6;43;71.2;34.8;57.8;105.8;167.4;45.2;725.2
2000;2.8;5.6;62.2;45;23.4;88.2;30;40.6;88;156;139.2;59;740
2001;72.8;33.2;123.8;50.8;52;58.2;73.2;19.2;87.6;38.2;35;6.4;650.4
2002;27.6;34;1.8;76.8;97.4;47.8;173;184.6;39.2;104.2;65;94.4;945.8
2003;32.6;13;8.6;88.8;27.6;55;19.2;42.4;73.8;62.6;82;62.8;568.4
2004;48.4;121.6;138.8;72.2;94.4;79.2;45.6;45;53;105.4;105;75.8;984.4
2005;23.2;3.6;18.8;50.6;94;31.2;42;159.6;50.4;235.2;120.8;42.4;871.8
2006;33.8;22.4;29.6;105.8;52.4;14.4;31;82.8;107.8;19.2;28.8;24.8;552.8
2007;29;59.4;79.2;0.2;104.4;64;11.8;71;57.8;36.6;12;39.8;565.2
2008;37.6;24.4;37.2;68.4;131.4;208.8;35.6;31.6;97.6;26;133.6;120.2;952.4
2009;67.8;42;87.8;104.4;28.4;51;26.8;19.6;179.2;48.8;70;89.8;815.6
2010;21.4;109.6;39;72.2;96.4;177;60.4;127.2;113.6;71.8;119.2;85.6;1093.4
2011;3.6;40.4;78.2;12.2;31.4;57.8;29.4;4.2;37.2;78.8;38.2;21.2;432.6
2012;5.8;20.6;1.6;76.4;71.8;14.2;2;7;101.2;192.4;88.8;40.6;622.4
2013;86;99.4;191.8;80.6;102;14;79.4;75.6;24.8;152.4;103.4;11.8;1021.2
2014;146.2;121;63.2;101.8;81.8;37.2;102.2;58.2;85.8;29.6;114.4;62.2;1003.6
2015;16.2;60;65.6;25.6;102.2;90.2;15.6;31.2;28.8;94;24.2;0.4;554
2016;43.2;143.4;55.6;15;140.6;150.6;26.4;34.2;47.2;110.8;86.4;0.4;853.8
2017;11.6;79.8;9.2;56;52;41.4;63.4;12.2;231.6;13.4;125.4;35.8;731.8
2018;14;71.6;99.6;19.2;52.4;65.2;112.2;54.4;39.2;66.6;62.8;17.2;674.4
2019;16;27.6;22.6;118.8;161.4;8.4;143.4;29;49;64;153;83;876.2
2020;13.6;4.6;47.6;20.4;21;70;48.8;138.8;15.6;91.8;14;45.2;531.4
2021;45.8;16;1;55.2;112.2;14;44.2;33.6;63.6;165.4;58.2;39.2;648.4
