ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Chioggia - Sant'Anna;;;;;;;;;;;;;
Coordinata X 1757570 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5004449 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 0 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;49.6;19;5.2;79.8;38.2;32.2;78.6;66.6;185.6;94;33.8;57;739.6
1995;18.6;83.6;57.6;33.4;179.4;148;14.8;61;89.8;5.6;9.6;122.6;824
1996;22.4;42.2;25.8;85.6;61.2;85;12;66.2;108;89.4;55.6;138.4;791.8
1997;68.8;6.8;22.6;36.8;33.8;54;80.8;55.4;20;69;102.2;62.6;612.8
1998;26.2;5.6;14.6;84;46.2;67;25;5.6;95.8;184;21.2;28.2;603.4
1999;35.8;15.8;36.6;68.4;43.8;98.4;98.8;53;35.4;104.8;220.4;45.8;857
2000;3.8;7.6;20.6;55.8;21.8;65;55.4;44.8;71.4;218.8;128.2;42.6;735.8
2001;69.8;37;114.2;42.4;47.4;60.2;48;15.4;139;48.8;43.6;16.4;682.2
2002;26.6;36.2;0.6;84.8;64.8;85.8;88.6;144.2;88.4;113.2;100.8;96.2;930.2
2003;53;17.8;14;98;36;41.2;8.4;16;99.4;99.6;102.4;72;657.8
2004;56.4;189.8;170.8;90.2;76.4;60.2;56.4;102.4;45.8;73.4;125;77.6;1124.4
2005;27.8;37.4;32.4;58.4;90.2;18.2;45.6;218.2;113.6;267;122.6;56.8;1088.2
2006;23.6;23.4;40.8;106.6;75.4;25.6;26.2;140.2;119.4;21.2;19.6;27.4;649.4
2007;31.6;61.6;83;0.6;70.2;99;9.6;81.2;122;69;12.2;43;683
2008;34;35;62.8;73.8;63.2;151.8;26.4;41.8;285.4;24.4;189.6;114;1102.2
2009;76.8;47.8;102.2;87.8;32.4;50;17.2;29;95.8;60.6;57.4;115.6;772.6
2010;56.6;98.4;59.2;65.6;136.2;151.2;34.2;207.8;23.8;66.2;122.4;94.6;1116.2
