ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Cimacanale (Santo Stefano di Cadore);;;;;;;;;;;;;
Coordinata X 1778097 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5167374 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1246 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;3;6.6;11.4;29.6;77.8;136.4;146.8;81.8;55;3.8;164.8;85.8;802.8
1998;16;8.4;4.8;177.6;84.6;231.8;202.2;87.8;121.6;222.4;28.6;2.4;1188.2
1999;52.8;7.4;105.4;102.6;185.4;135.6;154.8;178.4;146.6;82.4;38.8;43.4;1233.6
2000;8.2;6;97.6;121.8;100.2;100.8;124.2;150.4;165.4;276;367;29.6;1547.2
2001;102.2;14;91;90.2;40;90.8;150.2;126;111;34.4;28.4;0;878.2
2002;4.2;50.2;38.8;132.6;217.8;251.2;125.6;160.4;119.2;61.4;388;48;1597.4
2003;18.6;2.4;1;43.8;87.6;176;130.2;181;15.8;125.8;230.4;49;1061.6
2004;4.8;37;26;68.2;146.4;154.2;194.2;147.4;74.2;139.2;67.6;72.2;1131.4
2005;3;7.6;18.4;63.4;131;76.8;256.2;127.8;148.8;238.4;38.4;35.6;1145.4
2006;7.2;40;37.4;95.6;73.2;90.4;98.2;202.6;112.4;39.8;4.6;63.8;865.2
2007;78;23.6;91.4;17.4;136.2;142.6;155.4;151.8;108.4;42.4;84.4;7.8;1039.4
2008;87.8;14.6;35.8;82.2;185.6;185.6;133.6;154.4;76.8;132.8;152.4;198;1439.6
2009;88.2;64;116.6;112;22.2;154.8;141.2;105.4;139;45.6;135.6;104.4;1229
2010;27;36.2;39.6;20.2;206;101.8;106;188.4;167.4;143;186.6;108;1330.2
2011;13.6;25.2;65.4;37.6;140.4;173.6;118;75.2;116.2;123.2;46.6;16.2;951.2
2012;21.4;4.8;19;108.4;84.4;128.4;218.8;147;186.6;133.2;271;23.6;1346.6
2013;46.6;51.6;86.8;80.6;207;104.8;110.8;146.4;49.8;98.4;155.8;112.8;1251.4
2014;228.4;165.6;73.8;51.4;67.6;128;162.4;250;96.2;67.2;281.6;55;1627.2
2015;42.2;9.4;62.2;34.2;164.8;125;168.6;120;106.4;98.6;3;0;934.4
2016;16.2;100.4;87.6;73.8;131;138.6;154.6;152.4;82.2;85.2;54.8;0.8;1077.6
2017;2.4;46.8;22;109;115.8;123.4;201.4;97.8;177.4;18.2;98.8;108.4;1121.4
2018;76.8;24.4;106.8;128.8;203.2;70.6;133.8;154.4;31.6;364.8;67.8;9.2;1372.2
2019;18.2;121.4;29.2;204.6;165.2;85;135.4;127;84.4;66.2;467.6;74.4;1578.6
2020;2.2;5.8;73.2;18.6;86.2;135.6;168.6;277.2;131.2;171.8;4.6;386.8;1461.8
2021;170.4;37.2;6;39.6;160;99.8;196.6;194.4;79.6;76.8;124.4;30.8;1215.6
