ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Cittadella;;;;;;;;;;;;;
Coordinata X 1717674 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5059698 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 50 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;45;34.4;2;106.4;80.4;52.8;69;102.6;252;143.2;73.2;41.2;1002.2
1995;47.2;78.8;38.6;58.8;166.2;162.8;114.8;203.6;143.6;6.4;41;121.6;1183.4
1996;96.8;40.4;13.6;107.6;131;68.6;67.6;165.8;54.6;159.6;135.4;87.4;1128.4
1997;88;1.6;5.6;52.6;64.2;75.4;97.4;50.8;16.8;17;131;163.8;764.2
1998;35.2;28.6;4.4;161.2;39.8;176.6;26.6;8.4;131;254.6;17.6;13;897
1999;46.2;9.6;78;128.6;124;107.4;111;102.2;91;145.4;132.6;56.2;1132.2
2000;1.8;4.4;94.6;67.8;85.2;78.2;61.2;78;138.6;211.4;287.4;70.2;1178.8
2001;116.8;13.2;197.6;93.2;44;24.4;200.8;60.2;91.4;60.6;53.4;1;956.6
2002;38.2;108.8;18;227.8;202.4;183.4;157.2;168.4;111.8;111;143.4;78.8;1549.2
2003;71.2;6.6;1.6;121.4;37;126.4;43.4;19.2;29.2;92;177.2;135.8;861
2004;37;210.6;87.6;94;142.2;110.8;82;69.8;123.6;163.8;113;109.2;1343.6
2005;2.8;0.8;25.2;190.2;79;89.2;162.6;147.8;129.6;207;183.2;63.2;1280.6
2006;21.6;50.4;41;94.6;112.8;43.4;13.8;196.8;153;17.8;40;76;861.2
2007;43;48.8;107.4;28.8;196.8;60;43.2;86.4;136;54.8;54.8;16.4;876.4
2008;113.8;43;66.8;147.6;156.4;143.4;80.4;91.2;128.4;72.8;187;250.4;1481.2
2009;119.8;86;166.6;131;21.6;86.8;42.4;49.4;169.6;54;132;85;1144.2
