ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Codevigo;;;;;;;;;;;;;
Coordinata X 1743297 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5014716 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 0 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;38;32.4;6.6;121.2;34.6;22;94.4;112;158;61.4;38.8;44.4;763.8
1995;26.8;78.6;53.6;19.6;186.2;150;23.2;28.6;99.8;3.8;10.4;119.6;800.2
1996;63;47.8;25.8;97;42.2;70.4;23;70;69.4;110.4;65.4;149;833.4
1997;70.4;4.4;14.6;51.2;45.4;98;55.8;38.6;22;23.4;108.2;71;603
1998;32.6;10.8;18;100.4;103.2;51.8;57;12.8;93.4;155;17;24;676
1999;35;17.4;32.6;92.2;47.8;73.6;64.6;37.2;37.8;103.6;171.6;52.6;766
2000;2.8;5;90.2;67.2;28.4;24.8;64.2;46.4;57;272;134.6;58.6;851.2
2001;82;33.4;152;58.8;45;68.2;122.6;19;63;39.6;48;4.8;736.4
2002;31.8;43.2;1.2;90;103.4;55.2;132.6;103.2;48.8;119.4;77.6;92.4;898.8
2003;32;15.8;4.4;93.4;17.2;48;9.2;66.4;58.8;64;58.8;66.4;534.4
2004;44.4;152.6;138.6;72.6;90.6;82.8;44.4;58.4;70.2;84.2;113;58.2;1010
2005;25.4;13.2;12.2;74.4;71.6;32.8;36.2;223.2;112.2;246.2;131.4;52;1030.8
2006;32.4;29.4;38;59.6;43.2;8.8;37;94.8;138;24.6;29;35.4;570.2
2007;28.4;76;93.8;1;157.4;124.6;5.8;56.4;234;42.6;15.2;40.2;875.4
2008;50.4;32;48;85;158.6;151.4;49.4;36.6;101.4;31.6;129.4;78.4;952.2
2009;65.6;51;87.4;93.8;37.8;76.2;44.4;39.6;164.8;43.2;90.8;103.2;897.8
2010;53;119.2;48.4;62.6;103.6;123.2;53.6;96.2;145.8;76.6;133.2;108;1123.4
2011;8.8;45.6;83.2;9.6;30.4;59.2;53.2;4.6;18.4;75.4;50.8;24;463.2
2012;10.2;24;0.2;54;63.2;23.4;0.4;10.6;133;188.4;90.2;45.2;642.8
2013;101.8;100;241.6;88.8;192.6;24.6;37.6;125.8;22;138;110.4;11.6;1194.8
