ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Codevigo - Ca' di Mezzo;;;;;;;;;;;;;
Coordinata X 1746929 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5012991 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;61;24.2;91;93;108.8;60;137.8;575.8
1997;71.4;5;18.8;34.4;49;78.4;49.8;35.6;25;53.8;98.6;63.4;583.2
1998;27.4;8.4;17.6;108.8;104;63.2;46.4;11.4;84;157.6;18.8;23.2;670.8
1999;31.2;12.2;33.2;126.6;26.8;54;51.4;33;50.8;81.2;122.6;37.8;660.8
2000;2.4;4.8;54.6;41.6;40;11.2;45;51.6;68.6;217.2;131.8;55.4;724.2
2001;57.4;24.2;100.2;56.8;47;62.4;66.4;36.4;74.2;28.6;33.8;4.6;592
2002;27.4;32.8;1.6;52.8;103.6;46.6;112;132.6;52.8;119;74.2;81.8;837.2
2003;30.6;14.8;5.6;72.4;19;55.4;19.8;80.6;63.8;66.6;72.2;56.8;557.6
2004;37.8;121.2;111;68.8;85;85;37.4;47.2;45.6;102.4;85.4;62.2;889
2005;19.8;8.2;14.2;53.8;63.4;57.8;21.6;148.2;75.4;190.2;115.8;41.2;809.6
2006;24;26;30.4;59.6;39.4;8.4;56.2;67.8;108.4;23;24;30.6;497.8
2007;40.4;63;72.6;1.8;137.8;94.6;3.2;55.2;149.2;41.8;12.6;37.8;710
2008;44.6;28.4;40.6;91.4;137.6;162;80.6;50.6;139.4;29.2;138;108.8;1051.2
2009;77.2;48;93.6;103.4;41;71;35.8;35;87.4;42.2;106.4;98;839
2010;48;108.4;47.2;68.6;99.8;239.2;57;133.8;102;65.2;136.6;100.4;1206.2
2011;8;46;81;7.8;23.8;65;59.2;2;69.2;71.8;47.4;24.2;505.4
2012;10.6;22.6;2.8;55.2;72.2;22.6;0.8;13.2;188.2;205;91.8;48.2;733.2
2013;100.6;111.4;209.2;79;135.8;30.8;33.8;86.2;18.6;155.8;103.8;13.4;1078.4
2014;154.8;121.6;72.8;105;76.4;30;135.6;46;91.4;29;185;71;1118.6
2015;16.2;50.8;64.2;30.4;114.2;67.6;38;68.8;54.2;93.6;21.2;4;623.2
2016;45.2;140.4;56.2;52.8;133.4;151.8;32.6;41.6;48.4;115.2;92.4;5.2;915.2
2017;13.8;85;9.4;53.6;45.8;38.4;41.4;35;219.8;10.4;100.2;43.4;696.2
2018;13.6;65;101.6;23.8;64.6;104.6;71.6;84;34.2;72.4;91.6;19;746
2019;10.6;31.2;24.4;116;190.6;2.6;125;36.4;66;93.4;140.2;34.4;870.8
2020;20;7.6;52.8;31.6;17.6;96;49;98.4;20;88.8;13.8;98.4;594
2021;61;16.2;4.6;66.6;127.8;22.8;67.8;26.6;28.8;29.4;68;48.4;568
2022;29.6;9.8;20.2;36.6;50.4;4;97.8;56.2;137.6;5.8;114;92.2;654.2
