ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Col Indes (Tambre);;;;;;;;;;;;;
Coordinata X 1765830 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5113061 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1181 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;132.4;62.2;14;208;192.4;141.6;101.6;121.2;231;104.8;128.4;37;1474.6
1995;33.6;59.6;75.6;99.2;248.4;322.2;67.2;195.2;225.2;0.8;30.6;128.2;1485.8
1996;65.8;36.4;25.6;84.4;209.8;137.4;158.8;252.4;63.2;422;336;65.2;1857
1997;91.6;0.4;11.2;49;107.6;229.2;200.8;121;21.6;18.2;326.6;341.6;1518.8
1998;28.6;10.4;8.8;381.8;137.4;209.8;205.6;39.6;249.2;305.6;30.4;2;1609.2
1999;80.8;17.2;131;253.6;171.8;241.8;103.4;205.2;309.2;168;141;60.8;1883.8
2000;1;6;193.6;79.4;171.4;98;117;121.6;241.2;384.2;692.6;82.4;2188.4
2001;199.8;14.4;306.8;144.8;76.2;109.6;236.8;97;199;65.4;77.6;0.8;1528.2
2002;14.4;94.4;62;196.2;288;379;248;259.6;214.4;139.8;711.8;117;2724.6
2003;57;6.6;5.6;139.4;116.8;135.2;144.4;173.2;55.8;204;297.6;131.8;1467.4
2004;8.4;131;82.4;102.2;292.2;170.2;83;168.8;109.4;297;184.6;84;1713.2
2005;5.8;26.6;35.6;205;111.6;133.8;194.4;248;247.6;427.4;80.4;80.2;1796.4
2006;55.2;57.2;72.2;211.6;155.2;53.6;146.2;285.8;230.2;33;23.6;220.2;1544
2007;148;52;153.6;28.2;146.6;147;132.8;154.4;194.2;46.4;188.8;5.6;1397.6
2008;270.4;49.8;83;209.2;204.8;295.2;153.2;179.8;147.2;298;286.2;380.6;2557.4
2009;155.2;151.8;285.6;354.6;77;161.6;159.6;111.8;111;77;169.8;230;2045
2010;92.4;117;68.2;42;352.2;210.6;156.8;131.2;230.4;331;520.6;390.2;2642.6
2011;37.4;50.8;229.2;63.4;121.2;243.2;250.8;126.8;158.8;203.6;185.4;37.6;1708.2
2012;17.2;22;12.2;222.6;248.2;108;137.2;101;217.8;218.4;566.8;47.8;1919.2
2013;95;87;223;156;411.6;121.4;69.6;137.2;62.2;141.8;246;344.6;2095.4
2014;493.8;349.4;137.4;124.2;121.4;231.4;298.6;252.8;122.8;74;540.8;44.2;2790.8
2015;65.6;45;177.6;24.4;187.8;150;54.4;156.6;205.4;194.8;9.8;0;1271.4
2016;58.8;355.6;167.2;77;296.4;127.2;189.8;169.4;92;117.6;182.8;0;1833.8
2017;13.4;121;31;202.6;122.6;165.6;129.8;67.4;254.2;50.6;274.2;259.2;1691.6
2018;211.2;48.4;139.4;157.4;273.4;117.4;154.2;200.6;76;455;227.4;10.2;2070.6
2019;23.8;161.6;30.6;620.8;402.6;20.4;218.6;197.8;115;110;786.6;182.6;2870.4
2020;6;11.4;168.4;31.6;162.8;303.6;119;503.8;215.2;299.2;15.8;746.8;2583.6
2021;223.2;71.6;16.6;141.6;331.4;152.2;173;242.2;102.8;107.4;295.6;68.2;1925.8
2022;51.2;47.8;12.4;106;97.6;128;77;190;145.8;45.4;171.4;173.2;1245.8
Medio mensile;94.4;78.1;102.1;162.6;201.3;173.9;154.5;179.7;167.2;184.2;266.5;147.3;1911.7
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
