ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Concadirame (Rovigo);;;;;;;;;;;;;
Coordinata X 1714125 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4996919 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 6 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;40.8;23.8;0.4;69.4;18.8;52.2;15;42.4;94.6;67.8;42.6;24.4;492.2
1995;17.6;64.4;30.6;29;193.2;107.8;9.4;136.6;48.4;4;9.8;111.4;762.2
1996;61;42;20.4;120.6;126.2;42;23.4;88.4;71.6;105.8;66.2;121.8;889.4
1997;66.8;7.8;25.4;20.6;34.8;97;54.6;71;19.4;30.6;86.4;80.4;594.8
1998;35;18;15;75;90.2;20.2;38.8;17.8;79.8;120.6;17.8;20.6;548.8
1999;36.4;6.8;42.4;91.4;50.4;86.2;33.6;33.6;75.6;103.2;133.8;35.2;728.6
2000;0.2;4;56.4;70;62.8;106.6;66.8;35.4;67.2;108.6;91.6;52.8;722.4
2001;75.6;10.8;104;53.2;60.8;47.6;161.4;34.4;95;57.8;24.4;3.6;728.6
2002;25;46.8;1.8;104.6;98;41.8;184.2;121.6;51.8;106.8;89.4;100.2;972
2003;36.8;10.4;10.4;83;14.4;65;18.8;9.6;25.2;54.4;104.2;54.2;486.4
2004;63;143.8;119;108.8;59.4;67.8;41.8;47.2;53.8;84.4;74.6;87;950.6
2005;9;13.4;7.8;78.8;75.6;12.8;22;120.8;69.6;238.2;135.2;50.4;833.6
2006;36.6;46.6;32.2;37.4;43;9.4;70.2;96.8;76;15.6;41;26;530.8
2007;14.2;45.8;96;0.2;80.6;93.6;3.8;33.8;49.6;41.2;18.6;27;504.4
2008;45.8;16.6;31.2;78.2;95.4;125.4;26;35.8;28.6;37.2;168.8;103.6;792.6
2009;61.6;51;107.2;147.4;73.4;49.4;61.4;13;64.6;35.2;56.8;67.8;788.8
2010;44.6;95.4;41.4;67.4;94.4;145.6;23.6;61;49.2;77;99.6;64.6;863.8
2011;9.2;47.8;83.4;5.6;45.2;55.8;43.4;0;45.6;85.2;39.6;9.2;470
2012;3.6;19.8;0;80;72.8;13.8;2.6;3.2;138;221.8;63.2;19.6;638.4
