ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Conegliano;;;;;;;;;;;;;
Coordinata X 1754728 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5086125 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 90 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;80.2;44;8.4;157;88.4;50;50.6;57.2;176.2;96.2;44.4;28.8;881.4
1995;49;68.2;70.6;85.4;240.4;178.4;161.4;109;256.4;0.2;33.6;159.6;1412.2
1996;87.8;35;8;109;117;42.8;77.8;150.2;35.2;182;157.2;88.4;1090.4
1997;84;0;24.8;61.4;57;107.8;94;72;22.8;19.8;184.2;202.6;930.4
1998;35.4;8.2;8.4;195.4;67.8;128.6;123.2;9;144.6;215.4;26.8;2.6;965.4
1999;34.8;11.6;100.6;148.4;109.2;99.4;62.6;94.2;76.4;110.4;95.2;50.6;993.4
2000;0;3.4;97.8;72.4;117.8;63.2;97.6;119.8;111.6;179;346.6;68.6;1277.8
2001;133.2;4.8;201.6;127.6;85;115.8;155;149.6;176.8;50.4;71.4;0.2;1271.4
2002;30.2;74.6;22.2;182.6;193.8;235.4;128.2;238.6;161;126.6;187;75;1655.2
2003;109.2;0.2;1.4;120.4;22;39.2;58.4;96.2;38.8;103.4;208.2;134.6;932
2004;24.2;168.4;65.2;73.4;195.2;128.2;53;227.8;92.4;210.6;78.2;90.8;1407.4
2005;12.2;9.6;16.4;141.4;81.2;85.8;92.4;144;155.4;172.8;133.8;66.6;1111.6
2006;32.6;41.2;74.6;132;96.6;32.6;43.8;187.2;146.2;19.2;24.8;129.6;960.4
