ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Contra' Doppio (Posina);;;;;;;;;;;;;
Coordinata X 1672922 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5075033 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 724 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;227;63.2;39.6;203.6;219;63;122.2;92.2;224.8;71;227.4;77.8;1630.8
1995;63.4;91.2;69.4;242.2;316.4;153.8;63.6;>>;201.6;0.8;89.8;220.8;1513
1996;205.6;38.4;36.2;115.6;202.8;123.8;83;269;38.8;435.2;388.4;152.6;2089.4
1997;130.8;0.4;6.8;39.6;104.2;287.8;145.2;97.2;44.2;18.2;334.4;167;1375.8
1998;38.8;23.8;7;285.2;172.8;107.6;64.4;126.2;215.4;259;35.4;12.4;1348
1999;76.6;13.6;184.4;195.4;103.6;169.8;123.4;112.8;333.2;297.6;147.6;55.2;1813.2
2000;0.4;8;186;126.4;87.8;97.6;85.8;174.6;149.8;466;727.2;61;2170.6
2001;145;72;283.2;130.2;127.6;54.6;71.4;142.4;173.4;69;51.8;5.6;1326.2
2002;27.8;158.8;86.8;181.6;580.6;325;247;224.8;115;142.6;838.6;100.2;3028.8
2003;78.4;2.6;9;74.2;69.6;97.2;87.2;84;42.2;273.6;377.6;189.2;1384.8
2004;32;131.4;173.8;253.4;243.6;127.4;97.4;57.2;62.4;296.8;324;122;1921.4
2005;12.2;26;39.8;179.6;96;64;142.4;106;158.6;324.2;67.2;78.6;1294.6
2006;125;111.6;89.4;127;98.6;79.6;94;221.8;157.6;49.2;35.8;153;1342.6
2007;120;36.8;142.6;20.6;271.2;158.4;58;256.8;150.2;106.2;265.8;4.8;1591.4
2008;195.4;50.4;83.8;246;234.6;86.4;122;76.8;151.4;254.2;481.6;414.2;2396.8
2009;144.2;212.6;223.4;473.4;18.2;103.6;89.4;42.8;212.2;102.8;288.2;252.6;2163.4
2010;92.4;142.2;123.4;77.6;348;271.2;142;209.4;223;442.8;617.2;329.8;3019
2011;67.4;96.4;204.2;28.6;107.4;317.4;83.4;75.8;134.8;59.4;376.8;69.8;1621.4
2012;23.4;10.6;33.2;313;197.2;109.2;109.2;47;229.8;310;504;70.4;1957
2013;83;119.4;295.2;272.8;501.8;183;96;115;100.2;213.2;245.8;217;2442.4
2014;448.8;405.8;186.8;208.4;112.4;143.2;339.4;279.6;47.6;126.8;627.2;155.4;3081.4
2015;95.2;140;123;115.4;141;234.2;57.6;88.8;157.8;288;5.6;0;1446.6
2016;84.2;350.4;110.2;38;201.4;139.6;123.2;116;41.6;155.2;184.8;0.4;1545
2017;9.4;163;87.4;125.4;86.6;154;115.4;90;264.6;12.2;185.6;170.2;1463.8
2018;86.4;63.2;224.4;211.4;265.8;150.8;114.8;214.2;72.4;487.4;327.6;12.2;2230.6
2019;17.8;143;37.2;515.2;340.2;59.2;209.6;126.2;167.2;140;746.2;146.6;2648.4
2020;13.2;7.6;144.2;52.4;158.6;121.2;161.2;275.6;78;408;15.8;521;1956.8
2021;220.6;90.4;22.2;136.2;234.8;23.8;182.8;116.6;64.2;161.6;294.4;36.8;1584.4
2022;37.6;55;8.2;111.4;110.6;104.6;79.4;139;116.6;46.4;183.6;163.6;1156
Medio mensile;100.1;97.5;112.4;175.9;198.4;141.8;121;142.1;142.4;207.5;310.2;136.6;1880.8
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;3;0;0;0;16;12;8;0;0;
1995;0;0;0;0;0;0;0;31;8;0;0;0;
1996;0;0;0;0;0;0;6;0;0;0;1;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;4;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;5;0;0;3;5;
2006;2;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;2;0;0;0;0;
2008;0;0;0;0;0;6;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;2;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;2;0;1;0;0;0;
2015;0;0;0;0;0;0;0;0;0;1;0;0;
2016;0;0;0;0;0;0;0;0;0;1;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;2;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Contra' Doppio (Posina);;;;;;;;;;;;;
Coordinata X 1672922 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5075033 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 724 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;10;6;2;12;10;9;9;8;10;6;6;4;92
1995;7;11;6;11;16;15;6;>>;9;0;6;14;101
1996;10;7;8;11;15;10;10;12;7;11;15;10;126
1997;11;0;2;3;10;18;10;9;3;3;10;8;87
1998;6;2;2;17;11;11;7;4;8;10;5;3;86
1999;4;2;9;13;12;17;11;11;10;9;10;7;115
2000;0;2;7;16;12;9;8;9;7;16;20;9;115
2001;13;3;16;8;14;8;9;8;13;4;6;1;103
2002;1;6;4;14;16;9;14;14;11;10;19;11;129
2003;5;1;2;9;10;8;9;9;8;12;10;9;92
2004;3;8;10;14;13;11;9;6;5;14;9;8;110
2005;1;4;7;13;9;9;12;9;11;10;3;7;95
2006;3;8;6;13;8;7;12;17;6;6;5;8;99
2007;5;6;9;4;13;11;8;10;8;6;3;2;85
2008;11;4;12;16;18;12;11;11;11;5;12;16;139
2009;13;7;9;16;3;12;9;7;8;7;13;11;115
2010;4;12;9;11;17;11;9;8;11;8;17;15;132
2011;6;7;8;6;7;18;14;5;7;4;5;5;92
2012;3;4;4;17;14;8;12;9;11;9;12;7;110
2013;10;10;18;14;18;12;5;8;8;14;14;7;138
2014;17;20;6;10;12;15;16;13;8;11;18;12;158
2015;5;8;9;7;14;7;5;10;7;11;1;0;84
2016;7;13;8;8;16;16;9;9;4;11;10;0;111
2017;2;8;6;8;13;11;8;4;13;2;10;5;90
2018;6;9;18;10;24;14;14;12;7;6;14;3;137
2019;3;4;5;18;20;4;16;12;7;9;23;10;131
2020;4;4;8;4;12;9;9;12;9;11;2;14;98
2021;9;4;5;6;15;5;10;9;5;4;14;2;88
2022;1;3;2;7;12;9;7;12;11;3;10;11;88
Medio mensile;6;6;7;11;13;11;10;10;8;8;10;8;108
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;3;0;0;0;16;12;8;0;0;
1995;0;0;0;0;0;0;0;31;8;0;0;0;
1996;0;0;0;0;0;0;6;0;0;0;1;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;4;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;5;0;0;3;5;
2006;2;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;2;0;0;0;0;
2008;0;0;0;0;0;6;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;2;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;2;0;1;0;0;0;
2015;0;0;0;0;0;0;0;0;0;1;0;0;
2016;0;0;0;0;0;0;0;0;0;1;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;2;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Contra' Doppio (Posina);;;;;;;;;;;;;
Coordinata X 1672922 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5075033 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 724 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;-0.6;-2.2;4.1;4;8.7;11.6;14.9;15.1;10.8;5;4.8;-0.3;6.3
1995;-3.5;0;-0.7;3.5;7.7;9.8;14.7;12.1;8;7.9;1.9;-1.2;5
1996;-0.6;-3.9;-1;5;7.7;11.3;11.4;11.4;6.8;5.8;2.3;-2.1;4.5
1997;-0.8;-1;2.4;1.2;7.5;10.3;11.5;13.4;11;5.6;2.7;-0.4;5.3
1998;-1.8;1.7;-0.1;3.6;8.2;11.8;13.5;14.1;9.6;6.1;-0.1;-2;5.4
1999;-0.8;-3.1;1.3;4.6;9.6;11.4;13.5;13.9;11.1;6.9;1.7;-2.3;5.7
2000;-3.5;-0.7;1;6;9.5;12;11.6;14.1;10;7.8;3.3;0.4;6
2001;-1;-0.7;3.1;3.3;10.3;10.6;13.6;14.6;7.6;8.4;1.3;-3.9;5.6
2002;-2.3;0;2.9;4.2;8.8;12.6;13.4;13.3;9.4;7.1;4.9;0.5;6.2
2003;-2.3;-4.3;2.1;3.9;10.3;15.2;14.8;16.8;9.9;4.1;3.4;0.1;6.2
2004;-2.9;-1.5;0.5;4.7;6.6;11.4;13.5;14.1;10.1;8.6;2.9;0.9;5.7
2005;-2.8;-3.7;0.3;3.9;9.4;12.8;14.1;12.6;11.1;7.1;2.2;-2.8;5.4
2006;-2.7;-2.1;-0.3;5.4;8.4;12.4;15.6;11.6;11.8;8.5;3.6;0.8;6.1
2007;0.5;1.3;3;8.1;9.6;12.6;13.4;12.8;9.1;6.4;1.5;-0.7;6.5
2008;0.4;-0.4;1.3;4.6;9.2;12.5;13.6;13.8;9.1;7.3;2.6;-0.9;6.1
2009;-1.9;-1.5;1.5;6.2;10.2;11.5;13.8;15.1;11.7;6;2.9;-1.7;6.1
2010;-3.2;-1.7;0.6;5.1;8.4;12.2;14.7;13;9.5;5.1;2.8;-3;5.3
2011;-1.5;0.4;1.8;7.4;8.9;11.8;12.4;15;13;6;3.8;0.3;6.6
2012;-2;-4.3;4.7;4.3;8.1;13.1;14.4;15.6;11.2;7;4.2;-1.3;6.2
2013;-0.6;-3;0.4;5.6;6.7;11.3;14.9;14.2;10.9;8.3;3.4;1.7;6.2
2014;0.7;1.2;3.5;6.5;7.7;11.9;13;12.6;10.5;9.1;6.8;1.3;7.1
2015;-0.4;-0.3;2.4;5.3;9.6;12.8;16.7;15.2;10.5;7;4;1.9;7.1
2016;-1;0.4;1.7;6;8;12;15.2;13.3;12.2;6.1;2.8;1.3;6.5
2017;-4;0.7;4.3;5.7;9.1;13.6;14.2;15.2;9.2;7.6;2.1;-1.6;6.3
2018;0.4;-2.7;0.6;7.4;9.8;12.6;14.8;15.2;12.1;8.6;4.5;-0.2;6.9
2019;-2.2;1.2;2.6;5.7;6.8;14.8;14.7;15.2;11;8.9;4;1.5;7
2020;0.3;1.2;1.6;5.9;8.8;12.2;13.8;14.7;11.6;6.1;3.8;0.1;6.7
2021;-2.9;0.6;1.2;3.4;7.2;14;14.5;13.5;11.7;6.3;3.7;0.2;6.1
2022;-0.4;0.3;1;3.7;10.5;14.3;16.3;14.8;10.7;10.2;4.5;0.5;7.2
Medio mensile;-1.5;-1;1.6;5;8.7;12.3;14;14;10.4;7.1;3.2;-0.4;6.1
;;;;;;;;;;;;;
Il valore mensile è il valore medio delle minime giornaliere del mese.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili.;;;;;;;;;;;;;
Il valore medio annuale è il valore medio dei valori mensili dell'anno.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;3;0;0;0;19;12;8;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;7;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
