ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Cortina d'Ampezzo - Gilardon;;;;;;;;;;;;;
Coordinata X 1739833 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5158457 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1271 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;49.2;26;18;62.8;109;67.6;104.6;131.6;218.8;53.4;37.6;17.6;896.2
1995;27.8;36.8;25.6;51.4;138;167.6;110.2;83.4;141.6;0.8;18.2;58.8;860.2
1996;31;19.8;6.2;32.4;142;128.4;116.2;190.8;31.4;238;235;36.4;1207.6
1997;59.4;3.6;11.4;30;54.2;216.6;137.2;94;63.8;4.8;156.4;92.8;924.2
1998;20.6;6.8;2.4;158;68.2;120.4;100.8;125.4;143;169;19.4;2;936
1999;63;9.6;104.4;85.4;105.2;102.8;121.2;157;139.8;82.6;28.2;28.6;1027.8
2000;7.2;2.4;109.2;55.2;85.4;71.6;108.2;105;127.4;215.8;362.8;30;1280.2
2001;111.8;16;143;74.6;60.6;111;142.6;131.4;121.4;32.4;22.2;0;967
2002;6.2;57.8;54.4;138.4;276.2;162.2;110.4;113.6;105.2;64;460;44.6;1593
2003;15.6;2.6;0.8;33.6;78.4;74.2;134.2;96.8;22.4;120.2;250;74.4;903.2
2004;3.6;59.2;51.2;41.4;128.6;111.2;123.2;95;53.4;166;66.2;52;951
2005;7.2;5.6;17.6;74;87.4;80;157.8;135.4;100;198.6;40.2;51.8;955.6
2006;16.8;43.4;29.4;60.4;68.2;73.6;97.4;229.4;94.4;31.4;12.4;85.2;842
2007;86.4;27;104.8;14.2;145.4;118.2;126;239.4;102.8;34;96.8;4.4;1099.4
2008;114.6;18.8;39.8;93;118;136.8;159.6;134.2;104;168.2;196.6;170.8;1454.4
2009;99;100.6;129.6;131;39.8;121.4;112.8;119.6;96.8;43;135;113.6;1242.2
2010;29.6;42.2;28.8;41.4;188;95.2;52.4;127.6;103.6;109.8;163;137.8;1119.4
