ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Costalta;;;;;;;;;;;;;
Coordinata X 1773984 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5164594 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1232 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;72.6;40.4;12.4;101.4;106;77.2;174.4;166.4;195.8;66;48.6;16.2;1077.4
1995;34.6;34.6;44.6;53.4;137.2;162.6;76.4;99;83.6;0;11.6;54.6;792.2
1996;15.6;8.6;7.6;38.4;112.8;94;95.4;174.4;41.2;269.2;181.4;25.4;1064
1997;47.2;5.4;6.4;25.4;65.8;188.2;145;65.2;65.6;2.6;156.4;86.2;859.4
1998;13.6;7.8;3.2;171.8;54.4;173.4;161.8;89.8;134;209;26.2;1.2;1046.2
1999;53.2;6.8;108;95.4;181.4;147.6;158.4;184.6;126.8;86.8;39;40;1228
2000;11;6.8;99.8;94.4;87;91.2;118.2;120;151;263;328;34.8;1405.2
2001;90.2;11.8;91.8;92;52.2;96.2;142;128.4;99.6;32.4;37.2;0;873.8
2002;4.8;45;36.6;129.6;188.6;205;182.2;156.6;108;71.8;350.6;56;1534.8
2003;15.2;2;1;49.8;116.4;111.8;141.4;173.8;22.2;126.6;229.8;49.8;1039.8
2004;5.2;55.6;39;74;137.4;146.2;187.2;125;65.6;139;69.4;71.8;1115.4
2005;3.6;8.2;17.2;80;106.8;81;193;129.8;124.2;210.2;38;38.2;1030.2
2006;9.6;48;50.4;96.6;71.2;59.4;143.8;214;97.4;47.2;8.6;69.4;915.6
2007;81.6;26;92.8;16.6;130.8;100.4;62.8;216.8;124.8;56.2;88.4;6.4;1003.6
2008;107.2;19.2;42.4;84.2;145;168.6;150.6;161.4;67.8;154.2;155.4;211.6;1467.6
2009;103.4;70.2;124.6;113;31.4;222;125.6;118.2;143.4;49.8;113.8;116.4;1331.8
2010;32;49.2;49;22.6;177.6;102.2;92;207.4;150;140;186;116.2;1324.2
2011;2.8;27;68.8;29;158;188.2;127.2;71.2;148.4;127.8;41.4;17.6;1007.4
2012;24.2;9.6;6;139;85.6;100.6;242.8;136.4;231.2;153.4;289;26.8;1444.6
2013;41.8;54.8;109.2;78;200.4;87.4;107;150.4;50.4;108;167;132.8;1287.2
2014;281;205.4;90.4;65;84.2;119.2;181.2;290.8;87.8;75;292.8;62.2;1835
2015;50.8;14.6;77.6;36;178.4;113.8;145.2;145;132.4;118.2;4;0;1016
2016;26;132.6;93;95.6;145;170.8;170.6;168.6;84.6;92;64;0.6;1243.4
2017;4.8;58;26.2;91.8;141.8;127.2;165.6;93.4;177.4;18.2;109.2;113;1126.6
2018;73.6;32.2;97.6;91.4;219.2;61.8;144.6;162.2;74.8;329.2;59.8;8.6;1355
2019;21.4;109.8;42.6;214.8;153;76;140.2;110.6;91.8;76.4;449;78.2;1563.8
2020;3.4;9.6;37.8;18.6;88.4;148.2;197.6;248.8;94;155.2;12.8;479;1493.4
2021;165;40.8;11;49;167.4;79;149.4;207.8;74.4;55.6;121;33.8;1154.2
2022;26.6;28.2;9.4;74.4;83;246;125;191.8;84.6;48.4;52.6;68.2;1038.2
Medio mensile;49;40.3;51.6;80;124.4;129.1;146.4;155.4;108;113.2;128.7;69.5;1195.7
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;6;0;2;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;2;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;1;6;0;1;0;0;0;0;0;
2007;0;0;0;0;0;0;4;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;4;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;2;0;0;0;0;0;0;0;0;0;
2013;3;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;5;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;2;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Costalta;;;;;;;;;;;;;
