ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Crespadoro;;;;;;;;;;;;;
Coordinata X 1672230 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5054913 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 374 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;116.8;44.4;14.8;167.6;143.6;41.2;64.6;68.8;237;93.8;234;68.6;1295.2
1995;68;104.8;37;160.8;292;201.4;47.8;236;224.8;10;77.6;210.2;1670.4
1996;140.2;56.2;36.2;105.4;149.8;132.4;168;132.8;64;285;72.2;168;1510.2
1997;115.6;5.8;12.4;90.2;63.4;204;109;125.4;12.6;21.2;258.6;223.8;1242
1998;72.4;28.6;8.6;259.2;144;106.6;51;21.8;144.4;235.2;27.8;16.8;1116.4
1999;86.4;3.6;145.4;159.8;165.8;91.4;99.4;81.2;211.8;251;190.2;62.4;1548.4
2000;0.2;8.8;148.4;92.8;94.2;62.6;51.6;129.8;169.6;270.8;566.2;96.8;1691.8
2001;203.6;67.6;327.6;123;130.4;11.4;110.4;95.4;151.4;57.4;61.2;3.4;1342.8
2002;33.6;237.2;62.8;204.2;384.6;100;115;179.8;112.4;122.6;295.4;110.8;1958.4
2003;61;0.6;5.2;94;29.6;101.8;73.8;69.4;23;156.2;303.8;190.4;1108.8
2004;45;164.6;192;247.6;222.8;128;78.8;32.8;80.4;211.2;275.6;125.8;1804.6
2005;9.8;21.2;36.6;187.2;98.8;65.4;205.4;116.6;115.6;264.4;145.8;95.4;1362.2
2006;86;106.4;68.6;130.8;142.2;52.4;69.4;260.2;190;30.8;41;131.6;1309.4
2007;80.2;48.8;156;47.2;167.2;142.6;75.6;210.4;127.2;119.2;190.4;9.4;1374.2
2008;158.6;49.2;79.4;193.6;184.4;275.6;80.4;69.8;205.4;117.8;362.4;437.8;2214.4
2009;184.2;186.6;221.6;472.6;25.8;142.4;123.8;54.8;202.8;84;233.2;273.8;2205.6
2010;94.2;175.2;68;74.6;228.2;140.2;108.2;252;237.8;355;551.6;307.6;2592.6
2011;51.4;107.8;229.8;26.4;81.8;174.8;140.8;20.4;96.2;196.6;302.4;69;1497.4
2012;22.6;16.8;6.4;257.4;175.6;41;93;65.4;214.4;243.4;380.4;80;1596.4
2013;104.2;88.2;238.6;222.2;474.6;74.2;35.2;68.4;113.2;135.6;222.4;157.4;1934.2
2014;418;350.4;172;194.6;116.8;152.4;275;170.2;111.4;81;364.6;131.2;2537.6
2015;86;175.6;149;92.8;163.6;130.8;44.6;97.2;195.8;212.2;31.4;0;1379
2016;81.6;339.6;99.4;66.6;181.2;248;26.6;122.2;44.4;168.8;155.6;0.4;1534.4
2017;11.4;156.2;72.6;121.6;195;87.2;61.6;42.8;182.2;39.2;155;143.4;1268.2
2018;80.2;95.2;227.8;147.2;251.2;75.4;199;159.4;165.2;247.2;210;27;1884.8
2019;25.4;136;13.8;348.4;300.8;26.4;127.4;107.8;117.4;97.4;454.2;115.8;1870.8
2020;22;7.8;156;51.2;136.8;193.4;69.2;280.4;89.6;307.8;16.8;436.2;1767.2
2021;248.2;60.4;18.8;118.6;208;45;195.2;108.8;40.6;76.6;259.6;44.8;1424.6
2022;31.4;45;7;93.4;107;100;60.6;203.8;174.4;35.2;181.8;149.4;1189
Medio mensile;94.4;99.6;103.9;156.9;174.5;115.4;102.1;123.6;139.8;156.1;228.3;134;1628.7
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;5;0;0;0;0;0;0;
1995;0;0;0;0;0;0;2;0;0;0;6;0;
1996;0;0;0;0;0;0;0;0;0;0;10;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;10;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;2;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;1;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;3;0;0;0;0;1;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;1;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 1 marzo 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Crespadoro;;;;;;;;;;;;;
Coordinata X 1672230 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5054913 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 374 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;8;6;1;13;10;7;8;5;12;6;5;5;86
1995;7;11;8;11;16;13;6;20;9;1;6;14;122
1996;11;7;6;12;14;9;9;13;7;10;9;12;119
1997;10;2;3;6;7;15;11;9;3;3;11;9;89
1998;7;2;2;19;14;10;6;5;9;10;4;4;92
1999;5;1;9;11;12;11;11;9;9;9;7;6;100
2000;0;2;7;12;10;7;7;9;9;15;17;12;107
2001;16;5;14;12;13;4;7;5;10;7;6;1;100
2002;2;7;4;16;17;11;12;15;11;8;18;9;130
2003;6;0;2;9;7;9;7;6;7;10;9;9;81
2004;4;10;9;14;14;15;11;5;5;15;8;12;122
2005;1;4;9;12;9;7;11;11;7;10;6;10;97
2006;5;10;5;11;8;5;7;18;6;4;6;9;94
2007;4;6;8;4;11;12;6;9;7;4;4;3;78
2008;10;4;12;14;15;19;7;9;9;5;13;14;131
2009;12;8;9;15;3;13;12;5;5;7;18;11;118
2010;8;14;11;11;16;7;8;10;12;9;16;15;137
2011;6;7;11;6;5;16;14;3;5;6;5;5;89
2012;2;3;3;18;12;6;10;5;11;9;12;8;99
2013;11;9;19;14;20;8;7;7;9;12;11;9;136
2014;16;20;6;9;14;12;16;16;8;9;17;13;156
2015;5;8;8;5;10;9;3;8;8;12;1;0;77
2016;7;14;7;8;14;18;6;6;7;11;10;0;108
2017;3;9;6;8;14;8;6;4;15;2;8;6;89
2018;4;13;20;9;21;10;12;11;7;6;11;4;128
2019;4;4;2;17;18;4;11;8;6;10;22;8;114
2020;4;4;8;4;13;12;8;17;7;9;2;12;100
2021;10;5;4;8;16;3;12;9;4;5;12;3;91
2022;2;1;1;8;11;6;5;13;14;3;13;11;88
Medio mensile;7;7;7;11;13;10;9;9;8;8;10;8;106
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;5;0;0;0;0;0;0;
1995;0;0;0;0;0;0;2;0;0;0;6;0;
1996;0;0;0;0;0;0;0;0;0;0;10;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;10;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;2;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
