ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Dolce';;;;;;;;;;;;;
Coordinata X 1644210 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5051241 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 105 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;52.8;20.8;13;70.4;78.6;37.4;142.8;53.6;221.6;94.2;55;47.2;887.4
1995;56.4;92.2;45;130;226;170.4;133.2;117.4;121.8;8.4;59;121.6;1281.4
1996;163.2;45.4;19.8;74;123.8;56.4;118.4;124.8;48;141.4;175.2;90.6;1181
1997;78.4;6;1.4;47.8;32.6;182.2;83.8;103.4;19.8;27.8;158.2;135.8;877.2
1998;60.6;22.4;3.6;147.2;113.4;102.8;70.8;36.6;151;121.4;24;7.6;861.4
1999;44.4;3.6;84.2;114.6;100.6;82.2;126;70;165.6;137.6;76.2;53.6;1058.6
2000;0;6.6;95;70.6;78.2;72.2;60;140.8;116.2;183.6;245.2;63.6;1132
2001;124.6;9.6;195;77;79.8;5.8;47.4;93.8;181;50.6;45.8;0.2;910.6
2002;29;76.8;23.8;113.6;168.8;72.6;115.6;173.8;67.2;88.8;157.6;72.4;1160
2003;55.4;0.2;8.8;62.2;47.4;97.4;106.4;24.8;21.8;151.4;187.2;183.4;946.4
2004;28.2;94;87.4;107.4;162.6;70;149.4;59.6;71.2;183.4;89.2;88.2;1190.6
2005;0;7.2;39.2;95.4;82;62.4;126.6;104.2;96.6;153.6;79.4;59.2;905.8
2006;3;52.8;39.6;82.2;62.2;19.8;11.6;157.2;107.6;33;21.2;53.4;643.6
2007;44.6;44.6;49;11.4;103.8;127.2;61.2;126;91;65.6;160.6;5.6;890.6
2008;74.2;32.2;37.6;124.6;150.2;238;88.8;28.4;103;74.8;206.6;171;1329.4
2009;77.2;133;125.6;106.2;2.2;107.8;62.2;39.8;137.6;32;121;128;1072.6
2010;41.4;74.6;19.4;49.4;89.8;92.4;156;145;163.8;207.2;243;119;1401
2011;20.4;37;80.8;23.4;65.6;132.6;78.6;67.4;65.4;85.6;84;30.4;771.2
2012;20;2;7;121.8;136.6;55;54.2;18.6;152.8;115;196;43.2;922.2
2013;24.4;38.8;233;141.4;323.8;71;56;108.2;66.8;124.4;116.4;95.8;1400
2014;346.6;232.4;75;126.4;47.8;158.4;341;201;74.4;66.8;257.2;89.8;2016.8
2015;53.4;68.2;38.2;53;52.4;54.6;49.4;37.8;80.8;150.2;9.4;0.4;647.8
2016;38.6;180.6;52.8;27.8;158.8;79.4;100;158.2;62.6;113.4;72;0.2;1044.4
2017;10.6;79.8;37.2;61;59.2;83.6;114;21.2;165.6;14.6;90.4;83.4;820.6
2018;38.6;24.2;128.6;83.2;223;38.6;160.2;99;100.2;122.6;98.2;30.2;1146.6
2019;12.6;76.8;14;159.8;185.2;22.8;68;87.6;131.8;73.2;344.2;100.6;1276.6
2020;7.2;4.6;77.4;27.4;118.4;168.6;98.8;207;91.8;165.6;8.2;209.4;1184.4
2021;160.2;41.6;2.6;96.4;144.4;67.6;123.4;109.4;53.4;29.6;182.2;19;1029.8
2022;13.4;48.4;7.2;62.2;90.6;45.6;39.2;176;88.6;23.4;98.4;106;799
Medio mensile;57.9;53.7;56.6;85.1;114.1;88.8;101.5;99.7;104.1;97.9;126.2;76.2;1061.7
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;3;0;0;0;0;0;0;0;0;0;5;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;2;0;0;0;0;0;0;0;0;0;0;2;
2006;4;0;0;0;0;0;0;11;0;0;0;0;
2007;0;0;0;0;0;0;3;0;0;0;0;1;
2008;2;0;0;0;0;0;0;0;0;0;0;1;
2009;1;0;0;0;0;0;1;0;0;2;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;2;
2011;0;2;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Dolce';;;;;;;;;;;;;
Coordinata X 1644210 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5051241 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 105 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;4;4;1;12;10;7;8;5;11;8;2;3;75
1995;6;10;6;10;13;10;4;12;10;2;5;11;99
1996;10;8;4;9;12;8;8;11;8;7;16;10;111
1997;9;2;1;2;6;13;8;8;1;4;7;7;68
1998;7;2;2;14;8;8;6;3;9;9;4;3;75
1999;5;1;8;10;12;10;7;7;8;8;8;5;89
2000;0;2;6;12;10;6;6;7;8;14;17;10;98
2001;15;3;15;8;12;2;5;5;9;6;6;0;86
2002;2;7;4;11;13;10;10;12;10;9;15;7;110
2003;4;0;3;6;9;8;7;4;6;10;9;8;74
2004;4;7;8;13;10;8;7;5;5;14;7;10;98
2005;0;2;5;10;8;4;10;8;9;10;6;6;78
2006;1;8;3;8;7;6;4;9;5;6;6;9;72
2007;4;7;6;2;10;10;3;9;7;4;4;2;68
2008;9;4;7;12;13;16;8;4;7;5;11;10;106
