ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Domegge di Cadore;;;;;;;;;;;;;
Coordinata X 1761891 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5150944 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 822 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;72.8;42;16.6;108.6;113.6;66.4;156.4;158.4;227.6;64.8;55;15.2;1097.4
1995;34.2;47.6;37;57;155;187.6;100.4;92.4;125.8;0;12.6;58;907.6
1996;33.4;13;7.2;34.4;104.2;75;84.6;181.6;53.8;218;219.4;38.4;1063
1997;56.8;6;11.6;24;68.6;229.4;121.8;70.8;21.6;5.4;154.2;119;889.2
1998;19.2;7.8;6;178.8;56;120.8;127.2;98;152.4;173.6;29.8;1.4;971
1999;54.8;7.8;101.8;77.4;116.2;132.2;112.8;144.2;111.8;111;38.4;32.2;1040.6
2000;2.6;5.4;87.8;72.2;83.8;76.8;100.2;129;123.8;262.4;352.2;42.6;1338.8
2001;119.4;12.2;110.2;78.2;44.8;80.8;151.2;108.4;101.4;28.4;27.2;0;862.2
2002;6.8;48;44.8;142.2;166.8;187;151;129.8;134.2;74.6;340.6;82.6;1508.4
2003;20.2;1.8;6.6;52.8;92;81.4;122.2;122.8;18.8;159.4;242.8;72.8;993.6
2004;3.2;48.8;31;74.8;148.8;147.6;145.4;105.2;70.4;177;64.2;62.8;1079.2
2005;5.2;4.2;23.2;100.8;128.4;77.6;138.8;119.6;140.6;228.2;41.4;43.8;1051.8
2006;7;44.6;58;104;69.4;82.2;95.8;217.6;68.8;55.8;5.8;91.8;900.8
2007;72;30.4;84.4;17.2;123.6;110.4;162.8;228;105.4;47;95.6;4.2;1081
2008;110.8;22.2;41.2;87.2;135.4;144.8;163.8;122.6;68.8;165.2;158.6;177.4;1398
2009;107.4;82;129.6;120.4;42;151.6;192;103.6;122.2;48.2;131;128.8;1358.8
2010;37.8;50;44.8;29;156.4;105.6;61.4;161.6;155.6;149.8;192.8;99.8;1244.6
2011;20.4;22.6;62.6;36.4;160.8;156.2;123.8;61.8;132.4;130;47;21.8;975.8
2012;19.8;3.8;24.6;118.6;86;127.8;193.4;157;224.2;157;256.8;24.4;1393.4
2013;57.8;61.8;123.4;94.8;202.8;70.6;70.2;113.2;60.6;119.4;185.2;139.8;1299.6
2014;300.2;223.2;113.6;70.6;59.6;161.4;163.4;150;54.4;66.4;262.8;77.8;1703.4
2015;48.8;23;87.8;27.8;137.6;103.8;90;138.6;128.4;116.2;3.6;0;905.6
2016;28.6;164;92.6;88.8;94.2;141.2;168.4;184.4;84;106.4;96.6;0;1249.2
2017;2.6;68.6;29.8;117.4;74;146;156;90;209.4;17.2;115.8;136.4;1163.2
2018;61.6;28.6;118;100.6;194.6;50.8;187.2;175.4;65;396.4;85.4;8.4;1472
2019;8.4;129.4;28;261;172.6;28;118;68.2;84.2;79;420.4;87.2;1484.4
2020;1.8;6.4;103;22.8;93.2;159.4;129.2;297.4;51.8;192.8;9.8;362.4;1430
2021;145.6;52.4;10.4;45.2;162.8;83.4;148.6;168.4;76.4;54.4;138.4;26.2;1112.2
2022;22.2;24;8.2;72.4;52;153.8;84.4;152.8;150.2;54.4;57.6;71.8;903.8
Medio mensile;51.1;44.2;56.7;83.3;113.6;118.6;131.7;139.7;107.7;119.3;132.4;69.9;1168.2
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;2;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;2;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;1;0;
2000;0;0;0;0;0;4;3;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;2;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;2;3;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;3;
2011;0;0;0;0;0;0;1;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;2;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;2;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;2;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;3;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;2;0;0;2;1;0;0;1;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Domegge di Cadore;;;;;;;;;;;;;
Coordinata X 1761891 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5150944 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 822 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;7;4;2;13;15;12;13;16;12;9;3;3;109
1995;6;7;6;7;12;13;11;14;12;0;4;10;102
1996;9;3;2;7;15;9;12;15;10;9;13;6;110
1997;8;2;3;3;14;23;10;8;3;2;11;10;97
1998;5;1;2;15;8;16;8;12;10;10;3;1;91
1999;3;2;7;9;12;17;11;14;9;9;8;6;107
2000;1;1;7;10;14;8;11;11;8;17;16;8;112
2001;12;3;13;9;11;9;14;10;12;3;4;0;100
2002;1;6;5;14;15;8;17;11;9;10;16;6;118
2003;4;1;2;6;9;12;10;8;6;10;6;7;81
2004;2;7;5;11;13;11;14;9;4;10;7;5;98
2005;3;2;6;11;11;8;13;13;13;9;6;5;100
2006;3;6;5;13;10;8;12;18;5;6;1;5;92
2007;4;8;8;3;14;15;10;17;7;9;5;1;101
2008;7;4;7;14;16;16;13;12;12;7;13;11;132
2009;6;7;7;11;7;15;14;9;8;5;8;11;108
2010;4;7;4;5;17;9;9;14;13;7;15;8;112
2011;2;5;5;7;12;18;17;10;6;5;5;4;96
2012;4;3;5;15;13;10;16;12;11;12;8;4;113
2013;8;10;14;11;20;7;9;9;9;12;13;3;125
2014;10;15;6;7;8;14;15;18;12;8;15;8;136
2015;4;6;8;7;14;9;10;11;9;12;1;0;91
2016;4;12;6;9;11;15;15;10;7;14;10;0;113
2017;1;8;4;9;12;14;16;9;17;2;8;7;107
2018;3;6;15;13;21;10;14;11;5;7;7;3;115
2019;2;5;3;15;18;10;17;12;6;9;20;9;126
2020;1;2;8;3;10;12;15;17;7;12;3;11;101
2021;9;3;2;6;17;11;15;15;10;3;7;4;102
2022;1;2;1;9;12;13;11;12;13;6;5;7;92
Medio mensile;5;5;6;9;13;12;13;12;9;8;8;6;106
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;2;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;2;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;1;0;
2000;0;0;0;0;0;4;3;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;2;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;2;3;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;3;
2011;0;0;0;0;0;0;1;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;2;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;2;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;2;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;3;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;2;0;0;2;1;0;0;1;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Domegge di Cadore;;;;;;;;;;;;;
Coordinata X 1761891 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5150944 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 822 m s.l.m.;;;;;;;;;;;;;
Parametro Radiazione solare globale (MJ/m2);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;139.833;207.989;388.308;397.113;485.81;545.255;581.071;540.749;354.098;282.992;137.442;124.733;4185.393
1995;158.773;173.365;385.283;447.615;477.952;502.93;624.689;467.817;375.561;351.192;180.162;102.165;4247.504
1996;145.569;265.633;402.786;413.173;514.792;598.876;605.001;480.946;385.264;225.781;140.084;113.757;4291.662
1997;161.416;244.483;436.958;536.945;586.971;432.515;588.797;516.505;492.123;312.087;145.418;118.771;4572.989
1998;180.325;285.747;453.514;354.845;552.936;567.942;585.376;579.86;368.739;255.88;177.017;144.803;4506.984
