ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Eraclea;;;;;;;;;;;;;
Coordinata X 1789119 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5056667 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione -1 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;103.4;39.6;3.4;117.6;41.6;46.6;40.4;70.4;137;90.8;61.4;39.4;791.6
1995;48;77.6;73.8;39.8;175.4;151.8;38.2;110.2;246;11.8;30.6;146.4;1149.6
1996;52.2;16.6;9;92.2;101.2;24.2;19.8;196.4;93.2;157.8;90.8;117.2;970.6
1997;80.6;2.2;19.2;71.2;50.4;38.6;46.6;63.4;16;18;161.4;93.6;661.2
1998;24.2;2;1.6;155.4;73.4;83.8;56.6;17.4;102.8;271.8;18.8;10.2;818
1999;29.2;17.4;50.8;101.8;32.8;75.8;32.8;74.8;47.8;68.8;133.6;75;740.6
2000;3.2;7.2;39;54.6;72.6;14.2;64.2;37.2;141.2;104.2;177.6;57.4;772.6
2001;85.6;3.8;65.6;38.2;54.6;80.2;29;67.6;104.4;50;27.4;6.6;613
2002;39.2;52.6;5.8;163.4;90.8;81.6;114;188.4;94;169.6;112;54;1165.4
2003;38.6;22.8;2;126.2;12.6;23;50;39.8;32;69.4;121.2;93.4;631
2004;3.8;149;60.4;48.8;73;38.2;31.2;109;37.8;36.2;96.2;74.4;758
2005;29.2;4.2;10.8;98.4;64.4;38.2;65.6;133;119.2;130.2;109.8;53;856
2006;39.8;21.6;49.2;88.8;55.6;0.6;46;140.6;154.4;13.6;36;87;733.2
2007;23.2;98.4;62.8;0;129;88;33.6;138.8;143.6;57.8;26.2;26.6;828
2008;75.2;44.4;76.4;93.4;138;147.4;66.4;124.2;66.2;56.4;216.8;152.2;1257
2009;81.2;85.4;132.6;89.2;11.6;33.8;28.4;29;129.2;40.2;103.6;127.6;891.8
2010;87;126;40.8;36.2;126.4;124.2;79.4;76.8;254.8;69;204.8;177.4;1402.8
2011;22.4;91.2;150.4;15;34.6;106;85;12.4;107.8;99;34.2;31.4;789.4
2012;12.6;20.8;1.2;84.8;73.8;43.6;3;28.8;91;90.4;99.6;44.4;594
2013;107.6;109.2;328.2;56.4;179;17.4;23.8;111.4;54.2;92.6;162.2;22.8;1264.8
2014;198.6;218.8;72.4;35.2;57.8;73;270.4;153.4;52.6;31;166.4;87.2;1416.8
2015;18.6;33.2;132.2;24.2;52.2;157.4;34.8;93.2;66.4;152.2;16;4.2;784.6
2016;52.2;188.8;51;78.6;128.8;88.2;19.6;40.2;83.2;70.2;146.6;5.6;953
2017;31.4;98;22.2;110.8;43.6;48;28;42.2;179.8;15.2;91.4;67.8;778.4
2018;45;70.8;136.6;41.4;63.2;114.4;50.6;74.6;52.4;94.6;118;22.8;884.4
2019;7.6;44.6;38;177.6;233.4;5.2;53;85.4;58.6;38;269.8;103;1114.2
2020;19.8;9.2;93;23;34.2;228.6;34;98.8;60.8;121.2;20.8;125.4;868.8
2021;86.8;49.6;6.6;93.4;154.2;18;80;67.2;48.6;38.6;106.2;74;823.2
2022;47;15;22.2;52.6;29.2;12.8;28.2;62.4;108.4;7.6;104;108.2;597.6
Medio mensile;51.5;59.3;60.6;76.1;82.3;69.1;53.5;85.8;99.4;78.1;105.6;72;893.4
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;4;5;0;0;7;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;3;0;0;6;4;
2000;0;0;0;0;0;0;0;0;0;0;0;2;
2001;1;1;0;2;0;1;16;14;0;0;8;1;
2002;1;0;0;0;0;0;0;0;0;0;0;0;
2003;1;0;0;0;0;0;0;0;0;0;2;0;
2004;13;1;1;7;16;16;0;0;10;15;2;0;
2005;0;2;0;0;0;0;0;0;0;0;0;0;
2006;2;0;0;0;0;4;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;2;0;0;0;0;0;0;0;0;0;0;0;
