ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Faedo (Cinto Euganeo);;;;;;;;;;;;;
Coordinata X 1711521 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5020363 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 250 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;139.2;67.6;68.6;50.8;326.2
1995;36.6;87;44.8;76.8;283.6;162.4;40.8;41.6;117.2;10.6;17.2;165.4;1084
1996;116;55.2;25.2;177.8;67.6;72;44.8;88.2;116.2;96;114.6;195.2;1168.8
1997;95.2;4.2;28.8;56;31.6;122.8;46.6;36.2;12;24.2;126;144;727.6
1998;54.8;38.8;13.8;122.6;72.2;54.8;31.2;36.2;149.2;171.6;21.6;9.2;776
1999;62;18.8;67.6;148.2;38.6;91.6;42.8;59.8;36.2;139.2;231;50.4;986.2
2000;0;4.4;118.8;80.4;54.4;96.4;60;94.2;138.8;189.6;163.8;81.6;1082.4
2001;97.4;4;222.4;83.8;52;58.4;167.8;89.4;88.8;41.2;60.8;2.2;968.2
2002;53.8;130.6;6.2;189.8;142.4;81.4;183.2;111;57.2;135.6;124.8;54.4;1270.4
2003;41.4;9.6;4;54.8;21.6;69.8;16.2;3.4;36;76.2;167.2;60.8;561
2004;59.4;54.2;79.4;130.2;92;112.6;51.4;37.8;74.4;108;133;81.6;1014
2005;1;0.2;3;122.6;96.4;29.4;97.4;220.8;110;207;173.8;66.2;1127.8
2006;0;44.6;46.4;55.4;76.4;20.2;45.2;171.8;219.8;26;53.8;66;825.6
2007;39.4;67.2;115.4;6.6;139.6;41;12.4;82;83.4;61.6;38;23.6;710.2
2008;79.2;52.4;72.4;147.6;107.4;105.2;35.8;59.4;33.4;44.4;191.8;220.4;1149.4
2009;63.6;40.2;160;230.8;10.6;110.6;36.8;19.6;112;83.8;120.8;114;1102.8
2010;76.4;188.8;52.2;57.8;172.6;159;37.6;69.2;147;140.2;198.8;173.8;1473.4
2011;17;69.6;167.4;9.8;35;52.6;59.6;2.8;37.2;93.2;82.8;24.2;651.2
2012;6.2;44.8;19.8;89.8;111.2;15.6;2;33;153.2;178.6;174;41.6;869.8
2013;142;74.8;325.6;128;206.6;52.2;48.2;70.4;32.4;121.2;135.6;20.2;1357.2
2014;217.4;215.8;64.6;136.6;74.4;45.2;245;71.4;73.8;51;127.6;74.4;1397.2
2015;19.6;84.8;119.2;57.6;106;79.8;36.6;45.4;34.8;105.4;12.8;2.8;704.8
2016;56;242.2;100;57.4;205.2;172.2;46.4;55.4;42.8;146.6;143.6;2.6;1270.4
2017;15;115.2;24.6;57.4;51;42.8;47.4;14.2;130.4;22.4;112.4;47.6;680.4
2018;21.6;86;163.8;45.6;93;74;40;123.2;105.2;114.8;99.4;17.8;984.4
2019;22.8;53.6;7.6;184.8;224;22.8;139.8;60;45.6;87.6;240.8;118;1207.4
2020;17;9.4;73.4;12.6;30.2;104.8;63;159.4;23.4;119.4;16.6;181.2;810.4
2021;85.4;23.6;0.4;123.8;109;25.4;89.4;45;54.6;48.6;104.4;55.2;764.8
2022;17.2;21;13.2;54.6;56.8;14;42.2;103.8;86.4;0.2;146.6;121.2;677.2
Medio mensile;54;65.8;76.4;96.4;98.6;74.6;64.6;71.6;85.9;93.5;117.3;78.2;956.2
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;31;28;31;30;31;30;31;31;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;2;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;4;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;1;0;0;2;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;0;0;0;0;0;6;
2003;5;2;8;3;0;15;0;0;3;0;0;2;
2004;6;8;4;1;0;1;0;0;0;0;0;0;
2005;2;4;1;0;0;0;0;0;0;0;4;1;
2006;7;0;0;0;0;0;0;0;0;0;0;0;
2007;1;0;0;0;0;0;0;0;1;0;0;0;
2008;2;0;0;0;0;0;0;0;0;0;0;0;
2009;2;2;0;0;0;0;0;0;0;0;0;3;
2010;4;0;1;0;0;0;0;0;0;0;0;1;
2011;2;0;0;0;0;0;0;0;0;0;0;0;
2012;0;2;0;0;0;0;0;0;0;0;0;0;
2013;0;1;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;2;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;1;0;0;1;0;1;0;3;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;1;1;1;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;1;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Faedo (Cinto Euganeo);;;;;;;;;;;;;
Coordinata X 1711521 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5020363 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 250 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;10;5;4;6;25
1995;7;10;8;8;14;11;7;9;10;2;4;11;101
1996;10;6;3;11;11;7;3;11;8;9;13;11;103
1997;10;1;4;4;6;12;5;3;3;4;12;11;75
1998;7;2;2;15;9;9;4;3;12;8;2;2;75
1999;4;3;7;11;7;9;4;3;6;7;10;7;78
2000;0;2;6;7;7;8;9;4;9;14;15;9;90
2001;16;2;13;9;6;6;6;3;12;7;7;1;88
2002;1;5;2;13;11;9;10;10;7;7;10;9;94
2003;4;1;2;5;3;4;4;1;7;9;7;5;52
2004;4;3;5;14;9;8;5;5;3;12;9;12;89
2005;0;0;0;11;7;4;11;10;6;9;5;10;73
2006;0;7;7;8;5;3;3;15;6;3;5;6;68
2007;3;8;8;1;7;7;4;7;7;6;4;5;67
2008;7;4;10;15;8;12;4;4;2;4;13;11;94
2009;10;6;9;12;3;10;5;3;3;6;12;8;87
2010;7;10;5;10;12;9;6;4;11;9;15;12;110
2011;4;6;8;3;2;7;10;1;4;6;5;7;63
2012;2;2;1;13;10;3;1;4;12;8;8;9;73
2013;11;5;19;14;13;6;4;8;4;10;8;4;106
2014;16;16;4;5;8;7;12;9;9;5;12;9;112
2015;3;5;7;8;9;5;2;9;6;11;1;0;66
2016;7;14;7;6;14;11;4;5;4;7;8;1;88
2017;3;8;3;7;8;5;4;3;13;3;7;7;71
2018;3;10;12;7;9;9;5;10;7;7;10;4;93
2019;6;5;3;13;17;1;7;6;5;7;17;7;94
2020;2;2;6;4;5;10;8;9;4;10;2;11;73
2021;7;5;0;9;9;3;7;6;6;4;12;5;73
2022;2;2;1;6;7;4;6;8;8;0;11;11;66
Medio mensile;6;5;6;9;8;7;6;6;7;7;9;7;81
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;31;28;31;30;31;30;31;31;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;2;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;4;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;1;0;0;2;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;0;0;0;0;0;6;
2003;5;2;8;3;0;15;0;0;3;0;0;2;
2004;6;8;4;1;0;1;0;0;0;0;0;0;
2005;2;4;1;0;0;0;0;0;0;0;4;1;
2006;7;0;0;0;0;0;0;0;0;0;0;0;
2007;1;0;0;0;0;0;0;0;1;0;0;0;
2008;2;0;0;0;0;0;0;0;0;0;0;0;
2009;2;2;0;0;0;0;0;0;0;0;0;3;
2010;4;0;1;0;0;0;0;0;0;0;0;1;
2011;2;0;0;0;0;0;0;0;0;0;0;0;
2012;0;2;0;0;0;0;0;0;0;0;0;0;
2013;0;1;0;0;0;0;0;0;0;0;0;0;
