ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Falcade;;;;;;;;;;;;;
Coordinata X 1720787 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5137567 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1150 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;1.4;231.6;267.4;67.2;567.6
1997;74;8.8;16.6;40.2;85.4;281.6;146.6;144.4;21.2;4.8;184.2;84.4;1092.2
1998;27.6;11.6;5.6;236.6;67.8;141.2;149.8;132.2;159.8;183.4;29.8;2.6;1148
1999;0;0.6;47.6;116.4;180;123.8;139.4;168.6;157.6;145.4;31;1.2;1111.6
2000;>>;>>;>>;>>;36.8;79.8;109.6;157.4;20.8;>>;166;14.8;585.2
2001;124.6;15.4;108.2;60.2;65.6;94.8;150.4;131;110;16.8;41;0.4;918.4
2002;8.8;1.4;47;147.4;267.6;162.6;165.6;178;146;80.4;448.2;55.8;1708.8
2003;24.2;1.6;1;63.4;113;112.4;110.8;72.8;22.4;152.8;241;75.8;991.2
2004;4;75.8;83.6;65.4;140.4;116.8;111.4;97.4;60.8;166.4;102.8;62.8;1087.6
2005;6;2.4;23.8;92.6;128.6;61.4;129.4;110.6;124.8;181.8;35;40;936.4
2006;30;44.2;41.4;123.8;109.2;65.2;121.2;213;88.2;43;18.8;108.4;1006.4
2007;81.6;23.6;129.4;56.4;153.2;117;120;228;89.4;26;94;3.4;1122
2008;112.2;30.6;62.4;117.6;161.8;173.6;159;151.6;78;148.8;235.8;233.2;1664.6
2009;82.2;119.4;138.8;152;28.2;87.8;125.4;100.8;99.8;50.8;166;131.6;1282.8
2010;34.6;63.2;57.6;32.2;207.6;126.6;101.6;153.6;129;139.6;198.2;135.6;1379.4
2011;9.2;28.8;81;16;119.4;188;85.8;97.6;137.4;118.6;69.6;20;971.4
2012;20;15;62;144.6;116;98.4;245.6;166;174.2;197;305.4;20;1564.2
2013;78.2;79.2;143.2;112.6;217;131;61.4;142.6;68.8;158.2;188.2;131.2;1511.6
2014;286.2;246;97.6;103.6;55;145.6;167;181.4;66.4;64.4;331;76.4;1820.6
2015;59;61.8;76;37.8;125.2;103.6;100.6;114.8;130.6;142;0.4;0;951.8
2016;30.4;135.4;89.2;91.6;117;149.6;122.8;124.6;76;109.6;59.4;0;1105.6
2017;3;55.4;33;92.4;86.4;179;119.4;104.6;176.8;21.8;106;111.8;1089.6
2018;63.4;22.6;116;102.8;179.6;84.8;195.4;228.6;57.6;313.2;83.4;7.8;1455.2
2019;13.6;105;26.8;283.2;202.4;54.6;246.2;61.8;113;72.2;423.4;69.6;1671.8
2020;4.6;3;104.4;31.2;87.8;163.6;171;336.8;85.2;278.4;10.2;356;1632.2
2021;129.2;45.4;4.6;74;162;110.4;162.8;116;58.4;72.8;171.8;28.4;1135.8
2022;26;37.2;9.2;87.4;86.2;123.6;139.2;137.8;131;51.6;78.2;88.2;995.6
