ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Faloria;;;;;;;;;;;;;
Coordinata X 1743531 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5157576 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 2235 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;30;23.6;14.2;71.2;80;78.2;161.4;137;257.6;40.4;50.2;19.4;963.2
1995;19.6;23.2;23;67.2;161.8;172.6;116.8;98.2;143.2;0;15.4;61.2;902.2
1996;21.6;14.2;10.2;40;133.6;71.8;105.6;125.8;33;231.2;202.6;29;1018.6
1997;50.8;0.8;6.6;25.4;59.8;246;98.6;64.8;54.2;4.4;139;74.2;824.6
1998;7.8;7.4;1;109.4;73.8;154.6;152.6;103;70.2;244.4;15.4;2.6;942.2
1999;69.6;7.4;81.2;97.4;154;153.2;196.2;149.8;155.8;59.6;38.2;29.2;1191.6
2000;8.6;1.2;127.2;75.8;84;86.8;123.4;165.2;154.2;292;376.2;23.2;1517.8
2001;95.8;10.8;5.4;0;47.6;124.6;153.6;130.6;127.4;27;21.2;0.4;744.4
2002;5.6;58.2;45.8;132.6;278.2;144.4;150.2;196;106;60.8;438;63.4;1679.2
2003;19;0.8;8.2;24.6;61.6;87.8;102.8;97.8;28.8;109.4;182.2;65.6;788.6
2004;3.6;65.6;55.6;60.4;149.4;131.2;143.2;93.4;66.6;166.8;82.2;66.8;1084.8
2005;4.2;8;21.6;87.4;98;110.2;145.2;154.8;137.4;247.8;39.8;56.4;1110.8
2006;15.8;41.6;3.6;71.8;75;85.8;155.2;259.4;120.2;31.2;14;66.2;939.8
2007;72.8;20.4;118.4;24.8;196.2;150.8;147.4;245.8;94.2;32;98.4;2;1203.2
2008;84.8;10.6;41.6;85;164;164.8;183.4;124;138.2;170.2;190.2;188.8;1545.6
2009;18.2;42.4;15;76.4;54.4;180.6;186;136;112.8;47.6;118.4;83.2;1071
2010;33.4;48;30.4;41;216.4;105.4;78;174.4;124.4;118;171.4;117;1257.8
2011;11;27.6;63.8;35;116.8;247.2;128;109.2;182.6;80.4;70;13.2;1084.8
2012;10.2;8;31;110.8;104.2;98.4;186.6;175.6;168.4;149.8;273.8;13;1329.8
2013;41;48.6;91.6;103;202;129.8;86.2;131;69.4;123.6;121.6;87.8;1235.6
2014;145;0;0;88;25.2;0.2;208.4;150.4;94;52;276;66;1105.2
2015;46.4;44.6;61.4;24.2;165.4;158.2;91.6;147.6;143.8;121.6;2.2;0;1007
2016;12.8;115.2;77.8;63.8;120.4;192.6;146.4;175.6;88.2;94.4;48.4;2.4;1138
2017;2;33.6;23;70;78.4;161;155;94.6;185;17.4;94.4;45.2;959.6
2018;52;24.6;124.6;108.2;214.8;73.8;197.2;201.8;110.4;335.2;98.2;6.8;1547.6
2019;16.8;76.2;15.8;173.8;70;75.2;176.6;137;123;88.4;253.8;48.8;1255.4
2020;1.8;4.2;98.8;25;103;194;159;354.2;95;219.8;4.8;304;1563.6
2021;45.4;32.2;4.6;40.6;131.4;109;224.6;166;62.2;49.6;143.4;25.6;1034.6
2022;5.6;16.8;4.2;101.4;96;177.2;159.2;158.2;100.2;45.6;42.6;67.4;974.4
Medio mensile;32.8;28.1;41.6;70.1;121.2;133.3;148.9;153.7;115.4;112.4;124.9;56.2;1138.7
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;2;2;0;2;0;0;
1995;0;0;0;0;0;0;2;4;0;0;1;2;
1996;2;0;4;0;2;0;0;6;0;0;0;0;
1997;0;3;0;0;0;0;2;3;0;0;0;0;
1998;4;0;1;4;3;0;0;0;8;2;0;0;
1999;0;0;1;0;0;4;0;3;0;4;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;8;4;18;18;7;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;4;0;1;2;0;0;0;0;0;2;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;3;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;1;0;
2009;2;14;9;5;0;0;0;0;0;1;1;0;
2010;0;1;0;0;0;0;0;0;0;0;0;2;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;1;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;1;0;0;0;0;0;0;0;0;0;
2014;2;19;7;1;2;19;0;0;0;1;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;1;0;1;0;0;0;0;0;0;0;0;0;
2017;0;1;0;0;0;0;0;0;1;0;0;2;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;1;0;0;2;5;0;0;0;0;0;5;0;
2020;0;0;0;0;0;0;0;0;0;0;0;5;
2021;8;1;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;1;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Faloria;;;;;;;;;;;;;
Coordinata X 1743531 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5157576 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 2235 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;7;4;1;13;12;11;14;14;13;7;6;3;105
1995;4;6;3;8;12;14;17;13;12;0;4;8;101
1996;6;3;4;8;16;12;8;13;8;9;11;6;104
1997;6;0;2;3;9;24;11;11;5;2;10;8;91
1998;3;2;1;12;12;17;11;13;5;9;6;1;92
1999;4;2;7;10;18;17;12;16;9;5;7;3;110
2000;1;0;7;10;14;12;12;14;8;17;17;8;120
2001;7;1;1;0;9;12;14;13;9;3;4;0;73
2002;1;6;5;14;18;12;12;14;11;7;15;6;121
2003;5;0;2;6;8;13;10;10;5;10;7;6;82
2004;2;8;7;13;15;9;14;11;4;9;6;6;104
2005;2;2;5;11;10;8;12;12;14;10;6;6;98
2006;4;6;2;15;15;9;15;21;6;6;5;5;109
2007;4;3;10;5;21;19;9;18;7;6;6;1;109
2008;7;4;9;14;16;19;18;10;12;6;11;9;135
2009;4;4;1;8;10;13;14;12;11;4;7;9;97
2010;3;6;4;7;16;11;12;17;14;7;15;9;121
2011;2;5;6;5;13;21;17;12;10;6;5;2;104
2012;4;4;4;15;15;10;16;13;11;12;12;3;119
2013;6;11;13;15;18;14;14;11;10;12;11;3;138
2014;9;0;0;10;7;0;20;19;15;3;15;8;106
2015;5;6;8;7;17;14;12;14;9;12;1;0;105
2016;3;14;8;10;10;23;16;12;7;12;9;1;125
2017;1;6;5;7;14;16;12;10;14;3;7;4;99
2018;4;6;15;10;24;12;16;16;8;7;8;3;129
2019;6;3;3;15;13;9;20;14;6;9;14;7;119
2020;1;1;10;5;11;17;18;20;11;12;2;7;115
2021;4;2;2;9;17;17;17;11;8;3;10;5;105
2022;1;1;1;10;18;14;12;15;12;4;7;8;103
Medio mensile;4;4;5;9;14;14;14;14;9;7;8;5;108
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;2;2;0;2;0;0;
1995;0;0;0;0;0;0;2;4;0;0;1;2;
1996;2;0;4;0;2;0;0;6;0;0;0;0;
1997;0;3;0;0;0;0;2;3;0;0;0;0;
1998;4;0;1;4;3;0;0;0;8;2;0;0;
1999;0;0;1;0;0;4;0;3;0;4;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;8;4;18;18;7;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;4;0;1;2;0;0;0;0;0;2;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;3;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;1;0;
2009;2;14;9;5;0;0;0;0;0;1;1;0;
2010;0;1;0;0;0;0;0;0;0;0;0;2;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;1;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;1;0;0;0;0;0;0;0;0;0;
2014;2;19;7;1;2;19;0;0;0;1;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;1;0;1;0;0;0;0;0;0;0;0;0;
2017;0;1;0;0;0;0;0;0;1;0;0;2;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;1;0;0;2;5;0;0;0;0;0;5;0;
2020;0;0;0;0;0;0;0;0;0;0;0;5;
2021;8;1;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;1;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Faloria;;;;;;;;;;;;;
Coordinata X 1743531 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5157576 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 2235 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;-7.4;-10;-2.9;-5;0.5;4.3;7.8;7.5;3.7;-0.9;-0.2;-5.3;-0.7
1995;-10.6;-6.3;-9.7;-3.5;0.3;2.1;8.1;5;0.7;2.9;-6.1;-8.3;-2.1
1996;-7.5;-11.4;-9.8;-3.2;0.6;4.2;5.5;5;0;-0.4;-4.9;-7.4;-2.4
1997;-5.2;-6;-4.1;-6.7;0.4;3.9;5;6.6;5.6;-0.4;-4.3;-7;-1
1998;-6.9;-3.2;-8.1;-3.3;0.8;4.8;6.6;7.2;2.7;-1.4;-7.8;-7.8;-1.4
1999;-7.4;-10.7;-5.8;-3.6;2.4;3.4;6.3;6.7;4.5;-0.2;-6.4;-9.1;-1.7
