ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Farra di Soligo;;;;;;;;;;;;;
Coordinata X 1740836 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5087883 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 169 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;72.2;47;17.4;143;117.4;64;79.2;44;227;119.4;70.8;49;1050.4
1995;48.8;64.8;57.2;64.4;209;158;118.2;138.2;202;1.6;46.4;184.6;1293.2
1996;88.8;37.6;11.2;89.8;147.8;48.8;77.4;264;90.8;300.2;182;48.4;1386.8
1997;97.8;0.8;15.2;93;64.6;171.4;97.6;106.8;27.4;28.2;215.4;217;1135.2
1998;57.4;14.8;14.8;317.4;62.4;102.2;144.2;64.6;181.4;220.2;20.4;5.2;1205
1999;52.4;10.4;104.2;154.2;122.6;144.4;111.8;126.2;121.2;186.2;155.6;73;1362.2
2000;0.2;4.2;107.2;98;102.6;134;153;124;218;235.2;463.2;76.8;1716.4
2001;126.2;13.4;270.8;135.2;141.6;63.6;162.6;205.8;149;41.6;68.4;0.4;1378.6
2002;25.6;124.8;35.6;199;304.8;195;47;296.8;174.4;151.8;262.6;98.6;1916
2003;110.2;5.4;4.2;131.6;52.8;77.4;86.6;96.2;52.4;129.4;290.8;183.8;1220.8
2004;23;223.6;73.2;135.2;245.8;214.2;49.4;265;121.6;302.4;128.2;130.8;1912.4
2005;1;11.2;21;205.6;92.4;91.6;114;246.4;263;247.8;184.4;98.6;1577
2006;33;52.8;72.4;229.2;130;56.4;98.2;370.4;187.4;36.6;16.2;212.6;1495.2
2007;98.2;54.8;139.6;21.6;209.4;139.8;110;130;145.2;113.8;143.4;11.6;1317.4
2008;197.8;72.8;106.4;237.2;219.4;209;201.8;152.4;205.4;176.6;292;342;2412.8
2009;205.8;130.8;265.8;183.6;34.2;222.6;145.8;46.8;214.6;67.4;167.4;214.2;1899
2010;81.2;155.6;83.8;45.2;294.6;150;96.8;117;190.2;266;399.8;288.6;2168.8
2011;42;57;167.4;24.2;107.8;218.4;145.8;84.2;117.4;212.6;181.8;49;1407.6
2012;16.8;24.6;5.8;202.4;154.2;68.8;122.6;68.4;192;165.4;403;50;1474
2013;128;109.2;286.8;133.6;353.8;87.2;33.2;115.6;51.4;94.8;200.8;104.8;1699.2
2014;435.6;378;97.6;78.2;66.4;194.8;272.8;254;75.8;40.2;274.8;110.2;2278.4
2015;52.4;77.2;115;73.4;89.4;84.6;26.8;186.4;166.6;157.6;9.4;1.6;1040.4
2016;47.6;281.4;120.8;62.2;270;148.6;67.6;113.4;104.6;104.4;170.6;1.2;1492.4
2017;15.6;106.6;22.6;144.6;99;178.8;110.6;43.8;147.4;41.2;172.4;161.8;1244.4
2018;77.4;54.2;157.8;131.8;202;93.4;137.8;136.2;175.4;207.6;164.6;12;1550.2
2019;18.6;144.6;29.2;343.8;364.6;9;120.6;121;121.2;63.4;396.6;140.8;1873.4
2020;10.6;6.2;127.8;36;105;332.2;71;177;217.8;198.2;11.6;280.8;1574.2
2021;176.4;56;8.8;169;271.2;58;182.8;107.2;56.6;39.4;196.6;62;1384
2022;25.8;48.2;5.2;97.8;105.2;69.8;37.8;115.4;129.8;18.8;126;131.8;911.6
Medio mensile;81.6;81.7;87.8;137.2;163.4;130.6;111.1;148.9;149.2;136.8;186.7;115.2;1530.2
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;1;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;5;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;1;4;0;0;
1999;0;0;0;0;0;2;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;3;0;0;0;0;0;
2003;3;0;0;0;0;0;0;0;0;0;0;0;
2004;2;0;1;0;0;0;0;0;0;0;0;0;
2005;2;2;6;0;0;0;0;0;0;0;0;1;
2006;2;0;0;0;0;0;0;0;0;0;1;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;3;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;1;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;1;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Farra di Soligo;;;;;;;;;;;;;
Coordinata X 1740836 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5087883 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 169 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;8;4;1;12;9;10;6;4;11;8;4;4;81
1995;5;12;9;7;13;13;8;13;13;0;5;12;110
1996;11;6;4;11;14;7;9;13;10;10;12;6;113
1997;10;0;4;5;8;17;9;9;2;7;9;10;90
1998;7;2;1;19;13;11;8;4;9;9;2;2;87
1999;3;3;7;15;9;13;9;9;4;11;9;7;99
2000;0;2;6;9;9;9;11;8;8;17;17;11;107
2001;13;2;16;12;11;7;10;8;10;4;6;0;99
2002;1;6;4;13;17;10;6;11;11;9;16;8;112
2003;6;1;1;7;6;9;8;7;9;9;10;9;82
2004;3;9;5;12;15;11;11;13;6;15;8;10;118
2005;0;2;2;14;8;10;12;16;10;11;7;8;100
2006;3;8;8;10;8;6;8;12;7;5;3;7;85
2007;4;9;8;4;12;12;7;11;8;7;4;3;89
2008;10;4;8;19;14;14;11;9;12;5;13;12;131
2009;11;8;8;11;3;13;9;5;5;6;9;10;98
2010;8;10;10;9;14;6;7;8;10;8;14;12;116
2011;6;4;8;6;6;14;15;6;7;6;5;5;88
2012;2;1;3;17;11;7;11;7;11;9;12;5;96
2013;11;9;21;13;16;8;4;8;9;9;8;4;120
2014;15;19;5;9;10;10;17;15;8;6;16;7;137
2015;5;4;7;6;12;10;3;11;6;10;2;0;76
2016;5;14;6;7;16;17;7;8;6;10;12;0;108
2017;2;9;4;8;13;12;9;6;13;1;9;8;94
2018;4;8;17;9;17;9;12;9;5;6;10;3;109
2019;4;4;4;14;17;2;13;9;8;7;19;7;108
2020;2;2;7;4;13;17;7;13;10;11;2;13;101
2021;9;3;3;7;19;5;9;9;8;6;11;4;93
2022;1;2;1;10;10;8;6;11;13;2;6;9;79
Medio mensile;6;6;6;10;12;10;9;9;9;8;9;7;101
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;1;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;5;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;1;4;0;0;
1999;0;0;0;0;0;2;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;3;0;0;0;0;0;
2003;3;0;0;0;0;0;0;0;0;0;0;0;
2004;2;0;1;0;0;0;0;0;0;0;0;0;
2005;2;2;6;0;0;0;0;0;0;0;0;1;
2006;2;0;0;0;0;0;0;0;0;0;1;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;3;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;1;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;1;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
