ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Feltre;;;;;;;;;;;;;
Coordinata X 1724099 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5099945 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 264 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;131.4;116.4;152;36.8;373;310;76.6;1196.2
1997;49.2;0.8;13.2;51.6;99.8;215.4;124;124.4;40;15.6;294.8;201.6;1230.4
1998;37.2;17.6;5;267.2;102.8;105.2;124.4;37.4;220.8;287;19.4;6.2;1230.2
1999;84.2;11.6;141.8;192.6;114.6;103.8;87.2;92.2;254.8;129.8;153.6;57.4;1423.6
2000;0;3.8;125.4;75.2;106.6;92;107;134.2;215;275;563;52.8;1750
2001;129.2;21;282.8;134.4;79;31.2;115.8;187.8;172.4;70;83.6;2.4;1309.6
2002;19.6;112;48.8;205.4;294;184.8;198.4;205.6;160;118;637;79.4;2263
2003;62.6;2;5.4;106.2;48.8;128.8;70.4;102;40.2;221.2;355.8;143.8;1287.2
2004;5.8;187.2;107.4;105.8;259.6;139.8;55.8;130.4;82;292.2;151.8;123.6;1641.4
2005;6.2;28.4;47.2;162.2;102.4;66.6;97.4;171.8;177.2;260;137;86;1342.4
2006;12.6;82.4;45.2;137.2;117.2;54.8;99.2;202;159.6;32.4;18.2;217.6;1178.4
2007;131.2;37;146.2;17.8;159.2;156.2;43.6;182.8;63.8;66.8;168.8;4.4;1177.8
2008;210.4;52.8;89.6;173;193.2;155.2;167.6;96.6;160.2;207.8;345.8;358.4;2210.6
2009;116.6;208.8;235.6;297.4;23.4;96.4;162.4;271.4;188.4;87;305.4;179.2;2172
2010;91.8;123;90.8;38.8;311.4;129.8;116.6;135;146.8;333;357.2;234.2;2108.4
2011;22.8;51.4;151.6;22.6;81.6;239.6;96;102.4;185.2;198.8;194.6;25.4;1372
2012;11;17.4;35.2;190;196;92;207.8;86;182.6;203.8;463;38.6;1723.4
2013;104;85;239;151;328;100.4;50.2;72.8;75.6;122.4;201;248.2;1777.6
2014;427.6;359.8;124.8;88.8;36;72.2;315.2;136.4;60.8;126.4;604.2;133.2;2485.4
2015;55;77.6;98.4;38.8;164.4;103.6;32.8;38.6;163.8;190.8;6.8;0;970.6
2016;44.4;255;129;71.6;182.2;124;82;47.8;105.4;136.6;112.8;0;1290.8
2017;7.4;93.2;39.8;84.2;114;195.2;86.6;32.2;261.2;23.2;214.6;188.8;1340.4
2018;115.6;40;153;153.4;133;187.2;108.6;114.2;105.4;461.8;172.8;9.2;1754.2
2019;16.4;154.2;34.4;435.8;301.2;31.8;69.2;91.8;133.8;120.2;694;152.8;2235.6
2020;6;2;138;47.6;136.2;203.4;85.6;345.6;101.4;330.4;11;564;1971.2
2021;200.6;68.2;6.8;106.6;234;64.4;177.4;111.8;67;93;317.2;49.4;1496.4
