ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Follina antincendio;;;;;;;;;;;;;
Coordinata X 1741573 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5094022 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 311 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;77.2;54.8;52.4;219.2;148.6;53.6;53.6;96.8;244.8;134.6;91.6;59.2;1286.4
1995;58.6;68.6;69.8;134;306;191;148.2;37.4;263.6;0;29;198.2;1504.4
1996;100.8;44.4;21;108.6;205.4;87.8;137.4;287.2;28.2;360.2;9.4;85.2;1475.6
1997;120.2;1;19.6;109.6;105.6;234.8;163.2;169.6;61.6;34.8;335;261.6;1616.6
1998;65.2;17;19.4;322.8;150.4;147;167.8;40.8;213.2;332.4;24.2;4.8;1505
1999;62.4;3;148.2;181.6;85.2;33.6;98;94;170.8;209.4;150.4;70.2;1306.8
2000;0.2;4.4;146.8;133.8;89.4;158;121.8;54.4;293;318.4;597;87.6;2004.8
2001;149.8;27.8;323.6;141.2;104.6;65.2;171.6;56;183.4;78;73.8;0.2;1375.2
2002;12.2;71.4;69.8;206.6;278.8;42.8;196.6;233;175.8;149.8;369.6;119.6;1926
2003;105.4;0;3.8;109.6;46.2;74.8;45.6;111.4;46.8;177.8;339.4;204;1264.8
2004;16.2;183.4;100;152.6;219.6;165.8;70.2;217.8;103.6;332.4;114.6;130.2;1806.4
2005;5;25.4;37.8;203.4;69.2;114.8;201.2;260;302.4;256.8;132.2;103.2;1711.4
2006;74.6;71.2;80.6;241;125.4;56.6;78.2;229.4;107;46;0.4;193;1303.4
2007;124.4;51.4;174.2;32.2;210.4;76.4;129.6;153.8;132;86.2;205.6;9;1385.2
2008;212.6;63.4;126.4;244.8;254;197.6;105.4;141;189;229;305.6;383.6;2452.4
2009;227.6;176.8;319.4;218.2;50;141.4;124.8;95.2;206.8;111;177.8;103.4;1952.4
2010;74.6;149;82.8;35.2;376.6;135;53.8;71.2;206.8;360.2;455.2;335.2;2335.6
2011;39.6;59.8;183.6;16.6;80;190.8;98.6;53.6;141.4;217.4;174.6;44.2;1300.2
