ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Forno di Zoldo - Campo;;;;;;;;;;;;;
Coordinata X 1745068 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5137519 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 872 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;79.6;57.4;22;121.4;98.8;70;128.8;103;268.4;60.6;70.4;30.2;1110.6
1995;26.4;40;41.4;55.8;153.4;160.8;127.8;71.6;135;0;24.4;80.6;917.2
1996;38;11.8;7.4;45.8;157.2;108.6;142.2;204.4;55.4;314.6;319.8;48.4;1453.6
1997;77;2.4;8;43.4;95.6;240.6;129.8;109.2;20.4;4.8;243.4;164.2;1138.8
1998;21.2;13;2;235.6;62.2;110.2;131.2;97.4;194;233.6;32.2;3.6;1136.2
1999;84.6;7.4;143.4;192;136;114;126.2;143.6;221;136;75.4;45;1424.6
2000;1;5.4;48.6;88.2;114.6;106;111.6;152;162;350.2;492.2;41.4;1673.2
2001;138.8;20;150.8;95.2;69.8;74;135.2;136;96.8;35.4;42;0.2;994.2
2002;10.2;88.4;64.6;185.4;325.8;243;146.8;173;178.8;110.8;658;77.8;2262.6
2003;41.2;2.6;5.8;84.4;104.6;76.2;156.4;156.4;40.8;191;344.2;112.8;1316.4
2004;7.4;88.4;67.2;110;215.4;109;112.4;77.4;80.2;210;106.2;92;1275.6
2005;3.6;3.8;29.4;136.4;134;78.6;116.6;169.2;140.4;254;57.6;61.4;1185
2006;54.2;55.2;59.2;150.6;99.4;56.8;75.4;195.4;131.6;63.6;17.4;135.8;1094.6
2007;82.6;28.4;136.2;26.8;151.4;119.2;107.6;226;122;39.8;142.8;2.2;1185
2008;134.4;40.6;48.2;114.4;179;202.8;150.2;150.4;73.2;201.6;281.2;266;1842
2009;93.8;141.6;191.2;186.4;49;77.4;130.4;97.2;160.4;56.6;290.2;134.2;1608.4
2010;60;69.4;43.6;36.6;243.8;82.4;97.2;150.2;155.2;223.8;329.8;211;1703
2011;20;41.2;135.8;23.4;146.2;187.2;104.6;78.4;170.2;139.8;114;20.6;1181.4
2012;20.4;15.2;36.6;153.6;149.6;105;179.2;98.2;250.6;169.8;378.6;29;1585.8
2013;68.8;74.2;176.4;149.2;304.6;151.4;68.8;114.2;64.8;181.8;249.2;167.4;1770.8
2014;343.2;333.4;96;88.2;55.6;146.8;195;151.4;62.6;96.8;428;113.4;2110.4
2015;60;42.8;106;30.8;131.4;103.6;82.4;135.2;163.8;146.6;1.4;0;1004
2016;31.2;171.4;107.6;83;120.6;138.4;90.8;162;69.4;117.6;85.2;0;1177.2
2017;1.6;81.4;48.6;125.2;100;122.8;170;67;232;15.4;151.8;158.4;1274.2
2018;94.4;24.6;122.6;135.2;197.6;79;165.2;176.6;53;449.2;35.4;3.4;1536.2
2019;15.8;125.2;32.2;350;229.6;18.2;151;102.6;110.8;92.8;612.6;96.8;1937.6
2020;6.6;5;128;25.4;125.4;147.6;142;315.2;87;325.6;7.6;482.8;1798.2
2021;151.8;49;7.4;60.8;200.6;64.6;213.2;149.8;51.8;52.6;189;39;1229.6
2022;26.8;38;11.2;71.2;97.6;132;121;148.2;84.8;55.6;86.2;88.6;961.2
Medio mensile;61.9;57.8;71.6;110.5;146.5;118.1;131.3;141.8;125.4;149.3;202.3;93.3;1409.9
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
