ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Fossalta di Portogruaro;;;;;;;;;;;;;
Coordinata X 1802759 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5076523 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 3 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;69.2;43.2;9;126.8;51.2;71.2;36;54.6;113.6;102.6;68;28.2;773.6
1995;46.8;75.4;87;30.4;192.4;183.4;51.6;127;222.4;5;44.4;163.2;1229
1996;110.6;45.2;7.8;112.6;71.2;30.4;81.2;198.6;85.2;228.4;141;122.2;1234.4
1997;92.2;2;12.8;66.2;49.4;63.4;65.2;74.8;16.2;27.4;176.6;149.8;796
1998;28;1.4;1.4;138.6;59;157.2;103.6;20.8;175;309.2;29.4;11.6;1035.2
1999;45.8;34.8;84;201.8;80;66.6;25.8;107.4;42.8;76;133.2;109.2;1007.4
2000;4.2;5.6;69;63.4;126;43.6;145.6;72.2;145.6;115;287.8;89.4;1167.4
2001;123.8;10.4;117.6;71.4;153.4;111.6;93.2;52.6;144.8;46.2;59.4;9.6;994
2002;38.2;62.2;7.8;118.2;151;58.2;113.2;230.2;85.6;165;130.4;57.2;1217.2
2003;46;17.2;5.6;151.4;23;22.8;31.2;27.8;29.4;67.8;143.4;113.6;679.2
2004;47.2;189.8;70.8;51.6;139.8;85.2;27.4;108.4;90.6;159;122.6;91.6;1184
2005;28;1.8;16.2;124;60.4;49.4;127;179;142.8;170.2;104.4;70.2;1073.4
2006;50.6;29.2;68.4;99;58;2.6;47.2;130.6;44.2;15.4;41;92.8;679
2007;33.8;98;71.4;0.2;178.4;53.4;49.8;148.2;95.4;70;32.4;28.4;859.4
2008;134.4;53.4;90.6;132.4;170.4;118.4;43.2;141;95;54.6;112.4;227.4;1373.2
2009;98.2;108.2;194.8;93.8;44.4;53.4;60.8;45;95.2;69;154;140.4;1157.2
2010;116.8;149.6;44;45.6;164;102.4;109;105;265.2;129.6;197.2;189.8;1618.2
2011;34.8;59.2;190.4;7.4;56;141.6;132.8;5.2;78.2;107.2;30.8;41.4;885
2012;23.4;22;1.6;120.4;96;49.6;34.4;63.2;164.2;150.4;172.8;57;955
2013;78.4;115.4;306.4;41.6;220.4;25.2;95.8;67.6;289.4;108.2;219.8;57;1625.2
2014;349.4;208.2;67;30;39.4;122.2;207.8;104.4;82.6;47;336;104.8;1698.8
2015;28.8;18;121.4;38.2;73.2;109.2;30.8;181;122.6;215.6;13.8;4;956.6
2016;62.8;257.8;121.4;62.2;119;147.4;59.2;53.8;50.2;104.4;192.2;3;1233.4
2017;40.6;90;24.8;101.4;82.6;81.2;31.4;68;272.4;27.4;127.8;104.6;1052.2
2018;62.4;74.8;155;63.8;96.2;112.8;77;84.6;109.8;110.8;123.8;23.8;1094.8
2019;11;73.8;18.8;211;271.8;26;121.2;63.6;131.2;58.2;387.6;150;1524.2
2020;14;10;107;28.2;63;213.2;56.2;118.6;122.6;128.8;23.6;200.2;1085.4
2021;138.2;56.4;3.2;123.2;165.2;24.2;65.6;68.4;89.6;25.4;174;65.2;998.6
2022;46.4;21.4;19.8;63;24;35.6;12.6;49;159;9.4;104.4;100;644.6
Medio mensile;69.1;66.7;72.2;86.8;106.2;81.4;73.6;94.8;122.8;100.1;133.9;89.8;1097.6
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;3;0;0;0;0;0;0;0;0;0;0;0;
1995;0;2;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;2;0;0;0;4;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;1;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;4;0;0;0;0;0;0;0;
2003;1;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;2;0;0;0;0;0;0;0;0;0;0;
2006;2;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;5;0;
2009;0;0;0;0;0;0;0;0;0;0;0;1;
2010;0;0;1;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;2;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;1;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;2;2;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Fossalta di Portogruaro;;;;;;;;;;;;;
Coordinata X 1802759 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5076523 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 3 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
