ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Frassinelle Polesine;;;;;;;;;;;;;
Coordinata X 1711183 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4985415 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 4 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;39.2;22.4;0.4;79.4;14.6;49;20.8;51.2;104.2;135.6;33.2;30.4;580.4
1995;17.8;76.8;38.6;24.2;108.6;143.4;28;114;48.8;5.2;22.6;83.4;711.4
1996;72.8;50;20;87;116.8;55.8;34;105.8;92.6;87.8;78;121.6;922.2
1997;75.2;12.2;36.2;22.8;35.2;77;27.4;6.4;17.8;5.8;87.8;70.8;474.6
1998;32.8;15.8;11.4;51.2;77.4;38.4;10;23.2;101.4;120.4;19.8;26.4;528.2
1999;35.4;6.6;39;110.2;53.2;58.2;16.8;35;39.2;101.4;122;34.4;651.4
2000;3.8;5.8;49.2;48;61.6;20;53.4;43;13.4;139.8;82.2;53.2;573.4
2001;69.6;11.2;67.4;28.6;48.2;48.8;140.2;48.6;74.2;34.6;48.2;1.8;621.4
2002;22.8;30.8;1.2;47;77.4;27.4;131;120;115.4;91.8;80.4;115.8;861
2003;32.8;8.4;16.8;66.4;17.8;41;21.2;48.2;56.4;57;104.2;60.6;530.8
2004;51.2;72.2;76.6;106.8;27.2;51.6;18.6;17.4;31.2;76.4;73.4;86.4;689
2005;15.2;10.4;6.2;52.8;56.8;17.6;56.4;170.2;50.8;180.6;121.8;42;780.8
2006;23.2;32.2;28.4;43.8;32.6;27.6;25.4;73.4;92.6;13.2;27.2;19.6;439.2
2007;12.8;32.4;100;1.8;62.2;71;11;34.6;46.2;42;13.4;25.2;452.6
2008;37.2;10;33.8;44;63.6;108;12.6;25.8;24;28.2;159.8;76.4;623.4
2009;57;44.2;90.8;103.2;43;45.2;31;16;46.2;36;62.8;54.2;629.6
2010;56.6;86;44.2;74.8;110;127.8;4.2;70;26.2;64.4;102.2;61.8;828.2
2011;13.2;49;77.2;8.8;43.8;73.2;46;0;42.6;79.4;31.4;12.4;477
2012;8;22.8;0.2;89;76.6;14.6;2.6;2.2;176.4;177.2;91.8;32.2;693.6
2013;87.6;66.6;170.6;72.4;110.4;18.4;55.4;89.6;20.6;151.8;91;13.6;948
2014;123;89.8;36.6;62;66.2;35.6;124.8;44.6;74;18.8;58.4;65.4;799.2
2015;12.6;87.6;67.8;46.4;57;57.6;40.6;61.4;37.2;78.8;19.2;4.4;570.6
2016;51.4;150.2;55;32;135.2;85.8;3.6;37.8;67.6;89.4;84.8;5.8;798.6
2017;7;63.8;17.8;35.6;43.2;17.8;45;16.2;147;24.6;101;18.6;537.6
2018;11.2;93;100;15;48;82.8;79;18;30;79;55.2;22.2;633.4
2019;30;24.4;3.8;63.2;209.8;8.6;130.4;28;66.8;39.2;182.6;82;868.8
2020;20.6;4.6;33.2;17.4;14.6;78;85.2;109;36.6;84.2;13.4;70.4;567.2
