ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Gaiarine;;;;;;;;;;;;;
Coordinata X 1771060 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5088027 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 17 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;85.8;26.8;11.2;148.6;95.8;38.8;48.4;63.8;179;76;84;29;887.2
1995;40.8;66.2;71;57.8;214.6;136.6;50.6;130.6;236;3;29.2;159.8;1196.2
1996;83.6;26.4;8.8;88.6;106.2;59.2;57.8;222.2;72.2;349.6;195;94.2;1363.8
1997;90;1.2;26;80;52.2;108.6;128;69;18;35.4;190.2;202.2;1000.8
1998;40;4.6;6;229;80.6;76.2;96.6;23.4;180.2;200.6;25.4;6.2;968.8
1999;33.8;14.2;92.6;146.4;89;76;39;79.4;56.6;157.2;105;92.6;981.8
2000;2;7.6;103.8;65.6;105.6;73.2;77.4;69.6;173.2;140.4;251.4;67.2;1137
2001;133.4;8.8;188.2;164.8;75.8;91.6;136.6;120.4;145.6;71;51.8;1;1189
2002;31.4;81.4;17.6;152.8;161.8;147.6;107.8;216.6;124.2;126.4;186.2;69.2;1423
2003;83.8;13.8;0.4;116.4;28.4;45.6;89.6;68.8;34;89.4;182.6;126.2;879
2004;29.4;198;77.8;78;167;108.6;70.6;167;91.6;223.6;111.6;78.8;1402
2005;16.6;3.4;15.4;164;58.2;64;99.6;129.2;172;175.4;134.6;67.4;1099.8
2006;43.6;43;92.8;140;108.8;27.4;34.2;161.4;181.6;18.8;26;109.6;987.2
2007;48.6;64.2;80.8;14.8;91.4;167.6;57;178;155.4;69.8;67;16.2;1010.8
