ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Grantorto;;;;;;;;;;;;;
Coordinata X 1714687 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5052726 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 32 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;62.4;37.2;1.4;124.6;84.6;41;71.4;55.2;248.4;92.2;81.6;32.8;932.8
1995;52.2;88;41.6;64.6;237.6;124;71;160.4;133;7.8;37.8;191.8;1209.8
1996;113.8;50.4;19;117;87.6;51.6;44.4;161.2;50.4;180.6;120.4;125.8;1122.2
1997;85.4;3.2;8.6;53.4;56.4;103;71.2;32.8;31.2;7.4;117.6;151.4;721.6
1998;45.8;31.2;7.4;140.4;42.4;141.4;33.8;5.2;143.6;201.8;14.6;13;820.6
1999;36.6;10;59.6;111.6;84.8;80;185.8;114.4;73.2;134.2;134.8;56;1081
2000;1.4;4;99.8;63.2;123.2;46;44;53.4;116;181;219.4;66;1017.4
2001;113.2;7.4;185.2;77;42.8;24.2;128;75.8;62;46.6;54.6;0.4;817.2
2002;40.6;77.8;13;134.2;125.4;74.6;96.2;186;66.8;114.6;112.6;74.8;1116.6
2003;51;6.6;1.6;105.6;14.8;107.4;40.6;16.6;31.8;80;141.6;121.2;718.8
2004;34.8;154.8;77.2;70;71.2;76.6;50;85.4;126;107.4;63;88.4;1004.8
2005;1.8;0.2;9.2;156.8;99.8;59.4;159.6;152.2;92;244.4;173.4;64.4;1213.2
2006;23.6;48;40.6;87;172.4;44.6;21.2;171.2;169;20;40;64.6;902.2
2007;32.4;47.2;89.2;9.2;180.4;54.8;34.2;96.4;61.4;48.4;46.8;16.8;717.2
2008;95.8;41.2;55.6;128;122.2;133.6;104.6;88;93;64.8;161.8;215.8;1304.4
2009;95.6;67.6;141.6;139;32.2;49.6;62.2;84;162.4;60.4;129.6;114.2;1138.4
2010;67.6;160.8;52.6;32.6;214.4;93.8;226;138;148.4;166.6;216.6;210.6;1728
2011;43.2;56.6;137.4;21.8;24.2;140.2;113.6;6.8;77;119.6;85.8;37.8;864
2012;14.4;21;5;87.4;126;35.2;60.2;80.6;135.8;119.8;216.6;54.6;956.6
2013;106.8;80.4;250;87.4;185.2;27;91;96.2;28.2;90.2;121.2;52;1215.6
2014;291.2;252.2;74.8;88.4;83.8;105.6;153.4;151.6;26.6;59.8;206.4;63;1556.8
2015;26.6;64.8;80.4;48;62.2;84.6;89;42.2;98;114.6;18.4;5.2;734
2016;54.4;198.8;76.6;84.4;200.4;122.8;33.4;43.8;55.4;113.2;93.2;5.2;1081.6
2017;16;80.2;12.2;77.4;78.6;59.4;48.4;9.6;92.2;22.4;123.8;56.8;677
