ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Illasi;;;;;;;;;;;;;
Coordinata X 1669805 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5036401 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 144 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;53.8;25.8;3.2;65.2;51;39.2;58.6;125.2;157.8;51;73.4;38.6;742.8
1995;29.4;75.4;22.6;82;199.6;160.4;18.4;104.8;93.8;16.8;44.6;184.2;1032
1996;102.8;66.4;17.6;63;93;36.6;80.6;101.4;53.6;154;126.6;129.6;1025.2
1997;78.8;7.6;9;53.8;35.8;147.4;62;77.8;19.6;5.8;84.6;145;727.2
1998;44;14.2;1.8;112.2;108.4;188.6;59.8;10.2;160.8;126.6;20.6;6.2;853.4
1999;34.2;2.2;66.4;106.8;74.2;106.4;165;59.4;197.2;129.2;105;45.6;1091.6
2000;0;3;69.6;58;44.2;93.8;97.4;72.8;125.6;129;220;65.4;978.8
2001;92.4;14.4;167.8;79;71.4;17.2;110.4;37.4;89.2;63.8;55.4;0.6;799
2002;22.8;115;11.8;101.2;150;116.8;169.6;150.4;108;82.8;104.4;76.8;1209.6
2003;41.2;1;3.2;49.4;24.8;107.4;25.6;39.4;31.6;94.8;135.8;80.8;635
2004;29.4;145;102.8;106.4;101.8;70.6;86.2;40.8;81;115.8;107;69.2;1056
2005;1.6;5.8;21.8;128.8;104.2;37.6;191.6;217.6;64.6;161.6;113.8;62;1111
2006;33;66;31.6;142.8;97;11.8;43.6;175.8;133.2;11.2;42.2;50.2;838.4
2007;20;40;96.2;1.4;69.6;60.4;22.8;78.2;63.8;37.8;84.4;7.2;581.8
2008;62.8;21.8;34.4;104.6;111.4;129.6;56.6;32;87.2;44.2;148.2;190;1022.8
2009;77.4;56.4;122.4;126.6;6.2;68.2;42.8;10.4;73.4;37.4;92.8;125.6;839.6
2010;41.4;116;45.2;33;109;108.6;28.2;103.4;183.6;139;251.4;160.4;1319.2
2011;54;61.8;162.2;7.8;67;103;106.6;2;74.4;140.4;98.2;31.6;909
2012;10.4;22.6;0.4;113.6;126.8;25;55;9.6;107.2;129.2;174.4;55.4;829.6
2013;105.4;50.8;161.4;113.4;322.8;71.4;10.2;93.8;43.8;89.2;103.6;42;1207.8
2014;190.8;207.6;58.2;130.6;101.4;88;205.2;122.2;48;49.8;152;74.8;1428.6
2015;36.4;116.8;57.2;42.8;67.6;56.8;26.4;45.4;114.4;99.8;21.8;0;685.4
2016;50;147.2;56.2;37;174.4;172;27.4;97.2;46.6;125.8;67.4;0.2;1001.4
2017;15.6;65.2;18.8;46.4;76.2;60.8;37.6;16.6;108;33.8;88.4;47.2;614.6
2018;33.4;42.6;103.8;56.6;103.8;102.2;90.4;42.6;239.4;111.2;84.4;27.4;1037.8
2019;15.4;58.8;11.6;101.2;245;11.6;103.8;52.8;85.2;75.2;251;75.6;1087.2
2020;14.8;6.6;66.8;23.4;43;162.6;93.6;205;45;118.4;15;199.6;993.8
2021;114.6;34.2;4;83.8;121.8;2;127.6;36.2;42.8;41.8;130.4;30.6;769.8
2022;19.4;34.4;10.8;36;49.2;30.2;29;122.4;70.4;5.4;112.6;107.2;627
Medio mensile;49.1;56;53.1;76.1;101.7;82.3;77;78.7;94.8;83.5;107.2;73.4;932.9
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;2;0;
1995;2;0;0;0;0;0;0;0;0;2;0;0;
1996;0;0;0;0;0;0;0;0;0;0;5;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;3;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;3;2;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;5;1;0;0;0;0;0;0;0;
2003;2;0;0;0;0;0;0;0;0;0;0;0;
2004;1;2;1;0;0;0;0;0;0;0;0;0;
2005;1;1;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;1;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;1;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Illasi;;;;;;;;;;;;;
Coordinata X 1669805 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5036401 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 144 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;5;6;1;10;7;9;5;5;10;5;2;3;68
1995;5;11;6;10;13;15;3;10;7;2;7;11;100
1996;10;8;5;9;9;6;7;12;6;9;10;13;104
1997;9;1;2;4;5;14;8;5;3;2;11;9;73
1998;7;2;1;13;10;11;6;2;11;7;5;2;77
1999;5;1;9;11;8;11;7;4;9;9;8;8;90
2000;0;1;7;9;6;6;9;5;9;13;14;12;91
2001;15;3;13;10;7;4;6;4;8;5;7;0;82
2002;2;7;2;9;12;9;10;10;8;6;15;10;100
2003;4;1;1;6;7;6;3;3;4;8;7;8;58
2004;4;9;8;10;11;8;7;5;2;13;7;12;96
2005;0;1;5;11;9;5;10;12;5;10;7;9;84
