ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Lamon - Sala;;;;;;;;;;;;;
Coordinata X 1712502 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5103278 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 650 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;91.4;63.8;9.4;135.8;102.8;40;104;55.6;250.8;59.6;64.6;31.8;1009.6
1995;31;54;45.4;103.4;188.2;165;121.2;94;157.8;0;37.6;157.2;1154.8
1996;74.2;22;15;67.8;142.8;133;94.8;190.8;30.8;280.4;203.8;76.8;1332.2
1997;80.6;2.2;11.2;57.8;94.8;228.4;93.6;172;14;14;213.6;145.2;1127.4
1998;31.8;17.6;7.4;218;102.4;125.4;126.2;46;180;244;27.2;7.2;1133.2
1999;62;11.4;122.8;124.4;127.2;135.4;88.2;168.4;154;150.6;113.8;46.8;1305
2000;0;2;131.6;92.8;79.6;119.4;118.4;142;181;270.2;433;36.4;1606.4
2001;118.2;21.8;196.4;82.4;83.6;77;101.6;174.4;110.6;50.6;46.6;1;1064.2
2002;17.4;80;39.6;202.2;326.8;148.2;225.2;172.4;182.8;93.6;453.8;62.8;2004.8
2003;44.2;2.4;11.4;87;57.8;105;83.8;80.8;39.8;169;227.4;63;971.6
2004;8.2;116.2;117;97.8;193;156.8;81.8;108.4;68.2;214.4;120.8;92.4;1375
2005;5.6;32.4;26.6;141;104.4;90;120.4;125.6;113.8;243;91.4;66.2;1160.4
2006;77.6;49.2;54.6;115.8;106;72.2;98.4;217.6;92;25;19.4;136;1063.8
2007;83.2;23;119.4;13;170.2;136.2;129.2;143;121;74.2;133.6;2.2;1148.2
2008;136;37.6;64.4;163;189.8;128;120.2;119.4;102.2;150;263.4;241.8;1715.8
2009;96.2;117.6;150.4;195.2;28.6;169.4;140.8;109.8;153.4;61.4;206.8;179;1608.6
2010;60;105;80.2;43.4;238.2;150.2;79.6;149;214.6;209.2;348.6;226.4;1904.4
2011;24.8;50.8;116.8;41.2;94.2;187.6;104.2;69.4;143.6;116.4;136.2;26.6;1111.8
2012;13.2;16.4;19;158.8;157.4;94.2;111;63.6;140.6;191.4;323.6;37.8;1327
2013;92.6;85.2;204.2;112.8;335.8;163.4;53.8;84.8;56;99;152.2;163.4;1603.2
2014;335.8;305.8;113.8;117.6;55;157;237.2;206.8;60.4;103.8;354.4;160.4;2208
2015;55.6;87.2;75.2;41.2;109.6;83.6;70.2;64.4;117.4;193.6;6.2;0;904.2
2016;35.4;181.6;83.4;75.8;169.4;111.8;91.4;95.4;90.6;118;100.4;3;1156.2
2017;7.2;86;40.4;112.6;96.6;171.6;107.6;58.8;188.6;25.4;126.2;146.6;1167.6
2018;86.2;33.6;170;110.6;148;95.4;169.2;237.2;89.4;321;119;6.8;1586.4
2019;17.2;117.2;23.8;333.6;271.4;42.4;126;127.2;94.8;106.4;503.2;106.2;1869.4
2020;7.6;2.6;132.6;48.6;100.4;177.8;97.6;333.2;68.2;247;8;383.2;1606.8
2021;151;53.8;16.2;83;236.8;49.6;164.2;165.4;39.8;84.2;203.2;31.2;1278.4
2022;20.4;33.2;6.8;82;122;94.6;103.2;162;132.6;44.8;106.8;102;1010.4
Medio mensile;64.3;62.5;76;112.4;146;124.4;116;135.8;116.9;136.6;177.4;94.5;1362.6
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;2;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;1;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;4;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;4;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;1;0;0;0;0;0;
2013;0;0;0;3;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;3;2;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Lamon - Sala;;;;;;;;;;;;;
Coordinata X 1712502 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5103278 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 650 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;8;4;1;13;11;12;11;9;11;8;4;2;94
1995;5;9;7;8;16;16;10;14;9;0;5;13;112
1996;11;5;5;10;14;10;9;17;7;12;14;9;123
1997;8;1;3;3;10;19;12;14;3;3;12;8;96
1998;7;2;2;20;16;13;9;8;9;9;4;2;101
1999;6;3;8;12;12;15;12;12;11;9;10;6;116
2000;0;2;7;12;13;11;11;10;8;16;19;9;118
2001;11;3;17;10;12;8;12;11;11;4;6;1;106
2002;1;6;4;15;17;10;13;10;16;8;15;7;122
2003;6;1;4;9;11;15;13;10;6;11;8;8;102
2004;2;9;9;10;12;14;14;7;6;12;7;8;110
2005;1;5;4;12;8;9;11;14;12;10;8;9;103
2006;4;8;4;12;11;7;10;16;6;6;3;7;94
2007;4;4;8;2;13;13;9;14;6;6;4;2;85
2008;9;4;9;19;19;16;15;13;13;5;12;13;147
2009;11;8;7;12;6;19;13;6;10;6;10;12;120
2010;7;8;9;10;15;10;7;11;10;7;16;13;123
2011;4;7;8;7;5;19;12;6;7;6;5;4;90
2012;3;3;4;17;12;8;12;8;10;12;11;7;107
2013;11;9;19;14;20;9;10;11;8;12;12;3;138
2014;14;19;6;9;10;17;18;17;10;8;15;10;153
2015;5;7;7;6;14;10;9;11;8;11;1;0;89
2016;4;13;8;11;15;16;10;12;8;12;9;1;119
2017;2;8;5;10;15;9;9;6;13;2;8;6;93
2018;3;10;15;10;18;13;15;14;8;6;10;3;125
2019;4;4;4;15;16;5;20;10;6;10;21;8;123
2020;3;0;9;4;11;15;12;18;8;11;2;13;106
2021;9;3;4;7;16;6;12;11;5;3;13;4;93
2022;1;1;1;6;11;11;9;13;11;3;8;9;84
Medio mensile;6;6;7;11;13;12;12;11;9;8;9;7;110
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;2;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;1;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;4;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;4;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;1;0;0;0;0;0;
2013;0;0;0;3;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;3;2;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Lamon - Sala;;;;;;;;;;;;;
Coordinata X 1712502 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5103278 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 650 m s.l.m.;;;;;;;;;;;;;
Parametro Radiazione solare globale (MJ/m2);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;181.285;245.983;478.36;431.567;567.528;626.873;733.111;640.171;399.999;348.111;165.438;158.598;4977.024
1995;215.244;223.515;483.55;494.941;535.339;572.988;719.297;567.678;385.032;410.348;207.945;97.276;4913.153
1996;148.945;302.127;396.309;467.672;603.1;679.998;663.944;553.476;416.198;235.302;152.403;142.08;4761.554
1997;181.442;309.508;516.844;666.561;608.032;498.826;685.671;588.427;540.215;348.7;163.506;128.963;5236.695
1998;192.362;318.225;498.223;390.523;624.607;619.837;698.669;630.833;407.066;285.069;206.163;162.809;5034.386
1999;195.801;285.471;400.238;485.602;512.984;647.225;664.189;506.551;424.827;267.553;182.026;142.368;4714.835
2000;218.074;300.288;457.198;456.708;610.423;716.034;639.349;629.471;478.887;200.514;123.208;135.867;4966.021
2001;138.239;275.969;297.74;493.774;652.616;671.707;660.11;627.073;392.569;343.335;215.005;198.017;4966.154
2002;211.39;237.423;501.568;431.335;493.774;673.628;709.821;571.256;437.755;304.048;123.014;107.512;4802.524
2003;173.61;334.235;515.269;519.969;715.814;721.745;715.149;628.674;488.941;296.805;160.098;154.951;5425.26
2004;186.036;199.184;412.991;435.198;635.872;642.43;685.891;604.505;480.368;235.27;198.788;172.103;4888.636
2005;229.603;278.706;452.522;480.07;703.419;660.442;704.072;555.572;438.264;289.337;193.605;150.834;5136.446
2006;199.529;239.481;416.693;475.473;572.58;711.108;745.091;542.284;506.514;330.877;215.344;167.328;5122.302
2007;170.949;263.901;392.638;453.834;520.948;494.364;639.349;471.086;430.186;279.873;189.87;154.104;4461.102
2008;121.3;267.189;330.726;369.511;509.244;519.015;583.807;553.633;366.706;275.806;137.574;116.443;4150.954
2009;129.371;230.482;369.085;389.274;591.633;533.946;652.572;568.036;423.496;317.528;137.429;102.165;4445.017
2010;149.429;205.234;359.872;515.928;497.433;601.179;683.123;559.426;411.307;260.782;115.508;97.201;4456.422
2011;151.763;220.754;382.565;551.756;564.326;546.773;646.817;629.1;456.144;335.076;177.237;126.038;4788.349
2012;194.784;257.782;472.21;437.347;617.434;581.498;551.838;627.45;392.694;264.102;128.16;120.516;4645.815
2013;132.672;215.62;318.645;403.633;478.831;618.795;683.927;636.136;452.441;208.265;126.691;128.963;4404.619
2014;112.834;179.308;438.709;453.551;611.924;624.538;529.251;470.289;415.94;289.117;117.064;113.901;4356.426
2015;155.071;217.993;386.199;549.755;526.628;618.57;671.745;583.092;373.948;237.548;178.254;162.42;4661.223
2016;159.376;182.139;397.947;488.784;530.287;583.092;613.888;634.441;457.205;231.335;127.708;164.723;4570.925
2017;216.041;197.527;455.372;506.859;592.688;663.016;725.974;652.554;368.997;348.625;163.449;141.847;5032.949
2018;167.503;190.523;283.601;542.807;524.965;652.095;652.039;574.795;490.797;305.436;149.523;168.997;4703.081
2019;188.433;283.343;483.663;387.159;457.612;728.215;665.57;600.593;429.195;278.084;117.064;141.835;4760.766
2020;208.396;272.474;351.763;562.119;553.551;513.7;640.51;529.772;424.185;248.996;216.261;88.866;4610.593
2021;138.276;249.083;459.482;479.954;528.573;661.191;592.92;566.235;451.644;311.334;149.968;146.68;4735.34
2022;216.662;281.858;451.694;471.551;552.152;629.885;695.368;580.789;399.523;326.653;180.22;110.173;4896.528
Medio mensile;175.325;250.528;419.368;475.628;568.77;621.128;663.899;582.186;432.45;290.132;162.708;138.054;4780.176
;;;;;;;;;;;;;
Il valore mensile è la somma dei valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;2;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;0;0;0;0;0;0;0;0;0;
2004;0;2;1;0;0;0;0;0;0;0;0;0;
2005;0;1;1;0;0;0;0;0;0;0;0;1;
2006;0;0;0;1;0;0;0;0;0;0;0;0;
2007;0;0;0;6;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;1;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;5;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;4;0;0;0;0;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;1;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;2;
2022;0;0;0;0;0;0;0;0;0;0;0;1;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Lamon - Sala;;;;;;;;;;;;;
Coordinata X 1712502 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5103278 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 650 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;-1.8;-2.8;3.5;3.4;8.7;11.6;14;14.2;10.5;5;4.2;-1.2;5.8
1995;-4.6;-0.6;-0.7;3.7;8.1;10.2;14.8;12.3;8.1;6.3;1.2;-1.6;4.8
1996;-1.1;-3.7;-0.6;4.7;7.9;11.5;12.4;12.2;7.3;5.9;2.2;-2.2;4.7
1997;-1.2;-1.3;2.1;1.8;7.9;11.3;11.6;13;10.2;4.9;1.6;-1.5;5
1998;-2.8;-0.8;-0.9;3.4;7.8;11.7;13;13.4;9;4.9;-1.5;-3.8;4.4
1999;-3;-4.2;0.6;3.9;9.5;10.8;13;13.5;10.7;6;0;-4.1;4.7
2000;-5.1;-1.9;0.5;5.4;9.1;11.6;11;13.2;9.4;7.4;2.3;-0.8;5.2
2001;-2.4;-1.9;2.5;2.4;9.6;10.1;13.1;13.8;7;8.1;-0.2;-5.7;4.7
2002;-4.4;-1;1.8;3.7;8.5;12.7;13.4;12.6;8.8;5.9;3.7;-0.6;5.4
2003;-3.7;-5.7;1;3.4;9.5;14.2;14.2;15.7;9.1;3.8;2.6;-1.5;5.2
2004;-4;-2.1;-0.1;4.9;7;11.9;13.4;14;10.2;9.1;2.2;-0.5;5.5
2005;-3.3;-3.9;0.2;4.2;9.4;12.8;14;12.6;11.3;6.9;1.4;-3.9;5.1
2006;-4;-2.5;-0.2;5;8.7;12.1;15.4;11.6;11.8;7.8;2.8;-0.2;5.7
2007;-0.3;0.8;2.1;7.8;9.6;13.3;13.5;13;8.7;5.6;0.7;-2;6.1
2008;-0.7;-1.1;0.8;4.4;9.1;12.7;13.4;13.5;9.7;7;2.1;-1.4;5.8
2009;-2.1;-2;1.1;5.7;10.4;11.7;13.9;15.1;11.7;6.2;2.7;-2.2;6
2010;-3.2;-2;0.9;4.9;8.7;12.8;15.1;13.3;9.5;4.8;2.7;-3.6;5.3
2011;-2.6;-0.5;1.6;6.5;8;12.3;12.7;14.2;12.6;5.6;2.1;-1.1;5.9
2012;-3.1;-4.3;3.5;4.4;8.2;13.1;14.4;14.8;10.6;6.7;3.4;-2.7;5.8
2013;-1.5;-3.4;0.2;5.9;7.1;11.2;14.3;14;11.2;8.6;3.5;0.5;6
2014;0.2;0.9;2.5;6.2;7.9;11.8;13.2;12.8;11;9.1;6.4;1.2;6.9
2015;-1.2;-0.8;2.4;5.4;10.1;13.3;16.7;15.1;10.4;6.9;3.1;0.3;6.8
2016;-1.9;0.6;1.7;6.4;8.4;12.4;15.3;13.6;12.4;6.5;2.7;-0.1;6.5
2017;-4.6;0.9;4.1;5.4;9.5;13.9;14.3;14.5;9.3;6.8;1.5;-2.8;6.1
2018;-0.4;-2.4;1;7.5;10.2;13;14.6;14.9;11.8;8.1;4.7;-1.3;6.8
2019;-2.8;0.2;1.9;5.2;6.9;14.7;14.7;15.1;11.3;8.7;3.8;0.2;6.7
2020;-0.8;0.7;1.4;5.4;9.3;12.2;14.1;14.7;11.5;5.7;2.5;-0.4;6.4
2021;-4.1;0.1;0.6;3.3;7.1;13.8;14.3;13.3;11.7;5.6;3.2;-1.4;5.6
2022;-1.3;-0.1;0.5;4.2;10.8;14.1;15.6;14.7;10.1;9.4;3.1;-0.4;6.7
