ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Longarone;;;;;;;;;;;;;
Coordinata X 1754615 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5128434 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 435 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;98.6;43.6;19;136.4;109.4;55;119.8;104.8;316.6;122.2;59;34.6;1219
1995;38.2;48.4;46.2;102.2;174.8;148.2;115.6;77.6;164.2;0;26.8;63.2;1005.4
1996;57.2;18.8;6.4;43.4;153;95;98;189.8;45.6;297.4;156.4;53;1214
1997;56;4.4;11.6;42;76.4;233.2;117.2;101.6;40;6.8;233.8;146.4;1069.4
1998;29;13.6;4.8;241.6;77.6;119.6;164.8;102.4;193.8;227.8;28.2;4;1207.2
1999;41.2;3;133.2;118.6;127.6;132.6;111.4;179.2;159;166.2;68.6;43.6;1284.2
2000;0;11.2;116;110.6;87.2;68.2;133.8;122.6;222;374;486;70.6;1802.2
2001;224;13.8;212.6;105.2;59.8;52.6;136.2;129.2;137.4;32.8;36.6;0;1140.2
2002;18.2;62.2;66.2;163.6;252.6;237.8;143.8;195;151.2;132.8;434.2;87.6;1945.2
2003;40.4;0.6;6.4;81.6;109.2;62.6;148.8;97.4;32.2;178.2;260.8;117.8;1136
2004;2.8;76.6;48.2;89.8;259.2;129.2;129.8;149.2;62.2;305.8;80.4;73;1406.2
2005;1.4;3;22.6;133.4;113.4;108;181.6;178;139.8;257.2;49.6;75.8;1263.8
2006;7.8;64.8;79.2;150.2;176.8;59;113.2;249.4;134.8;126.4;16.8;152.4;1330.8
2007;122.4;43.6;165;19.4;149.8;128.2;163.2;166.4;163.6;49.4;148.6;3.2;1322.8
