ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Lonigo;;;;;;;;;;;;;
Coordinata X 1686303 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5029102 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 29 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;49.4;29.2;1.8;104.4;47.8;47.6;32;75;206.4;52.2;106.4;32.2;784.4
1995;47.4;80.8;30.6;80.2;224;163.8;39.4;73;118;42.2;22.2;142;1063.6
1996;59.8;41.2;9.8;90.2;79.8;50.6;39.4;53.8;56.8;152.6;117.2;132.2;883.4
1997;64;4.4;9.4;47.8;28;107.2;64.6;45.8;35.2;3.8;85.8;107.4;603.4
1998;40.6;21.6;6.6;106.2;76.4;117.2;38.2;30;125;94.4;11;5.4;672.6
1999;26.2;8.8;51;121.2;80.6;113;49.4;42.8;118.2;120;116.6;37.8;885.6
2000;0.2;2.2;65.6;59.2;31.2;109.2;32.6;19.2;72.8;141.4;156.2;46.4;736.2
2001;84.6;11.4;167.6;53.6;57.8;34.8;77.8;70.8;87.6;79;41.8;0.8;767.6
2002;29;94.4;9.8;155.8;179.4;77.4;128.2;147.2;66.2;92;77;72.2;1128.6
2003;39.6;3;3.8;92.2;8.6;48.6;19.2;24.2;26.8;78.6;106.2;69.6;520.4
2004;38;162.6;132.4;108.2;96.4;104.2;95.2;76.2;144.6;128.2;69.4;66.6;1222
2005;3.6;11;8.2;101.6;81.4;23;213;137;62.2;137.2;98.2;55.6;932
2006;26.6;51;36;48.4;59;17.4;26.8;149.2;108.6;13;31;49;616
2007;15.4;43.8;78;0.4;93.4;39.2;24;60.4;88.6;41;53.2;5.8;543.2
2008;57.2;26.8;44.4;96.2;84.8;169;49.2;34.8;46.4;46.4;134;160.4;949.6
2009;65.6;48.2;106.8;114;11.6;65.2;24.6;29.8;72.6;34;85;103.6;761
2010;42.2;104.8;40;27.6;75.6;79.6;47.6;74.6;166.4;137.2;163.2;152.2;1111
2011;47.6;47.4;99.6;15.4;33.6;117;67.8;2.4;49.8;95.8;50.8;24.4;651.6
2012;7.4;17.2;0;76.8;111.2;16.8;5.8;8.4;75.6;94.6;172.8;43.8;630.4
2013;88.4;40.4;146.8;79.2;209;17.4;39.2;70.2;20.8;117.2;96;21;945.6
2014;182.4;146.8;44.8;124.6;78.8;55.8;163;144.2;51.2;68.4;109.8;58.8;1228.6
2015;25.6;88;60;34.4;54;72.8;40.8;42.4;46.8;119.2;9.4;0;593.4
2016;56;138.8;69.8;27.2;123.6;130.6;13.2;110.2;60.8;91.2;63.2;1;885.6
2017;10.6;58;14.6;46.6;65.2;56.2;62.4;39.4;72.2;16.8;77.8;37.4;557.2
