ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Lugugnana (Portogruaro);;;;;;;;;;;;;
Coordinata X 1807248 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5068864 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 0 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;60.8;37.2;3.8;101.4;50.2;74.8;20.8;63;128.2;118;7;32.2;697.4
1995;40.8;97.6;77.8;30.4;156.4;163;60.4;127.2;83.8;9;11.8;139;997.2
1996;94;48.8;7.2;122.8;82;27.4;39.2;269.4;118;197.8;93;50.8;1150.4
1997;30.4;3;17.4;58.6;42.8;32.2;82.6;41.8;9.6;16;148.6;109.6;592.6
1998;29.4;1.8;1.6;173.4;57.8;73.2;79.2;26.4;154.8;276.8;26.4;13.8;914.6
1999;39.6;24.2;84.4;150.8;46.2;84.4;17.6;83.2;59.8;60.6;100.2;110.2;861.2
2000;2.6;6.2;62;55.2;109;32.6;127;56.8;124.4;93.8;176.2;76.4;922.2
2001;109.8;9.6;84;48.2;93.2;76.6;50;56.2;151.6;72;41.6;8.6;801.4
2002;38.8;62;5;121.6;105.6;31.8;58.4;103.8;81.4;144.2;115.6;46.2;914.4
2003;40.2;22.6;6.6;138.6;35.2;19.8;50.8;31.2;38.2;79.4;115.4;115.8;693.8
2004;44.2;176;52.2;56.6;88;124.2;33;72.2;65.2;176.2;124;98.6;1110.4
2005;32.8;2;22.4;119.4;70.8;53.8;50;187.4;90.4;165;101;63.2;958.2
2006;48.6;27.4;69.6;82.6;50.4;0.2;61.8;130.6;43.6;18.4;28.4;90.6;652.2
2007;32.8;122.4;78.6;0.4;128.8;66;17.6;133.4;84.4;56.2;29.8;26.8;777.2
2008;135;47.2;113.6;131.6;102.2;118.6;56;141.6;74.2;67.8;256.8;208;1452.6
2009;96;100.6;213;112.6;39.6;54.4;42.6;48.8;103;27.4;163.2;131.8;1133
2010;90.4;141.2;35.8;40;90.8;141.6;70.8;71.4;247;105;183.4;195.2;1412.6
2011;20.6;72.6;155.4;10.8;42;92.2;160.8;1;82.8;107.2;25.2;30.2;800.8
2012;19.6;23.8;1.4;97;91.4;72.4;1.6;76.8;120.8;159.4;111;38;813.2
2013;76.6;60.8;278;43.8;175.4;15.8;75.8;86.6;170;52.4;213;33.6;1281.8
2014;206.2;252.2;56.2;32.4;54.2;108.4;230.2;110.8;75.2;23.8;212.4;102.6;1464.6
2015;28;20;78.8;19.8;57.2;122.2;15;121.4;59.4;168.4;14.4;3.8;708.4
2016;55.8;195.6;90.2;68.2;82;124.4;66;33.6;95.4;84.4;176.6;3.6;1075.8
2017;39.8;89.6;17.8;112.2;50.4;72;25.4;57.6;305.2;28;116.2;85;999.2
2018;49.6;72.8;133.6;56.8;69.2;98.2;78.2;127.2;112.8;105.4;71.2;20.6;995.6
2019;14.6;59.2;28.8;170.8;212.6;18.8;80.6;59.6;167.6;29.2;356.8;149.8;1348.4
2020;13.2;8.8;104.2;25;44.2;187;75.4;98.6;141;136;21.4;165.4;1020.2
2021;136.4;64;6.2;129.4;165.6;26.2;57;42;63.4;34.4;142.6;62.6;929.8
2022;51.6;20;23.6;46.2;13.6;12.8;43.6;41.6;206.4;7;147.4;99.4;713.2
Medio mensile;57.9;64.5;65.8;81.3;83;73.3;63;86.2;112.3;90.3;114.8;79.7;972.2
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;8;0;0;0;0;0;0;0;0;0;5;0;
1995;0;0;0;0;0;0;0;0;7;0;4;0;
1996;0;0;0;0;0;0;0;0;0;0;0;15;
1997;9;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;1;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;2;0;3;0;0;0;0;
2003;1;0;0;0;0;0;0;0;0;0;0;0;
2004;0;0;1;0;0;0;0;0;0;0;0;0;
2005;0;2;0;0;0;0;0;0;0;0;0;0;
2006;2;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;1;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;2;0;0;0;0;2;1;3;2;0;0;1;
2012;0;0;0;3;0;0;0;0;0;0;3;2;
2013;0;1;1;0;0;0;0;0;0;1;0;0;
2014;2;0;0;0;0;0;0;0;0;0;1;0;
2015;0;0;0;0;0;0;0;1;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;1;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 16 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Lugugnana (Portogruaro);;;;;;;;;;;;;
Coordinata X 1807248 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5068864 Ovest (EPSG:3003);;;;;;;;;;;;;
