ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Lusia;;;;;;;;;;;;;
Coordinata X 1707266 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4996612 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 6 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;99;51.4;3.6;16.8;62.4;233.2
1996;72.8;43.6;19.2;121.8;95.4;45.6;35.2;70.4;78.4;105.6;74;127.4;889.4
1997;78.4;10.4;32.4;23.6;37.2;78.4;45.8;45.4;12.4;43;86.8;82.2;576
1998;35.2;17.6;14.4;97.8;107.6;19.6;34;22.6;91.8;118;18.6;21.4;598.6
1999;31;12.8;39.4;93.6;39.2;87.6;32.2;29.2;50.8;96;111.2;31.8;654.8
2000;3;5.8;54;72.8;61.4;33;76.2;34.4;80.8;159.4;104.4;64;749.2
2001;75.8;13.2;106;48.6;75.4;51.4;145.2;48.6;86.6;45.8;32.8;4;733.4
2002;25.2;48.8;2.4;84.2;130.4;61;229.6;118;46;98.2;89;104.8;1037.6
2003;29;10.6;12.2;87.6;32.6;26.6;30.6;18;28.8;57.6;103.2;50.6;487.4
2004;62.2;95.8;116;132.4;55.4;77;51.6;15.8;46.6;78.2;61.8;85.4;878.2
2005;10;5.2;18;81.4;51.6;15.6;22;132.8;66.8;208.2;121.2;51;783.8
2006;28.6;50;29;40.2;43.2;4;33.4;87.8;78.4;15.4;39.4;29.4;478.8
2007;13.4;47.8;89.6;0.8;93.2;87.8;7.8;26.6;46.2;42;20;22.6;497.8
2008;48;22;33.6;72.4;77.8;160.6;26;32.8;41;54.4;161;110.4;840
2009;66;62.6;110.8;141.8;59.6;32.4;34.4;17;108.2;35.4;51.6;52.4;772.2
2010;45;100;45.8;70.2;92;163.4;2.6;58.6;44.2;78.6;98.6;70.8;869.8
2011;11.8;44.8;81.2;11.6;50;31;41.6;0;44.4;83;45.4;22.6;467.4
2012;6.4;21.6;0.2;96;113;9.2;1.8;8.8;141.2;202.6;85.4;31.8;718
2013;99.2;57.8;178.8;106.8;90;20;70;76.2;22.6;137.6;89.4;15.2;963.6
2014;129.4;96;41.8;77.2;53.6;36;143.4;57.8;71.2;31.8;60.8;64.4;863.4
2015;15.8;70.8;71.6;43.6;56.2;104.4;36.2;56.2;26;81.2;17.6;3.8;583.4
2016;51;145;52.2;11.6;123.6;88.8;6.8;29.2;50.6;90.4;108.2;7;764.4
2017;4.2;55.4;9.8;27.2;37.2;14.4;23.8;22.8;139.8;23.8;91.2;11.6;461.2
2018;16.4;72.8;92.8;18;41.8;81.4;77;65.6;65.6;101.8;71.8;12.2;717.2
2019;22.2;30.6;6.8;75.2;216.6;4.2;39.6;26.4;67.4;35.4;171.2;81.4;777
2020;18.8;4.4;33.4;5.2;19.4;71.2;103.6;102.8;12.4;66.4;14.8;85.6;538
2021;56.6;13.4;14.8;55;105.8;20.4;59.4;12.4;44.4;28.4;66.2;46.2;523
2022;21.8;3.2;17;30.6;36.6;25.8;31.8;54;73;0.6;92.8;73.8;461
