ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Malga Campobon (San Pietro di Cadore);;;;;;;;;;;;;
Coordinata X 1775801 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5172010 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1939 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;-5.3;-8.3;-1.4;-3;2.3;6;9.7;9.4;5.4;0.8;0.9;-4;1
1995;-9;-4.6;-7.7;-2;2;4;10;7.2;2.6;4.9;-4.4;-6.8;-0.3
1996;-5.4;-9.6;-8.4;-1.1;2.5;6.6;6.8;7.2;1.7;0.7;-3.1;-6.3;-0.7
1997;-3.2;-4.7;-2.3;-5;2.6;5.6;6.7;8.4;7;0.4;-2.3;>>;1.2
1998;>>;1;-6.5;-2.2;2.7;6.6;8.3;9;3.7;0.7;-6;-5.9;1
1999;-1.7;>>;>>;>>;4.3;5.3;8.1;8.2;6.5;2;-4.1;-7.3;2.4
2000;-7;-5.9;-4.5;0;4.1;7.1;5.8;9.5;5.6;2.5;-2.2;-5.3;0.8
2001;-6.5;-6.1;-3;-3.3;4.8;4.9;8.5;10.1;2.2;5;-3.4;-8.9;0.4
2002;-4.7;-4.2;-2.4;-1.7;3.9;7.9;8.6;8.6;3.8;1.6;-1.4;-4.3;1.3
2003;-7.4;-9.8;-2.9;-3.3;4.3;9.7;8.8;12;5.3;-2;-0.7;-5.2;0.7
2004;-8.7;-5.7;-5.2;-1.3;0.8;6;7.9;8.6;5.4;2.9;-2.4;-3.4;0.4
2005;-6.9;-10.6;-5.2;-1.7;3.3;6.9;8.3;7.1;5.7;3.2;-3.5;-7.7;-0.1
2006;-7.3;-7.3;-7.1;-1;2.7;6.6;11;5.4;7.8;4.2;-0.6;-1.8;1
2007;-3.9;-4.2;-3.6;2.9;4;7;8.1;8.1;3.1;1.5;-4;-5.2;1.2
2008;-4;-5.2;-5.6;-2;3.6;7.5;7.9;8.7;3.8;2.9;-2.8;-6;0.7
2009;-6.1;-8.5;-5.2;0.6;4.7;6.2;8.3;9.7;6.6;0.6;-1.1;-7.5;0.7
2010;-8.4;-7.8;-6.2;-1.2;2.1;6.9;10;8.1;4.4;0.3;-3.5;-9;-0.4
2011;-6.7;-4.4;-3.7;0.6;3.3;6.8;7;10;8.4;1.7;1.1;-5.1;1.6
2012;-7;-10.1;-0.3;-1.9;2.9;8.1;9;9.9;5.8;4.8;-0.4;-7.3;1.1
2013;-5.7;-9.5;-5.8;-0.2;1.2;5.9;9.8;9;5.5;2.8;-2.7;-2;0.7
2014;-4.6;-5.7;-1.9;0.3;1.8;6.5;8;7.2;5.6;3.9;1.9;-3.8;1.6
2015;-5.8;-6.5;-3.9;-1.3;3.9;7.2;11.3;10.4;4.3;2.3;1.9;1.4;2.1
