ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Malga Ciapela;;;;;;;;;;;;;
Coordinata X 1723206 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5145802 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1475 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;71.2;42.8;13.4;89.2;111.2;50.8;105.2;109.4;226.8;68.6;47.2;21;956.8
1995;39;40.6;35.8;70.8;149.2;139.2;152.8;74.6;128.4;2.2;18.2;86.8;937.6
1996;32.6;15.8;7.4;37.8;167.6;133.2;121.2;209.2;41.4;233.8;304.8;47.2;1352
1997;69;4.8;11.2;33.2;81.6;269.6;160.4;115.2;21.6;5.8;162.4;101.8;1036.6
1998;22.8;11.2;2.4;208.2;85.8;187.6;129.6;124.6;169.8;227;28.6;2.6;1200.2
1999;76.8;10.4;107.4;110;158.6;160.6;129;162.8;167.2;139.2;48.8;38.4;1309.2
2000;8;6.4;123.6;72;101.2;109.2;160.6;166.4;148.8;305.2;442.2;39.4;1683
2001;137.8;23.6;166.6;101;72;131.4;213.4;145;135.2;45.8;32;0;1203.8
2002;7.6;93.8;57;128.4;294.8;153.4;127.8;143;117;96.2;486.8;55.8;1761.6
2003;17;1.8;4.2;47.2;99.4;144.8;149.2;106.8;38;182.4;268;69.6;1128.4
2004;8.8;56;79;67.6;138.6;112.2;216;117.8;67.8;181.6;56.6;63;1165
2005;10.2;6.2;30.4;84.6;123;108.2;160.4;138.2;125.4;206.4;47.6;49.4;1090
2006;25.8;55.8;37;104.8;131.6;68.2;88.6;245.6;80.4;47.8;19;87;991.6
2007;69.8;24.4;114;27.2;150.8;171.4;126.4;220.2;95.2;37.6;110.8;5.2;1153
2008;114.2;29;58.2;119.8;153;154.2;196.2;184.2;99.6;157.4;255.6;201.8;1723.2
2009;70;96.4;128;153.6;73.8;118.6;139.4;84.6;101.8;65.2;172.8;130.6;1334.8
2010;26;61.2;68.8;34;213.2;127.8;66.8;183.2;138.4;120.8;235.2;127.8;1403.2
2011;14.8;31;77.4;18.4;156.4;199.2;118.2;96.8;140;112.4;53.6;20.4;1038.6
2012;22.4;17.4;56.4;137.6;114.6;97.6;182.4;171.8;173.2;171.6;311.8;31;1487.8
2013;50;66;116;95.2;242.6;131.4;94.4;114.4;76.4;169.4;157.4;140.4;1453.6
2014;248.8;226;73;94.2;62.8;171.8;177;192.6;77.2;81.6;328.6;68;1801.6
