ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Malo;;;;;;;;;;;;;
Coordinata X 1691985 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5060283 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 98 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;82.4;30.4;9.6;123;136.2;74.4;176.6;50.6;265;57.4;98.2;40.4;1144.2
1995;47.2;75.4;36;88.8;219.2;151.8;42.8;96.6;192.6;6;57;175.6;1189
1996;125.4;55;14.4;89.8;110;78.2;94.6;187.8;44.6;210.6;183.8;137.8;1332
1997;106.4;1;3.4;59.8;44;131;106.4;38.6;10.6;24.6;181.2;163;870
1998;51.4;27.2;3;204.6;76.4;98.2;60.2;31;149.8;191.8;18.8;11.6;924
1999;43.2;4.6;101.2;112.6;105.8;67.6;127.4;75.4;119.2;165.6;127.6;56.2;1106.4
2000;0.4;6.6;129.6;76.4;106.2;76.8;65.2;87.2;82.4;203.6;363.8;68.6;1266.8
2001;113.4;15.6;217.8;84.8;61.4;13.4;80.6;67.4;89.6;22.4;34.4;3.2;804
2002;24;136.2;34.2;161;332.8;138;152.2;276.4;90.2;114.2;244.4;87.8;1791.4
2003;65;2.2;1.4;96.6;30.8;101.4;49.4;70;38;109.2;205.8;186.2;956
2004;31.4;157.4;148.2;134.4;211.8;76.6;49.6;92.4;106.2;195.4;133.4;112.2;1449
2005;11;20.2;46.6;141.2;96;106.6;185.8;211.6;114;263.4;155.8;93.6;1445.8
2006;81;82.6;60;163.6;128;48.2;54.2;177.2;123.8;18.8;24.2;82.8;1044.4
2007;56.4;44;90.6;27.6;232.2;150.4;41.2;127.4;94.6;80.2;126.6;12;1083.2
2008;145;53.8;73;185.2;115.4;192.4;159.2;43.6;109.8;111;245.4;326;1759.8
2009;159.2;134.8;196.8;181;60.4;104;74.6;165.2;163.6;82.2;140;222.2;1684
2010;61.2;154.4;65.4;29.6;189;113.4;145.8;90.4;201.4;276.6;393.2;286.4;2006.8
2011;64.2;83.8;137.8;44.4;73.8;170;82.6;12.8;118.8;192.8;104.4;45.8;1131.2
2012;16.4;18.6;1;185.2;156;30.8;84.4;39.2;164.4;167.8;323.8;72;1259.6
2013;135.8;88.4;259.8;145.8;315.4;50.2;55.4;125.4;65.4;98.2;150;78.8;1568.6
2014;389;348.6;83.6;124;95.6;103;259;135;101.4;63.2;303.4;123;2128.8
2015;66.6;92.2;112.4;56.6;126.2;81;59.2;97.8;185.8;175;7.8;0;1060.6
2016;67.2;248.8;102.4;69;244.4;105.4;28;277.8;43;126.2;130.6;0.4;1443.2
2017;12;119.4;29.8;97.4;77.4;129.2;58.6;25.8;148.4;21;119.4;140.4;978.8
2018;41.6;59.8;154.8;86.2;130.6;89.2;159.4;111.6;115;144.2;143.4;18.4;1254.2
2019;15;114.6;13.8;195.4;272.4;37.8;164.4;56.4;120.2;53.8;372.8;131.2;1547.8
2020;17.4;4.4;141.2;54.4;88;174.8;72.2;471.6;102.8;169.4;10.2;271.8;1578.2
