ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Marano di Valpolicella;;;;;;;;;;;;;
Coordinata X 1650162 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5045637 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 284 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;72;23.8;5.6;76.2;66.4;24;44.6;50;132.6;96.8;100.2;40.2;732.4
1995;45;75.2;27.4;70;175.6;115.4;17.6;116.6;75.2;12.8;46.6;126.4;903.8
1996;116.6;51.6;16.8;57.8;75.8;46.6;86.4;176.2;68.4;146.2;124.8;94.8;1062
1997;82.6;8.8;0;56.2;26.6;140;82;86.6;2.4;20.2;38.2;118;661.6
1998;55;7;0;126.4;80.6;93.8;56.6;11;173.6;120.6;28.8;6.2;759.6
1999;21;2.6;78.4;84.2;140.4;112.4;104.8;106.2;159;134.2;57.8;41;1042
2000;0.8;3;79;79.8;53.2;83;49.6;95.2;66;160.4;235.6;73.6;979.2
2001;149;7.8;221;72.6;106.4;9.2;52;102.2;185.8;67.8;59.2;0.2;1033.2
2002;30.2;76.6;21.6;174;174.4;80;205.4;163.6;90.6;95.2;134.8;64;1310.4
2003;29.4;0;8.4;68.2;52;87;77.6;33.4;19;115.4;167.6;94.6;752.6
2004;20;73.4;77;74;123.8;70.4;139.2;96.8;76;148;122.4;80.4;1101.4
2005;16.4;10;35.2;104.4;93.8;52;119;92;59.6;151.2;86.2;53.6;873.4
2006;21.2;50;34.6;69.6;94.2;26.6;32.6;237;92.8;24.8;32.4;58.2;774
