ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Maser;;;;;;;;;;;;;
Coordinata X 1728768 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5073718 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 100 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;52.8;23.8;8;102.4;62.8;82;50;63;180.2;62.4;27;40.2;754.6
1995;42;42.2;35.8;56.8;175.6;161.8;113;130.2;209.8;2.6;27.4;102;1099.2
1996;83;42.2;11.4;98;130.6;56;90.4;266.4;60;192.4;129.6;80.8;1240.8
1997;50.8;1.4;10.6;87;54;113;59;81.8;14.6;20.6;146.8;160.6;800.2
1998;39.8;19;7.6;175.2;51;152;89.4;53.2;136.6;183.8;18.2;5.6;931.4
1999;36.6;9.6;77.4;130;77;148.2;89.4;130;78.8;139.8;120;46.2;1083
2000;1.4;3.6;82.8;68.2;97.2;71.2;75.8;109.2;143;202.8;288.8;61.2;1205.2
2001;99.6;9;185.4;95.4;57.4;37.4;112.4;145.4;93.4;36.6;62.6;0.6;935.2
2002;28;81.4;21;164.6;221.4;111;172;132;190.4;122.2;168;67.4;1479.4
2003;76.2;4.4;1.6;99.4;36.4;60.6;42;48;80.8;103.4;148.8;116;817.6
2004;28.6;148.6;91;84.6;181.8;154.4;66.6;248.8;149;167.4;98.6;99.8;1519.2
2005;8.8;3.4;19.8;155;89.2;101;128.6;137.8;171;183.6;158.6;72;1228.8
2006;43;59.2;51.8;145.8;131.6;78.6;29.8;250.8;155.8;8.6;25.8;91;1071.8
2007;46.2;38.8;93.4;9.8;181.4;133.4;46.2;192.4;96;57.6;64.4;10.2;969.8
2008;106.2;39.6;75.8;159.6;197.4;170.4;82.4;57.4;115.2;101.4;166;225.6;1497
2009;114;82.6;166.6;120.8;46.4;109.6;91.8;37;194.2;42;139.6;162.8;1307.4
2010;56.8;132;76.4;35.8;188;143;150.2;73.6;181;217.4;278.2;204.8;1737.2
2011;45.4;50.8;138.2;14;75.4;220.2;144.2;15.4;144.4;149.4;103.2;45.4;1146
2012;15.4;22.6;5.4;129.4;135.8;44.8;91.6;51.6;156;171.6;261;55.8;1141
2013;105.2;65.4;220.6;100.8;248;22.6;31.6;116.4;39.4;82.8;181.2;72.8;1286.8
2014;314;293.6;83.6;60.8;71.4;147.6;208.2;142.2;119;55.4;214.4;74.4;1784.6
2015;32.2;56.4;83.6;56;123.6;106;35.6;131.8;122.4;122;10.6;1.4;881.6
2016;45.2;233.4;109.6;75;185.6;160.2;60.2;95.8;127.8;80.8;115.8;2;1291.4
2017;17.6;74.4;13.6;136.6;146;120.4;93;43;133.4;30.8;147.4;111.4;1067.6
2018;38;44.8;126.4;83.2;147.6;116.8;156.2;199;119.6;157;116.2;13.6;1318.4
2019;12.2;94.2;19;245.8;208.2;56;73.4;96.8;87.4;51;276;95;1315
2020;11.6;4.8;98.2;23.4;81.2;291.4;42.6;289.8;127.8;174;11.8;198.4;1355
2021;125.8;45.6;7;161.4;295.6;48.6;109.6;91.2;31;40.6;166.6;42.2;1165.2
2022;21;33;6.6;64.6;58.4;27.8;30;138.2;129.4;12.4;134.2;122;777.6
Medio mensile;58.5;60.7;66.5;101.4;129.5;111.9;88.5;123;123.7;102.5;131.3;82.1;1179.6
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;2;0;
1995;0;2;0;0;0;0;0;0;0;0;0;2;
1996;0;0;0;0;0;0;0;0;0;0;0;1;
1997;2;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;0;0;0;0;0;0;
2003;1;0;0;0;0;0;0;0;0;0;0;0;
2004;0;2;1;0;0;0;0;0;0;0;0;0;
2005;0;2;0;0;0;0;0;0;0;0;0;0;
2006;1;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;2;0;0;0;0;0;0;0;0;3;
2010;2;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;2;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;2;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 17 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Maser;;;;;;;;;;;;;
Coordinata X 1728768 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5073718 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 100 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;6;5;2;10;8;7;6;5;11;8;2;4;74
1995;5;9;7;8;12;13;7;11;13;1;4;11;101
1996;10;6;2;12;11;7;7;13;9;11;13;8;109
1997;7;0;4;4;7;13;7;7;2;4;9;8;72
1998;7;2;1;18;10;10;6;3;10;11;3;2;83
1999;3;2;8;11;8;12;8;11;8;8;8;7;94
2000;0;2;6;6;8;8;11;8;9;15;15;11;99
2001;13;2;14;10;9;5;9;8;11;2;6;0;89
2002;1;6;3;13;14;9;12;12;13;8;14;6;111
2003;7;1;1;6;6;10;6;5;8;9;8;8;75
2004;5;8;8;11;12;11;8;11;6;12;9;9;110
2005;2;1;5;12;8;8;11;14;9;9;6;10;95
2006;4;8;7;7;4;5;6;12;5;4;5;6;73
2007;4;7;9;4;11;8;8;10;7;5;3;3;79
2008;8;4;9;15;16;12;10;7;9;4;11;11;116
2009;11;6;9;13;5;13;8;6;5;5;11;9;101
2010;6;10;9;8;13;8;10;6;8;9;13;14;114
2011;6;4;9;5;5;15;17;3;6;6;5;5;86
2012;2;3;2;16;10;5;5;4;10;9;8;6;80
2013;11;7;22;15;16;3;5;9;5;12;11;6;122
2014;15;18;5;8;11;11;16;14;12;6;15;7;138
2015;4;4;7;6;9;11;6;10;7;12;2;0;78
2016;5;15;8;8;17;12;6;9;5;10;9;0;104
2017;3;8;3;8;13;11;9;3;13;3;9;8;91
2018;3;8;16;7;16;12;12;8;5;7;9;3;106
2019;4;4;4;13;16;2;10;8;7;6;19;8;101
2020;3;1;8;3;12;13;9;12;8;11;2;14;96
2021;8;3;2;7;15;4;8;8;3;5;12;4;79
2022;2;2;1;10;9;4;6;12;13;3;10;8;80
Medio mensile;6;5;7;9;11;9;9;9;8;7;9;7;95
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;2;0;
1995;0;2;0;0;0;0;0;0;0;0;0;2;
1996;0;0;0;0;0;0;0;0;0;0;0;1;
1997;2;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;0;0;0;0;0;0;
2003;1;0;0;0;0;0;0;0;0;0;0;0;
2004;0;2;1;0;0;0;0;0;0;0;0;0;
2005;0;2;0;0;0;0;0;0;0;0;0;0;
2006;1;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;2;0;0;0;0;0;0;0;0;3;
2010;2;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;2;0;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;2;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 17 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Maser;;;;;;;;;;;;;
Coordinata X 1728768 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5073718 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 100 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m (°C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;0.2;-1;4.9;6.2;11.5;14.9;17.3;17.2;13.6;6.8;5.3;0.3;8.1
1995;-3.3;0.3;1.3;5.1;10.9;13.5;17.6;15;10.6;7.3;1.8;0.9;6.8
1996;1;-2.7;0.5;6.9;11.2;14.4;14.7;14.9;10.1;8.3;4.7;-1;6.9
1997;0;-1.1;2.1;3.2;10.9;14.8;14.8;15.8;11.8;6.5;4;1;7
1998;-0.5;-0.9;0.4;7.2;11;15;16.7;16.4;12.1;7.6;0.3;-3.1;6.8
1999;-2.5;-3.6;3;7;13;14.3;16.4;16.9;13.8;8.8;2;-2.3;7.2
2000;-4.9;-2.2;2.2;9;12.3;14.8;14.6;16.2;12;9.9;5.1;1.2;7.5
2001;1;-0.4;5.7;5.6;13.5;12.9;16.4;16.6;9.8;10.5;1.2;-5.2;7.3
2002;-4.8;1;3.2;6.5;11.7;15.7;16.8;16;12.3;8.5;6.4;2;7.9
2003;-1.2;-4.7;1.2;6.1;12.4;17.6;17.5;18.6;10.6;6;5.2;-0.2;7.4
2004;-2.5;-1;2.6;7.3;9.7;14.5;15.9;16.2;11.8;11.7;3.2;0.2;7.5
2005;-3.5;-4.2;0.9;6.2;11.7;15.3;16.6;14.3;13.4;9;2.6;-2.8;6.6
2006;-3.5;-1.1;1.7;7;11.1;14.6;18;14.2;13.4;9.3;3.9;0.6;7.4
2007;0.5;1.8;4.1;8.5;12.4;15.9;16;15.7;10.8;7;2;-1.7;7.7
2008;1.3;-0.5;2.9;6.8;12.3;16.2;17;17;12.5;8.6;4.3;0.8;8.3
2009;-0.9;0.1;2.7;8.6;13.2;14.4;16.6;17.8;14.3;7.9;5.5;-0.9;8.3
2010;-1.6;0.4;2.7;6.9;11.6;15.8;17.5;15.5;11.7;6.8;5.4;-1.3;7.6
2011;-1.5;-0.2;3.1;7.9;11.4;15.6;16.1;17.5;15.4;7.1;3.3;0.5;8
2012;-2.8;-3.8;4.5;7.6;11.4;16.8;18.5;18.4;14.3;10.4;6.1;-0.7;8.4
2013;1.1;0.3;4.1;9.4;11.1;15.6;18.9;17.3;13.9;11.4;6.1;1.5;9.2
2014;3.7;4.8;5.8;9.3;11.3;15.9;16.8;15.9;13.8;11.4;8.7;2.8;10
2015;0.2;2.1;4.4;7;13.5;16.6;20.2;18.3;14.1;9.7;3.9;0.2;9.2
2016;-0.7;3.4;4.7;8.9;11.6;16;18.6;16.4;14.8;9;5.1;-0.5;8.9
2017;-4;2.9;5.4;7.7;12.5;17.1;17.6;18.1;12.6;8.2;3.7;-0.9;8.4
2018;1.8;0.6;3.4;10;14.5;16.7;18.4;19;14.5;10.6;7;-0.7;9.6
2019;-2.2;1.2;3.5;8.5;10.7;18.7;18.6;18.8;13.9;11;6.7;2.1;9.3
2020;-0.2;2.1;4.3;7.3;12.3;15.6;17.7;18.1;14.6;8.6;3.9;2.5;8.9
2021;-0.9;2.9;2.2;5.9;10.4;17.1;18;16.7;14.1;7.6;5.3;0.2;8.3
