ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Masi;;;;;;;;;;;;;
Coordinata X 1695161 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4999004 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 9 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;19.6;33;16.6;59.6;90.4;53.8;46.6;30.2;349.8
1995;25.6;76.2;23.6;31.6;150.2;167;38.4;66;88.2;5;20.6;95;787.4
1996;101.2;42;19.4;69.4;81;52.6;22.8;72;82.2;110.2;67.4;137.4;857.6
1997;85;2.8;33.4;38.6;33.2;83;42.2;48.6;36.8;16.6;79.4;98.2;597.8
1998;39.2;14.2;15.6;94;100.6;31.8;76.4;38.2;110.4;97.4;15;15.8;648.6
1999;38.2;13.6;34.2;83.8;60.8;106.2;15.6;69;49;104;109.8;39.4;723.6
2000;4;6.4;43.8;61.4;43.4;54.4;37;30;74.2;163;92.2;59;668.8
2001;73.8;11.8;109;44.2;66.6;77.2;99;75.8;72.4;56.2;29;3.8;718.8
2002;20.8;48.6;1.6;87;95.8;86.4;186.2;132;90.2;86.2;79.8;90.4;1005
2003;32.4;7.2;13;95;9.6;77.2;8.8;5;53.8;56.6;121.8;55.2;535.6
2004;60.2;112.6;68;132.2;53.4;52.2;44.8;17.6;54.2;106.6;72.2;81.2;855.2
2005;10;3;16.4;75.8;76.2;12;88.6;130;76.2;207;111.4;53.6;860.2
2006;17.8;31.6;22.4;39;44.4;1.4;4.8;107.4;102.6;17.2;46;40.6;475.2
2007;17.4;59.2;79.6;0.8;60;45.2;2.8;56.2;49.8;60;29.2;18.4;478.6
2008;56.4;24.2;30.8;85;67.4;74.8;33.4;36.4;35.2;44;158.6;118;764.2
2009;59.4;64;100;158.2;42.6;22;36.4;59.6;48.6;28.2;56.2;68.2;743.4
2010;43.4;100;58.2;54.6;105.8;149.8;3.4;77.8;77.8;91;113.2;74.6;949.6
2011;21.8;51.6;91.4;11.8;43.4;51.4;42.4;0.4;36.4;98;56;20.2;524.8
2012;5.2;30.4;6.4;101.2;110;13;2.6;15.4;164.8;173.8;132.2;38.2;793.2
2013;109.4;76.2;226;119.2;123.4;37.2;61.6;90.2;13.6;158;91.8;15.2;1121.8
2014;128;114;34;109.6;61.8;85;154.2;86.6;65.8;28.8;79.4;77.2;1024.4
2015;22.6;116.2;77.8;43.4;68;83.6;23.6;37.6;21.2;105;18.4;4.6;622
2016;53.8;176.2;52.8;12.2;164.4;90.2;36;35.6;41.4;108.8;108.6;9.4;889.4
2017;5.4;67.6;10.8;41;53.4;25.8;16.4;6;102.6;55.4;101.6;23.6;509.6
2018;16.6;73.4;93.2;30;56.8;109.6;98.2;84.2;35.2;101;91.8;16.8;806.8
2019;31;33.4;5.8;76.8;159.8;13.2;47;19;117.4;49.6;192.8;88.4;834.2
2020;19.4;4;38.8;10.8;23.4;71.4;138.4;124.2;44;78.8;15.2;130;698.4
2021;60;15;7.8;61.8;126.2;39;78.8;8.6;57.2;19.8;69.6;54.8;598.6
2022;15.4;15.4;15.8;38.2;69.2;13.8;61.4;105.2;74.6;3.2;99.6;92.6;604.4
Medio mensile;41.9;49.7;47.5;64.5;74.8;60.7;52.3;58.4;67.8;78.7;79.5;56.9;725.8
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;31;28;31;30;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;1;
1996;0;0;4;5;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;1;0;0;0;0;0;
2000;0;0;4;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;4;0;0;0;0;6;
2003;1;0;0;0;0;0;2;0;0;0;0;0;
2004;2;6;2;0;2;0;0;0;0;0;0;0;
2005;0;2;0;0;0;0;0;0;0;0;0;1;
2006;4;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;1;0;0;4;0;0;2;0;6;
2010;3;0;0;1;0;0;0;0;0;0;2;1;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;1;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;1;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;1;2;0;0;0;
2016;0;0;0;0;0;1;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;1;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 17 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Masi;;;;;;;;;;;;;
Coordinata X 1695161 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4999004 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 9 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;7;7;2;3;9;5;3;4;40
1995;5;9;6;6;13;9;5;6;6;0;6;10;81
1996;9;5;3;7;10;5;2;11;9;8;11;12;92
1997;9;0;3;4;3;9;5;4;2;2;12;10;63
1998;7;2;3;13;9;5;7;1;8;6;3;1;65
1999;4;3;7;9;7;10;3;3;6;9;9;6;76
2000;0;1;6;7;6;7;6;5;4;13;14;8;77
2001;11;1;9;9;5;7;6;3;10;6;6;1;74
2002;1;5;0;12;11;7;8;10;9;6;14;9;92
2003;5;1;3;9;2;5;3;1;7;11;8;8;63
2004;7;7;7;13;9;7;5;4;4;9;8;12;92
2005;2;1;3;11;7;4;10;8;5;10;6;10;77
2006;2;6;4;7;5;0;3;15;6;4;4;6;62
2007;5;7;7;0;7;6;1;8;4;5;4;3;57
2008;9;3;7;14;8;11;4;4;5;4;11;12;92
2009;13;8;10;10;3;6;5;2;4;5;9;5;80
2010;6;12;7;7;10;7;1;5;10;8;12;10;95
2011;6;5;8;3;2;10;5;0;5;5;5;6;60
2012;1;4;1;15;8;1;1;2;12;10;8;8;71
2013;9;6;16;12;13;6;5;6;4;10;8;2;97
2014;16;14;3;4;4;6;10;7;8;4;11;10;97
2015;4;6;8;6;7;7;3;5;4;12;1;0;63
2016;7;14;6;3;11;8;4;7;4;8;7;2;81
2017;2;6;4;6;8;2;4;2;12;3;6;7;62
2018;3;9;10;4;11;9;6;8;4;6;9;4;83
2019;6;3;2;7;17;1;4;6;7;6;17;7;83
2020;3;1;7;5;6;8;8;8;5;12;2;10;75
2021;7;3;2;7;10;1;7;4;6;2;12;7;68
2022;2;2;1;8;7;4;7;6;6;0;9;11;63
Medio mensile;6;5;5;8;8;6;5;5;6;7;8;7;75
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;31;28;31;30;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;1;
1996;0;0;4;5;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;1;0;0;0;0;0;
2000;0;0;4;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;0;0;0;0;0;0;1;
2002;1;0;0;0;0;0;4;0;0;0;0;6;
2003;1;0;0;0;0;0;2;0;0;0;0;0;
2004;2;6;2;0;2;0;0;0;0;0;0;0;
2005;0;2;0;0;0;0;0;0;0;0;0;1;
2006;4;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;1;0;0;4;0;0;2;0;6;
2010;3;0;0;1;0;0;0;0;0;0;2;1;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;1;
2013;0;0;0;0;0;0;0;0;0;0;0;0;
2014;0;0;1;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;1;2;0;0;0;
2016;0;0;0;0;0;1;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;1;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 17 febbraio 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Masi;;;;;;;;;;;;;
Coordinata X 1695161 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 4999004 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 9 m s.l.m.;;;;;;;;;;;;;
