ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Misurina;;;;;;;;;;;;;
Coordinata X 1749057 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5163251 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1743 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;40.8;27;11;90;126.4;96.8;95.4;134.6;204.6;65.2;39.6;17.2;948.6
1995;23;33.6;29.2;53.2;160.6;192.8;147.6;144;130.4;0;14.8;50.6;979.8
1996;19.6;13.2;6;31.4;128.8;112.2;128.6;204;36.4;197.2;178.4;22.8;1078.6
1997;44.4;5.6;10.6;31.6;70.6;201.2;147.8;129.4;51.4;10;138.6;65.6;906.8
1998;12.4;5;3;110.8;77;195.6;163.8;142.6;178;186.2;22.2;2.6;1099.2
1999;42.2;8.2;69.4;79.4;154.4;156;141;190;134.2;79.8;28.2;26.4;1109.2
2000;8.2;5.2;75.6;64.4;101.4;117.6;143.4;157.8;144;257.8;267.4;24.4;1367.2
2001;89;12.8;100.6;62.6;63.8;118;153.2;107.6;113.4;29.2;32.8;0.2;883.2
2002;4;40.6;38.8;114.2;210;191;103;158.6;133;57.2;385.8;48.4;1484.6
2003;15.6;2.4;3.8;40.6;107.4;165.2;147;111.6;28.4;125.2;159.2;51.2;957.6
2004;5.4;34;49;52.8;132.4;173.6;195.6;155.2;71.2;142;73.4;48.2;1132.8
2005;6.8;10.2;20.8;67.2;118.2;100.2;206.2;143;116.6;232.4;35.8;39.4;1096.8
2006;12;28.8;33.8;100.8;110.6;92;123.6;305.4;81;24;8.8;60;980.8
2007;65;21.4;79;13.8;142.4;178;152.2;197;100;46.2;69.4;5.6;1070
2008;74;14.4;53.8;70.2;131.2;172.2;205;161.4;105.6;148.2;151.8;127;1414.8
